sim_time_us,node_id
5194540,30
5194590,14
5194594,29
14015744,22
27610400,22
137335055,31
160491686,32
165216427,23
165216464,21
171202102,13
211045961,40
211046091,24
243966534,6
247586239,33
254677649,25
278141599,41
283027489,38
298617324,39
299302352,39
299407038,15
315941232,5
320666330,7
342562551,16
361778444,37
363191595,4
372956895,3
399263128,8
405249021,17
405402194,28
430764085,36
449502370,12
449664230,9
462894245,20
516913164,11
520591471,11
532663119,2
546054892,35
562904126,27
590679205,27
605429477,19
621812543,10
622491819,10
688751083,26
697727290,18
701823591,34
701878293,18
2933727695,24
