sim_time_us,node_id,time_source,join_priority
2799228,30,0x0001,1
2799229,29,0x0001,1
2799247,14,0x0001,1
13509285,22,0x0001,1
134470265,31,0x001e,2
156520515,32,0x001f,3
160300589,13,0x0001,1
160300612,21,0x0001,1
162505455,23,0x0016,2
204715807,6,0x000e,2
208181003,24,0x0020,4
208181065,40,0x0020,4
243146266,33,0x0020,4
248816149,15,0x000e,2
250706689,25,0x0021,5
277481412,41,0x0021,5
279686365,38,0x001e,2
295751866,39,0x0026,3
312446983,5,0x0006,3
314337011,7,0x000f,3
336071964,16,0x000f,3
358437069,37,0x001d,2
360327055,4,0x0005,5
369777428,3,0x0004,6
396867439,8,0x0007,4
402537390,28,0x001d,2
402537720,17,0x0019,6
412932941,20,0x001c,3
428053001,36,0x001c,3
446637790,12,0x000d,4
446637961,9,0x0008,5
501133271,11,0x000c,5
529168512,2,0x0003,7
541453655,35,0x0024,5
561928732,27,0x001c,3
602249368,19,0x001b,4
618314186,10,0x000b,6
684464738,26,0x001b,4
694230179,34,0x001a,5
694230331,18,0x001a,5
