sim_time_us,node_id,event,peer,detail
14788837,14,LIST,0x0001,
14795902,30,LIST,0x0001,
14797171,29,LIST,0x0001,
15050103,1,EOL,0x001d,
15288499,30,LIST,0x001d,
15289775,29,LIST,0x001e,
15365040,30,EOL,0x001d,
15845545,1,EOL,0x001e,
17254923,1,EOL,0x000e,
19669013,14,ADD,0x0001,
21515514,29,EOL,0x001e,
21662919,22,LIST,0x001e,
22151802,22,LIST,0x000e,
22180892,29,ADD,0x0001,
22295926,1,CELL_ALLOC,0x001d,slot=6 ch=1 dir=Receive
22310127,1,SUCCESS,0x001d,
22479463,29,CELL_ALLOC,0x0001,slot=6 ch=1 dir=Transmit
22650214,30,ADD,0x0001,
22778205,1,CELL_ALLOC,0x001e,slot=9 ch=7 dir=Receive
22792270,1,SUCCESS,0x001e,
23424599,30,CELL_ALLOC,0x0001,slot=9 ch=7 dir=Transmit
24500373,30,EOL,0x0016,
24815201,14,EOL,0x0016,
26075549,1,CELL_ALLOC,0x000e,slot=1 ch=3 dir=Receive
26089491,1,SUCCESS,0x000e,
26259557,14,CELL_ALLOC,0x0001,slot=1 ch=3 dir=Transmit
27750979,22,LIST,0x0001,
28140524,1,EOL,0x0016,
28237773,22,LIST,0x000e,
28445637,14,EOL,0x0016,
30529424,22,ADD,0x0001,
30655209,1,CELL_ALLOC,0x0016,slot=20 ch=3 dir=Receive
30669495,1,SUCCESS,0x0016,
30813475,22,CELL_ALLOC,0x0001,slot=20 ch=3 dir=Transmit
50223160,1,LIST,0x000e,
50330153,14,EOL,0x0001,
88604129,30,LIST,0x0016,
88608070,14,LIST,0x0016,
89705711,22,EOL,0x001e,
90020679,22,EOL,0x000e,
142828297,31,LIST,0x001e,
142941242,30,EOL,0x001f,
143141428,31,ADD,0x001e,
143572246,30,CELL_ALLOC,0x001f,slot=7 ch=2 dir=Receive
143586352,30,SUCCESS,0x001f,
143755490,31,CELL_ALLOC,0x001e,slot=7 ch=2 dir=Transmit
168399990,32,LIST,0x001f,
168456307,31,EOL,0x0020,
168656953,32,ADD,0x001f,
168937670,31,CELL_ALLOC,0x0020,slot=6 ch=2 dir=Receive
168951654,31,SUCCESS,0x0020,
169270737,32,CELL_ALLOC,0x001f,slot=6 ch=2 dir=Transmit
171143375,23,LIST,0x0016,
171144947,21,LIST,0x0016,
171635432,23,LIST,0x001f,
173811722,22,EOL,0x0015,
174012012,21,ADD,0x0016,
174127923,22,CELL_ALLOC,0x0015,slot=19 ch=1 dir=Receive
174143126,22,SUCCESS,0x0015,
174311000,21,CELL_ALLOC,0x0016,slot=19 ch=1 dir=Transmit
176812336,22,EOL,0x0017,
178005680,13,LIST,0x0015,
178072151,31,EOL,0x0017,
178261623,23,ADD,0x0016,
178857374,22,CELL_ALLOC,0x0017,slot=17 ch=9 dir=Receive
178879432,22,SUCCESS,0x0017,
179036008,23,CELL_ALLOC,0x0016,slot=17 ch=9 dir=Transmit
186412196,21,EOL,0x000d,
186612573,13,ADD,0x0015,
