sim_time_us,node_id,time_source,join_priority
1633247,22,0x0001,1
1633272,14,0x0001,1
1633272,29,0x0001,1
1633272,30,0x0001,1
1633273,21,0x0001,1
1633277,13,0x0001,1
81013881,5,0x000d,2
82588896,38,0x001e,2
97079003,12,0x000d,2
159449808,37,0x001d,2
213314833,39,0x0026,3
213315169,20,0x0015,2
215205257,4,0x0005,3
240090360,36,0x0025,4
243870149,31,0x001e,2
254580417,19,0x0014,4
254580418,28,0x0014,4
276630209,15,0x000e,2
316950721,40,0x0027,4
361051127,11,0x000c,3
364831304,41,0x0028,5
368611158,3,0x000b,4
370816233,32,0x001f,3
382156492,33,0x0020,4
441691889,18,0x0013,5
471302147,2,0x0003,5
485792164,27,0x001c,3
489887101,23,0x0016,2
489887233,10,0x000b,4
496502386,35,0x001b,4
504062070,16,0x000f,4
504062079,7,0x000f,4
519182587,26,0x0012,6
566432496,8,0x0007,5
656838363,14,0x0001,1
687394146,34,0x0023,5
687708920,25,0x0021,5
750709542,9,0x0008,6
805204696,6,0x0005,3
900335302,24,0x0020,4
1123672342,17,0x0010,5
