sim_time_us,receiver_id,src_id,seq,latency_reported_ms,aoi_us
12778271,1,22,0,1000,286708
13704585,1,29,0,1929,1125004
27895461,1,22,1,992,278972
28509561,1,29,1,890,86304
30700092,1,30,0,18921,18183431
31644821,1,30,1,4914,4175138
35886309,1,21,0,24117,23739660
36516054,1,21,1,9953,9583695
41870845,1,21,2,757,383799
43000010,1,29,2,1093,287680
43335801,1,22,2,875,156778
43614501,1,30,2,976,238552
55884936,1,13,1,29320,28548938
56045907,1,21,3,640,269788
57144972,1,13,2,15257,14488671
57822684,1,29,3,984,180079
58093983,1,13,3,921,156435
58419487,1,30,3,898,160727
58450856,1,22,3,1054,340443
71481080,1,21,4,617,239517
72584347,1,13,4,1265,497536
73224594,1,30,4,929,192376
73870107,1,29,4,1078,274945
74516012,1,22,4,1164,442167
86601134,1,21,5,523,153150
87069901,1,13,5,1062,288614
87399845,1,30,5,890,148897
88675359,1,29,5,1023,220842
89005817,1,22,5,945,233065
101890233,1,30,6,1031,281885
102036310,1,21,6,421,49254
102835535,1,13,6,859,97213
102864001,1,29,6,984,182937
104418086,1,38,0,890,542841
105073022,1,22,6,1078,362779
108175356,1,12,0,4609,4619689
111640374,1,5,0,8031,7710438
117310278,1,13,7,914,146184
117471390,1,21,7,562,195281
117640081,1,30,7,890,146379
117970735,1,29,7,1093,289665
119200175,1,12,1,429,437711
119830156,1,5,1,976,661202
120160543,1,38,1,992,636911
120821067,1,22,7,851,134252
131961475,1,21,8,640,271526
133059988,1,13,8,843,72587
133388760,1,12,2,484,504998
133406043,1,30,8,1085,341440
133423150,1,29,8,976,167887
134335329,1,5,2,765,463225
134650764,1,38,2,1203,845828
136256187,1,22,8,773,61529
147396629,1,21,9,507,136145
148220545,1,29,9,960,156663
148810125,1,13,9,914,146025
149133928,1,12,3,398,414249
149150769,1,30,9,828,87609
149755388,1,5,3,742,430169
150085477,1,38,3,757,397782
150746324,1,22,9,765,51696
162394288,1,29,10,1046,251659
162516862,1,21,10,406,37489
163930367,1,13,10,906,133315
164245495,1,12,4,460,471118
164580098,1,30,10,906,172769
165209646,1,38,4,1140,787557
165249928,1,22,10,1007,289503
165514954,1,5,4,945,642870
177006995,1,21,11,593,222933
177190771,1,29,11,867,64221
179050640,1,12,5,460,471585
179374020,1,13,11,843,79172
179396382,1,30,11,1031,293741
179413756,1,22,11,859,140873
179699779,1,38,5,1078,722266
