sim_time_us,node_id,time_source,join_priority
2021712,20,0x0001,1
2021737,30,0x0001,1
2336716,34,0x0001,1
2336717,22,0x0001,1
2336741,38,0x0001,1
58092490,15,0x001e,2
89907428,8,0x0022,2
89907453,23,0x0022,2
133062791,28,0x0026,2
145347876,9,0x001e,2
145347902,24,0x001e,2
203938399,14,0x0008,3
223153578,40,0x000e,4
244573731,5,0x0008,3
288673977,26,0x0026,2
309779191,16,0x0017,3
319544213,2,0x0016,2
319544274,17,0x0016,2
379709818,7,0x0010,4
420030159,32,0x0007,5
442080271,33,0x0020,6
451845528,4,0x0020,6
478935658,3,0x0005,4
495945630,31,0x0009,3
495945709,41,0x0005,4
504450897,11,0x0028,5
661007022,18,0x0011,4
695342268,39,0x001f,4
695342269,19,0x001f,4
731882594,12,0x0011,4
745428000,37,0x000c,5
816303522,10,0x0027,5
838353356,6,0x001a,3
872058623,35,0x0006,4
896944069,13,0x0023,5
901038879,27,0x0006,4
910489038,21,0x0013,5
1189266075,25,0x0006,4
1412918016,29,0x0015,6
