sim_time_us,node_id,period,total,cpu,lpm,deep_lpm,radio_tx,radio_rx,radio_total
180833464,1,2,1966079,1966079,0,0,8443,135246,143689
180865927,26,2,1966080,44411,1921669,0,0,1966080,1966080
180875030,41,2,1966080,43689,1922391,0,0,1966080,1966080
180879544,17,2,1966080,43877,1922203,0,0,1966080,1966080
180923125,33,2,1966080,43689,1922391,0,0,1966080,1966080
180942366,10,2,1966080,43689,1922391,0,0,1966080,1966080
180987534,6,2,1966080,43678,1922402,0,0,1966080,1966080
181074335,35,2,1966080,43689,1922391,0,0,1966080,1966080
181093436,30,2,1966079,66511,1899568,0,3350,55512,58862
181106101,18,2,1966080,43689,1922391,0,0,1966080,1966080
181116523,9,2,1966081,36256,1929825,0,28,820810,820838
181117933,15,2,1966079,51186,1914893,0,4338,54879,59217
181119935,4,2,1966080,43678,1922402,0,0,1966080,1966080
181126325,2,2,1966080,43869,1922211,0,0,1966080,1966080
181144170,29,2,1966080,43689,1922391,0,0,1966080,1966080
181147253,37,2,1966080,43689,1922391,0,0,1966080,1966080
181141982,20,2,1966079,55103,1910976,0,3293,55226,58519
181160078,31,2,1966080,43689,1922391,0,0,1966080,1966080
181183405,28,2,1966087,60278,1905809,0,4980,432837,437817
181209593,40,2,1966080,43689,1922391,0,0,1966080,1966080
181210279,24,2,1966171,36626,1929545,0,28,817909,817937
240282990,5,3,1966080,44656,1921424,0,0,1966080,1966080
240291126,12,3,1966080,43691,1922389,0,0,1966080,1966080
240296456,8,3,1966079,87749,1878330,0,6873,67827,74700
240305430,23,3,1966079,60093,1905986,0,4779,55748,60527
240316575,13,3,1966080,44442,1921638,0,0,1966080,1966080
240320383,16,3,1966080,44083,1921997,0,0,1966080,1966080
240341593,25,3,1966080,43691,1922389,0,0,1966080,1966080
240351125,19,3,1966080,43691,1922389,0,0,1966080,1966080
240403085,32,3,1966080,43692,1922388,0,0,1966080,1966080
240407808,38,3,1965724,93430,1872294,0,8085,94212,102297
240451893,7,3,1966080,43698,1922382,0,0,1966080,1966080
240447167,34,3,1966080,99380,1866700,0,8592,97375,105967
240468957,27,3,1966080,43691,1922389,0,0,1966080,1966080
240536543,21,3,1966080,43691,1922389,0,0,1966080,1966080
240602507,36,3,1966080,43692,1922388,0,0,1966080,1966080
240646825,39,3,1966080,43692,1922388,0,0,1966080,1966080
240730427,3,3,1966080,43698,1922382,0,0,1966080,1966080
240755835,22,3,1966080,40147,1925933,0,3006,53885,56891
240786544,11,3,1966080,43743,1922337,0,0,1966080,1966080
240802224,14,3,1966087,75036,1891051,0,5176,795266,800442
240833497,1,3,1966081,1966081,0,0,9720,139008,148728
240865927,26,3,1966080,44826,1921254,0,0,1966080,1966080
240875030,41,3,1966080,43691,1922389,0,0,1966080,1966080
240879544,17,3,1966080,44232,1921848,0,0,1966080,1966080
240923125,33,3,1966080,43692,1922388,0,0,1966080,1966080
240942366,10,3,1966080,43691,1922389,0,0,1966080,1966080
240987534,6,3,1966080,43698,1922382,0,0,1966080,1966080
241074335,35,3,1966080,43692,1922388,0,0,1966080,1966080
241094120,30,3,1966080,133670,1832410,0,8152,91688,99840
241106101,18,3,1966080,43691,1922389,0,0,1966080,1966080
241116733,9,3,1966086,69546,1896540,0,6315,56210,62525
241117944,15,3,1966080,49595,1916485,0,3308,54050,57358
241119935,4,3,1966080,43698,1922382,0,0,1966080,1966080
241126325,2,3,1966080,44105,1921975,0,0,1966080,1966080
241144170,29,3,1966080,43691,1922389,0,0,1966080,1966080
241141972,20,3,1966080,55922,1910158,0,2948,54663,57611
241147253,37,3,1966080,43692,1922388,0,0,1966080,1966080
241160078,31,3,1966080,44092,1921988,0,0,1966080,1966080
241183356,28,3,1966079,45481,1920598,0,3803,53974,57777
241207737,24,3,1965996,70073,1895923,0,6403,56084,62487
241209815,40,3,1966087,58457,1907630,0,2265,1391445,1393710
300283212,5,4,1966087,97478,1868609,0,6100,194005,200105
300291126,12,4,1966080,44000,1922080,0,0,1966080,1966080
300296456,8,4,1966080,118622,1847458,0,9988,94123,104111
300305430,23,4,1966080,57319,1908761,0,3785,54887,58672
300316575,13,4,1966080,44206,1921874,0,0,1966080,1966080
300320383,16,4,1966080,44442,1921638,0,0,1966080,1966080
300341593,25,4,1966080,44000,1922080,0,0,1966080,1966080
300351125,19,4,1966080,44000,1922080,0,0,1966080,1966080
300403085,32,4,1966080,44000,1922080,0,0,1966080,1966080
300411911,38,4,1966096,98663,1867433,0,7712,94267,101979
300446560,34,4,1966201,118216,1847985,0,12156,104068,116224
300451893,7,4,1966080,43986,1922094,0,0,1966080,1966080
300468957,27,4,1966080,44000,1922080,0,0,1966080,1966080
300536543,21,4,1966080,44000,1922080,0,0,1966080,1966080
300602507,36,4,1966080,44000,1922080,0,0,1966080,1966080
300646825,39,4,1966080,44000,1922080,0,0,1966080,1966080
300730427,3,4,1966080,44514,1921566,0,0,1966080,1966080
300759780,22,4,1966094,37402,1928692,0,3032,53879,56911
300786544,11,4,1966080,44061,1922019,0,0,1966080,1966080
300802186,14,4,1966079,101523,1864556,0,6841,77227,84068
300833491,1,4,1966080,1966080,0,0,10031,140573,150604
300875030,41,4,1966080,44487,1921593,0,0,1966080,1966080
300866149,26,4,1966087,66173,1899914,0,1593,1577934,1579527
300879544,17,4,1966080,44529,1921551,0,0,1966080,1966080
300923125,33,4,1966080,44000,1922080,0,0,1966080,1966080
300942366,10,4,1966080,44000,1922080,0,0,1966080,1966080
300987534,6,4,1966080,44019,1922061,0,0,1966080,1966080
301074335,35,4,1966080,44000,1922080,0,0,1966080,1966080
301093455,30,4,1966080,103242,1862838,0,7502,94694,102196
301106101,18,4,1966080,44000,1922080,0,0,1966080,1966080
301116683,9,4,1966079,46117,1919962,0,3979,54445,58424
301119935,4,4,1966080,43986,1922094,0,0,1966080,1966080
301126325,2,4,1966080,44217,1921863,0,0,1966080,1966080
301129168,15,4,1966448,54376,1912072,0,3512,54871,58383
301144170,29,4,1966080,44000,1922080,0,0,1966080,1966080
