sim_time_us,node_id
4732029,30
4732048,22
4732055,20
4732101,38
4732106,34
68678552,15
136088948,28
152153951,8
152154046,23
181917970,24
181918015,9
207278665,14
225703007,40
246969718,5
248279803,5
291384999,26
313750224,16
364781095,17
365564467,2
382578376,7
423685828,32
444476678,33
453135542,4
481331249,3
497235493,41
499754942,31
514560951,11
665132003,18
724513669,19
724513721,39
734908722,12
748139102,37
819329824,10
841532999,6
875238059,35
899655705,13
900022966,13
903749358,27
913515294,21
1192446519,25
1417043115,29
