sim_time_us,node_id
4773166,14
4773168,21
4773183,22
4773193,29
4773225,30
40054206,31
55804257,32
74546365,13
87143465,23
134240535,24
145418767,38
145447986,22
159279061,33
187475782,37
204799953,12
204799967,5
207950467,4
212990937,39
255358483,36
300399816,11
310326284,3
321352077,40
323395922,25
340720112,19
341665887,28
342662985,28
378206091,17
381832090,27
439946589,35
440108251,16
441420640,16
444042380,20
444256267,20
458377988,9
480743161,34
501686995,8
503160941,8
531142976,6
531978654,6
534292592,7
596502597,41
615879595,26
616086097,26
625959378,18
632413203,10
637817584,27
698563724,15
805033989,2
1249716461,10
