sim_time_us,node_id,time_source,join_priority
2062866,14,0x0001,1
2377844,29,0x0001,1
2377870,21,0x0001,1
2377870,30,0x0001,1
2377875,22,0x0001,1
39233188,31,0x001e,2
46793324,32,0x001f,3
71678684,13,0x000e,2
83333765,23,0x0016,3
130268917,24,0x0020,6
141294002,38,0x001e,2
144759175,33,0x0020,5
183504589,37,0x001d,2
185394386,12,0x000d,3
185394409,5,0x000d,3
206814738,4,0x000c,4
210594682,39,0x0026,3
252804758,36,0x0025,3
285565501,40,0x0027,4
296905173,11,0x000c,4
308245797,3,0x000b,5
319900571,25,0x0018,5
337225399,19,0x000b,5
338170524,28,0x001d,2
374711132,17,0x0019,6
378490973,27,0x001c,3
437081514,16,0x0018,5
437081554,35,0x001b,4
440861316,20,0x0015,2
455351835,9,0x0011,7
475826866,34,0x0023,5
498822075,8,0x0010,6
528431975,6,0x000e,2
532212122,7,0x0006,3
593638020,41,0x0021,5
612222923,18,0x0013,6
612537848,26,0x001b,5
616317884,10,0x000b,5
696013283,15,0x000e,2
801854472,2,0x0003,6
1241283088,42,0x0003,6
2242361188,42,0x000e,2
2419706922,42,0x001d,2
