sim_time_us,node_id,period,total,cpu,lpm,deep_lpm,radio_tx,radio_rx,radio_total
60280225,25,0,1966111,44528,1921583,0,0,1965562,1965562
60285566,10,0,1966118,44528,1921590,0,0,1965569,1965569
60298159,31,0,1966118,61257,1904861,0,3618,1294963,1298581
60304460,13,0,1966118,45284,1920834,0,0,1965569,1965569
60338786,26,0,1966111,44528,1921583,0,0,1965562,1965562
60366930,41,0,1966111,44528,1921583,0,0,1965562,1965562
60388232,22,0,1966118,89808,1876310,0,6289,120950,127239
60410166,40,0,1966111,44528,1921583,0,0,1965562,1965562
60419817,2,0,1966127,44511,1921616,0,0,1965578,1965578
60438419,42,0,1966041,39836,1926205,0,0,1965118,1965118
60466839,18,0,1966111,44528,1921583,0,0,1965562,1965562
60472565,4,0,1966127,44511,1921616,0,0,1965578,1965578
60479787,30,0,1966879,102068,1864811,0,7811,121948,129759
60546730,29,0,1966118,89592,1876526,0,6799,115487,122286
60555334,5,0,1966127,44511,1921616,0,0,1965578,1965578
60597484,16,0,1966111,44528,1921583,0,0,1965562,1965562
60602332,12,0,1966118,44528,1921590,0,0,1965569,1965569
60602966,21,0,1966118,78656,1887462,0,6327,112652,118979
60612271,8,0,1966127,44511,1921616,0,0,1965578,1965578
60638086,7,0,1966127,44511,1921616,0,0,1965578,1965578
60641055,28,0,1966111,44665,1921446,0,0,1965562,1965562
60645764,15,0,1966118,44586,1921532,0,0,1965569,1965569
60679224,9,0,1966127,44511,1921616,0,0,1965578,1965578
60786534,37,0,1966111,44663,1921448,0,0,1965562,1965562
60806172,39,0,1966111,44820,1921291,0,0,1965562,1965562
60850351,34,0,1966111,44528,1921583,0,0,1965562,1965562
60854237,24,0,1966111,44549,1921562,0,0,1965562,1965562
60894796,38,0,1966111,44966,1921145,0,0,1965562,1965562
60897675,17,0,1966111,44528,1921583,0,0,1965562,1965562
60890283,1,0,1966169,1966169,0,0,10437,107007,117444
60917498,20,0,1966111,44940,1921171,0,0,1965562,1965562
60975421,27,0,1966111,44528,1921583,0,0,1965562,1965562
61016387,11,0,1966118,44528,1921590,0,0,1965569,1965569
61017200,23,0,1966111,44842,1921269,0,0,1965562,1965562
61017805,36,0,1966111,44528,1921583,0,0,1965562,1965562
61018874,6,0,1966127,44652,1921475,0,0,1965578,1965578
61086170,32,0,1966118,48573,1917545,0,900,1508947,1509847
61177633,19,0,1966111,44528,1921583,0,0,1965562,1965562
61186715,3,0,1966127,44511,1921616,0,0,1965578,1965578
61236192,14,0,1966125,70939,1895186,0,6915,81150,88065
61276623,33,0,1966111,44807,1921304,0,0,1965562,1965562
