sim_time_us,node_id,dst
9136648,34,0x0001
9453518,34,0x0001
10081820,38,0x0001
10562079,30,0x0001
12288592,30,0x0001
12768849,20,0x0001
12917449,20,0x0001
13397293,30,0x0001
13863533,38,0x0001
14177435,38,0x0001
14657674,1,0x0026
16066729,20,0x0001
16382518,20,0x0022
17011732,38,0x0001
17327533,38,0x001e
17956698,22,0x0001
18438991,22,0x0001
18752662,22,0x0001
19067662,1,0x0016
19216756,20,0x0001
19382959,22,0x0001
19532513,20,0x0026
19697857,1,0x0016
19879793,22,0x0001
20161946,20,0x0001
20193110,22,0x0001
20521949,22,0x0001
20791777,38,0x0001
20824789,22,0x0001
21136805,22,0x0001
21451819,22,0x0001
21587718,34,0x0001
21766822,22,0x0001
22081628,22,0x0001
22217866,1,0x0022
22711827,22,0x0001
22997358,30,0x0026
23311787,30,0x0001
23792855,34,0x0001
23942199,1,0x0022
24107738,34,0x0014
24274276,34,0x0001
24587669,34,0x0001
24601662,22,0x0001
24737498,30,0x0026
24904339,34,0x0001
25216955,34,0x0001
25367228,30,0x0001
25516845,38,0x0001
25531782,34,0x0001
25846919,34,0x0001
25998083,38,0x0001
26161951,34,0x0001
26476920,34,0x0001
26791915,34,0x0001
26806686,22,0x0001
27257429,30,0x0001
27424333,34,0x0001
27722024,38,0x0001
27754857,22,0x0001
28068180,22,0x0001
28203053,1,0x0026
28352014,38,0x0001
28429905,38,0x0001
28667320,38,0x001e
28682706,34,0x0001
28696883,22,0x0001
28743278,38,0x0001
28996961,34,0x0001
29060232,38,0x0001
29374989,38,0x0001
29462461,30,0x0001
29612386,38,0x0014
29688279,38,0x0001
30002528,38,0x0001
30241857,20,0x0001
30317494,38,0x0001
30586922,22,0x0001
30632512,38,0x0001
30887002,34,0x0001
31354158,30,0x0001
31534185,22,0x0001
31579227,38,0x0001
32132023,20,0x0001
32207491,38,0x0001
32447487,30,0x0001
32613206,1,0x001e
32776962,34,0x0001
32791935,22,0x0001
32852874,30,0x0001
33169840,30,0x0001
33397628,20,0x0001
33408676,34,0x0001
33483224,30,0x0001
33799874,30,0x0001
34114883,30,0x0001
34187458,20,0x0001
34412509,38,0x0001
34428240,30,0x0001
34666977,34,0x0001
34681959,22,0x0001
34744958,30,0x0001
35059892,30,0x0001
35372449,30,0x0001
35687499,30,0x0001
36002490,30,0x0001
36227117,20,0x0001
36302529,38,0x0001
36317458,30,0x0001
36619992,38,0x0001
36632487,30,0x0001
36872017,34,0x0001
36886947,22,0x0001
37204931,22,0x0001
37262465,30,0x0001
38192546,38,0x0001
38432101,20,0x0001
38598162,38,0x0014
38747423,20,0x0026
38762033,34,0x0001
38776960,22,0x0001
39394479,34,0x0001
39467509,30,0x0001
40172521,20,0x0001
40397562,38,0x0001
40652024,34,0x0001
40666978,22,0x0001
41357495,30,0x0001
41614964,22,0x0001
41974735,38,0x0001
42211948,20,0x0001
42242593,22,0x0001
42287568,38,0x0001
42303103,30,0x0001
42856912,34,0x0001
42871991,22,0x0001
43247512,30,0x0001
43548372,38,0x0001
43804426,34,0x0001
44117826,34,0x0001
44177589,38,0x0001
44267539,20,0x0001
44747079,34,0x0001
44762007,22,0x0001
44824928,30,0x0001
45452554,30,0x0001
46024999,22,0x0001
46307181,20,0x0001
46382443,38,0x0001
46651840,22,0x0001
46951945,34,0x0001
47342386,30,0x0001
48196980,20,0x0001
48214461,34,0x0001
48272616,38,0x0001
48590004,38,0x0001
48842111,34,0x0001
48857038,22,0x0001
49547398,30,0x0001
49772536,1,0x0022
50102372,34,0x0001
50252435,20,0x0001
50477476,38,0x0001
50732130,34,0x0001
50746879,22,0x0001
51437600,30,0x0001
51755012,30,0x0001
52292254,20,0x0001
52367671,38,0x0001
52937118,34,0x0001
52952104,22,0x0001
53239754,30,0x0026
53270198,22,0x0001
53327609,30,0x0001
54035182,34,0x0014
54257690,38,0x0001
54497196,20,0x0001
54827158,34,0x0001
54842111,22,0x0001
55520053,38,0x0001
55561438,30,0x0001
55789377,22,0x0001
55849322,30,0x0001
56237666,20,0x0001
56462704,38,0x0001
56718857,34,0x0001
56732100,22,0x0001
57032168,34,0x0001
57050111,22,0x0001
57362687,22,0x0001
57422465,30,0x0001
57507038,20,0x0001
57738406,30,0x0001
58277311,20,0x0001
58354222,38,0x0001
58668459,38,0x0001
58759380,20,0x0001
58922013,34,0x0001
58937143,22,0x0001
58982711,38,0x0001
59239634,34,0x0001
59312662,30,0x0001
59552961,34,0x0001
60242553,38,0x0001
60332562,20,0x0001
60812030,34,0x0001
60826977,22,0x0001
61517496,30,0x0001
62372354,20,0x0001
62405125,22,0x0001
62447756,38,0x0001
62702193,34,0x0001
62717174,22,0x0001
63410111,30,0x0001
63722673,30,0x0001
64262311,20,0x0001
64337765,38,0x0001
64907212,34,0x0001
64922189,22,0x0001
65612706,30,0x0001
65915160,38,0x0001
66317757,20,0x0001
66542757,38,0x0001
66797232,34,0x0001
66812200,22,0x0001
67502731,30,0x0001
68357404,20,0x0001
68374619,34,0x0001
68432617,38,0x0001
69002092,34,0x0001
69017014,22,0x0001
69392556,30,0x0001
70322814,38,0x0001
70412640,20,0x0001
70892260,34,0x0001
70907233,22,0x0001
71225194,22,0x0001
71597726,30,0x0001
71853519,22,0x0001
71900210,38,0x0001
71913520,30,0x0001
72302870,20,0x0001
72527804,38,0x0001
72782125,34,0x0001
72797250,22,0x0001
72860142,30,0x0001
73487746,30,0x0001
73788608,38,0x0001
74342417,20,0x0001
74417637,38,0x0001
74987901,34,0x0001
75002058,22,0x0001
75302320,34,0x0001
75377575,30,0x0001
76307834,38,0x0001
76397655,20,0x0001
76862288,9,0x001e
76877333,34,0x0001
76892257,22,0x0001
77179209,9,0x001e
77269521,30,0x0001
77596813,30,0x0001
77808088,9,0x001e
77973341,30,0x0009
78123177,9,0x001e
78290718,30,0x0009
78437248,20,0x0001
78512670,38,0x0001
78513985,9,0x001e
78782112,22,0x0001
78830377,9,0x001e
78848786,30,0x0001
79082196,34,0x0001
79142914,9,0x001e
79160561,30,0x0001
79399737,34,0x0001
79415260,22,0x0001
79457932,9,0x001e
79472827,30,0x0001
79772781,9,0x001e
80087938,9,0x001e
80090245,38,0x0001
80327391,20,0x0001
80402867,38,0x0001
80405399,9,0x001e
80717957,9,0x001e
80735577,30,0x0001
80972337,34,0x0001
80987291,22,0x0001
81662955,9,0x001e
