sim_time_us,node_id
4649458,20
4649480,22
4649497,34
4649520,30
4649603,38
68910559,9
99933889,31
147661423,17
192230497,12
196955495,2
243737442,19
244367088,28
244367407,15
270512764,21
297917926,39
298232057,37
304217502,23
321066161,18
321909359,18
325008124,29
341226662,26
363276878,16
372097142,7
408169045,10
429903885,8
529912962,13
551179235,33
609770375,4
679700882,32
698441626,24
760341136,6
859566614,14
867280094,35
904297029,40
908392597,11
953753295,25
1091878202,27
1241980913,5
1242815315,5
1624861084,41
1624861110,3
