sim_time_us,receiver_id,src_id,seq,latency_reported_ms,aoi_us
25500886,1,22,0,-1,13666719
27697740,1,22,1,-1,293287
37888085,1,20,0,-1,25524450
38827611,1,20,1,-1,12221793
39144379,1,38,0,-1,26803447
40078392,1,38,1,-1,12167198
41346662,1,20,2,-1,186213
43453729,1,22,2,-1,189924
43855176,1,38,2,-1,459607
44481979,1,34,0,-1,32185491
45734144,1,34,1,-1,17515809
46679800,1,34,2,-1,2977090
51847083,1,30,0,-1,39944585
52781443,1,30,1,-1,25308660
53727281,1,30,2,-1,10871709
55845077,1,20,3,-1,379921
57193677,1,30,3,-1,150595
57942976,1,22,3,-1,530724
59293216,1,38,3,-1,155426
60233271,1,34,3,-1,639926
70652910,1,20,4,-1,86162
71376610,1,30,4,-1,302248
72126511,1,22,4,-1,347062
75040367,1,34,4,-1,87640
75358457,1,38,4,-1,216804
86395027,1,20,5,-1,250184
86803892,1,30,5,-1,338945
87553616,1,22,5,-1,110124
90152658,1,34,5,-1,449924
90478566,1,38,5,-1,129838
100570077,1,20,6,-1,89296
101728465,1,22,6,-1,238098
102239001,1,30,6,-1,477179
104957888,1,34,6,-1,376865
105283954,1,38,6,-1,75885
115375465,1,20,7,-1,152515
116729340,1,30,7,-1,92508
117479065,1,22,7,-1,371521
119133065,1,34,7,-1,305378
119778017,1,38,7,-1,319957
130501803,1,20,8,-1,224127
132284180,1,22,8,-1,487181
132479438,1,30,8,-1,256639
133315346,1,34,8,-1,80868
134264146,1,38,8,-1,313840
145300735,1,20,9,-1,287642
147719444,1,22,9,-1,197827
148232092,1,30,9,-1,372904
148439254,1,38,9,-1,246819
149373262,1,34,9,-1,287772
159790926,1,20,10,-1,110710
162842534,1,22,10,-1,125455
163251471,1,38,10,-1,376181
163349859,1,30,10,-1,345700
164808582,1,34,10,-1,394818
174910939,1,20,11,-1,187840
177959670,1,22,11,-1,297298
178472856,1,30,11,-1,187456
179001172,1,38,11,-1,160141
179613483,1,34,11,-1,66906
189086139,1,20,12,-1,214572
192967815,1,30,12,-1,229251
193169499,1,38,12,-1,269956
194024602,1,22,12,-1,360946
194741746,1,34,12,-1,574646
204206318,1,20,13,-1,318329
207344774,1,38,13,-1,81877
207765185,1,30,13,-1,268858
209144988,1,22,13,-1,271678
209223909,1,34,13,-1,363565
219956415,1,20,14,-1,303639
222885304,1,30,14,-1,146789
223098363,1,38,14,-1,187038
223320022,1,22,14,-1,126390
223713990,1,34,14,-1,128341
235391534,1,20,15,-1,199685
237900165,1,38,15,-1,285715
238124972,1,22,15,-1,368850
238635408,1,30,15,-1,84383
238841179,1,34,15,-1,358514
250196650,1,20,16,-1,293811
252078562,1,38,16,-1,284334
252813108,1,30,16,-1,191731
252938337,1,22,16,-1,127478
265001550,1,20,17,-1,59701
266883940,1,38,17,-1,89772
266988220,1,30,17,-1,265320
267506038,1,14,0,-1,4671804
267736451,1,22,17,-1,120944
278207956,1,14,1,-1,963379
279808209,1,20,18,-1,77308
281479896,1,30,18,-1,288246
281686633,1,38,18,-1,100149
282856840,1,22,18,-1,116323
293013052,1,14,2,-1,745038
294928332,1,20,19,-1,525535
296495966,1,38,19,-1,240881
296597191,1,30,19,-1,264917
297031952,1,22,19,-1,213320
308133345,1,14,3,-1,802811
309103385,1,20,20,-1,411506
310993186,1,38,20,-1,81812
311087263,1,30,20,-1,518312
322963505,1,20,21,-1,99781
325265068,1,30,21,-1,112480
326109980,1,38,21,-1,378333
338083655,1,20,22,-1,446493
339752496,1,30,22,-1,263981
341222238,1,38,22,-1,568726
352573786,1,20,23,-1,327635
355190144,1,30,23,-1,404744
356657355,1,38,23,-1,191323
359553996,1,15,0,-1,6438658
367383097,1,20,24,-1,261531
368000743,1,15,1,-1,565124
370941814,1,30,24,-1,320417
372096735,1,38,24,-1,341611
524911141,1,6,0,-1,3805563
536530689,1,6,1,-1,728547
550705807,1,6,2,-1,584576
565828098,1,11,0,-1,1428064
581884649,1,11,1,-1,2070613
585354956,1,3,0,-1,5502859
595426758,1,3,1,-1,1223643
597950814,1,11,2,-1,2152402
610553985,1,3,2,-1,1944590
611818425,1,11,3,-1,1551243
618137106,1,25,0,-1,9886629
731341492,1,21,0,-1,2456276
745184832,1,21,1,-1,1607577
