sim_time_us,node_id,time_source,join_priority
2377845,34,0x0001,1
2377870,20,0x0001,1
2377870,30,0x0001,1
2377870,38,0x0001,1
2377875,22,0x0001,1
183504105,23,0x0022,2
206499437,8,0x0022,2
250914837,14,0x0008,3
279895245,5,0x000e,4
289345129,2,0x0016,2
294700197,17,0x0016,2
341950830,15,0x001e,2
360536083,40,0x0005,4
368095820,16,0x0017,3
374710803,24,0x001e,2
397076003,9,0x001e,2
454721407,26,0x0026,2
459131542,31,0x0009,3
501026808,6,0x001a,3
509531825,19,0x001f,4
512366946,12,0x0011,3
512366992,18,0x0011,3
549852375,11,0x0028,5
564342401,3,0x0005,4
599307637,25,0x0006,4
604662567,39,0x001f,4
645298051,7,0x0010,4
649078308,37,0x000c,4
654748340,35,0x0006,4
655693149,10,0x0012,4
663253129,27,0x0006,4
663253250,32,0x0007,5
667978125,41,0x0005,4
716488759,21,0x0013,5
747043996,33,0x0020,6
791459008,28,0x0026,2
831464766,13,0x001c,3
856979677,4,0x0020,6
858869907,29,0x0015,6
1386499119,42,0x001f,4
2386316521,42,0x0001,1
2638318354,42,0x0014,2
2870160535,42,0x000d,4
3405980079,42,0x0010,4
