sim_time_us,node_id
4773185,22
4773212,38
4773224,30
4773228,20
4773260,34
210470483,8
210470657,23
253940336,14
282605584,5
297880040,17
297880045,2
345130403,15
363876548,40
377422228,24
380257015,16
400570923,9
457747534,26
463416878,31
505312912,6
512712055,19
545156998,12
545157053,18
552248752,11
573983121,3
603747057,25
637138134,39
648954331,7
652104420,37
658558169,10
665488184,35
665488359,27
666593961,32
671157954,41
720144960,21
750385256,33
794485052,28
834329857,13
859691226,4
862365018,29
