sim_time_us,event,detail
2164145249,STATUS,tick=50
2174168687,STATUS,tick=51
2184192400,STATUS,tick=52
2194215842,STATUS,tick=53
2204239020,STATUS,tick=54
2214262438,STATUS,tick=55
2224285875,STATUS,tick=56
2234309313,STATUS,tick=57
2244332750,STATUS,tick=58
2254356467,STATUS,tick=59
2264379919,STATUS,tick=60
2274403063,STATUS,tick=61
2284426779,STATUS,tick=62
2294449938,STATUS,tick=63
2304473375,STATUS,tick=64
2314496813,STATUS,tick=65
2324520270,STATUS,tick=66
2334543688,STATUS,tick=67
2344567652,STATUS,tick=68
2354590563,STATUS,tick=69
2364614000,STATUS,tick=70
2374637437,STATUS,tick=71
2384660895,STATUS,tick=72
2394692312,STATUS,tick=73
2404723560,STATUS,tick=74
2414754791,STATUS,tick=75
2424793876,STATUS,tick=76
2434825130,STATUS,tick=77
2444856494,STATUS,tick=78
2454887609,STATUS,tick=79
2458529972,BOOT,
2468566286,STATUS,tick=1
2478574098,STATUS,tick=2
2488581911,STATUS,tick=3
2498589723,STATUS,tick=4
2508597536,STATUS,tick=5
2518608317,STATUS,tick=6
2528621266,STATUS,tick=7
2538628786,STATUS,tick=8
2548636598,STATUS,tick=9
2558644550,STATUS,tick=10
2568652363,STATUS,tick=11
2578660195,STATUS,tick=12
2588667988,STATUS,tick=13
2598691426,STATUS,tick=14
2608714863,STATUS,tick=15
2618738578,STATUS,tick=16
2628761738,STATUS,tick=17
2638785242,STATUS,tick=18
2648808824,STATUS,tick=19
2658839992,STATUS,tick=20
2668869584,STATUS,tick=21
2678898673,STATUS,tick=22
2688925940,STATUS,tick=23
2698949387,STATUS,tick=24
2708978870,STATUS,tick=25
2719011877,STATUS,tick=26
2729035305,STATUS,tick=27
2739059246,STATUS,tick=28
2749090005,STATUS,tick=29
2759113463,STATUS,tick=30
2769137994,STATUS,tick=31
2779168151,STATUS,tick=32
2786806621,BOOT,
2796842934,STATUS,tick=1
2806850746,STATUS,tick=2
2816858559,STATUS,tick=3
2826866371,STATUS,tick=4
2836874184,STATUS,tick=5
2846884965,STATUS,tick=6
2856897914,STATUS,tick=7
2866905434,STATUS,tick=8
2876913457,STATUS,tick=9
2886936953,STATUS,tick=10
2896960400,STATUS,tick=11
2906983857,STATUS,tick=12
2917015097,STATUS,tick=13
2927046361,STATUS,tick=14
2937069798,STATUS,tick=15
2947093236,STATUS,tick=16
2957116664,STATUS,tick=17
2957441972,BOOT,
2967478285,STATUS,tick=1
2977486098,STATUS,tick=2
2987493910,STATUS,tick=3
2997501723,STATUS,tick=4
3007509535,STATUS,tick=5
3017520316,STATUS,tick=6
3027533266,STATUS,tick=7
3037540785,STATUS,tick=8
3047548598,STATUS,tick=9
3057556550,STATUS,tick=10
3067564362,STATUS,tick=11
3077572195,STATUS,tick=12
3087579987,STATUS,tick=13
3097587800,STATUS,tick=14
3107595886,STATUS,tick=15
3117603425,STATUS,tick=16
3127611238,STATUS,tick=17
3137619070,STATUS,tick=18
3147626863,STATUS,tick=19
3157634963,STATUS,tick=20
3167642488,STATUS,tick=21
3177650300,STATUS,tick=22
3187658395,STATUS,tick=23
3197681570,STATUS,tick=24
3207697175,STATUS,tick=25
3217712800,STATUS,tick=26
3227728425,STATUS,tick=27
3237744050,STATUS,tick=28
3247759675,STATUS,tick=29
3257775320,STATUS,tick=30
3267790926,STATUS,tick=31
3277806551,STATUS,tick=32
3287822176,STATUS,tick=33
3297837800,STATUS,tick=34
3307853426,STATUS,tick=35
3317869071,STATUS,tick=36
3327884676,STATUS,tick=37
3337900301,STATUS,tick=38
3347915926,STATUS,tick=39
3357931551,STATUS,tick=40
3367947176,STATUS,tick=41
3377970906,STATUS,tick=42
3387994051,STATUS,tick=43
3398017766,STATUS,tick=44
3408040949,STATUS,tick=45
3418069350,STATUS,tick=46
3428087929,STATUS,tick=47
3438111396,STATUS,tick=48
3448142218,STATUS,tick=49
3458166065,STATUS,tick=50
3468189493,STATUS,tick=51
3478212941,STATUS,tick=52
3488236378,STATUS,tick=53
3498260457,STATUS,tick=54
3508283243,STATUS,tick=55
3518306727,STATUS,tick=56
3528330142,STATUS,tick=57
3538353579,STATUS,tick=58
3548379770,STATUS,tick=59
3558400464,STATUS,tick=60
3566870596,BOOT,
3576906909,STATUS,tick=1
3586914722,STATUS,tick=2
3596922534,STATUS,tick=3
