sim_time_us,observer_id,known_count,entries
10490406,42,0,
10836575,1,1,1:2|
20498218,42,0,
24633034,1,1,1:3|
25489075,1,2,1:3|22:1|
27682418,1,2,1:3|22:1|
30506031,42,0,
35747936,1,2,1:4|22:1|
36045447,22,2,1:4|22:1|
36046353,30,3,1:4|22:1|30:1|
36046378,38,3,1:4|22:1|38:1|
36046401,20,3,1:4|20:1|22:1|
36046403,34,3,1:4|22:1|34:1|
37876279,1,3,1:4|20:1|22:1|
38815806,1,3,1:4|20:1|22:1|
39132574,1,4,1:4|20:1|22:1|38:1|
40066588,1,4,1:4|20:1|22:1|38:1|
40513843,42,0,
41334842,1,4,1:4|20:1|22:1|38:1|
43437991,1,4,1:4|20:1|22:1|38:1|
43843359,1,4,1:4|20:1|22:1|38:1|
44470173,1,5,1:4|20:1|22:1|34:1|38:1|
45722331,1,5,1:4|20:1|22:1|34:1|38:1|
46294522,20,5,1:5|20:1|22:1|34:1|38:1|
46294522,34,5,1:5|20:1|22:1|34:1|38:1|
46294548,38,5,1:5|20:1|22:1|34:1|38:1|
46294729,22,5,1:5|20:1|22:1|34:1|38:1|
46295538,30,6,1:5|20:1|22:1|30:1|34:1|38:1|
46347537,1,5,1:5|20:1|22:1|34:1|38:1|
46667995,1,5,1:5|20:1|22:1|34:1|38:1|
50521656,42,0,
51835275,1,6,1:5|20:1|22:1|30:1|34:1|38:1|
52769638,1,6,1:5|20:1|22:1|30:1|34:1|38:1|
53715476,1,6,1:5|20:1|22:1|30:1|34:1|38:1|
55833273,1,6,1:5|20:1|22:1|30:1|34:1|38:1|
57181854,1,6,1:5|20:1|22:1|30:1|34:1|38:1|
57699358,1,6,1:6|20:1|22:1|30:1|34:1|38:1|
57785655,30,6,1:6|20:1|22:1|30:1|34:1|38:1|
57785786,22,6,1:6|20:1|22:1|30:1|34:1|38:1|
57785818,34,6,1:6|20:1|22:1|30:1|34:1|38:1|
57785820,20,6,1:6|20:1|22:1|30:1|34:1|38:1|
57785851,38,6,1:6|20:1|22:1|30:1|34:1|38:1|
57931172,1,6,1:6|20:1|22:1|30:1|34:1|38:1|
59281387,1,6,1:6|20:1|22:1|30:1|34:1|38:1|
60221468,1,6,1:6|20:1|22:1|30:1|34:1|38:1|
60396972,25,1,25:2|
60402284,10,1,10:2|
60414707,31,1,31:2|
60421178,13,1,13:2|
60455533,26,1,26:2|
60483676,41,1,41:2|
60526911,40,1,40:2|
60532445,42,0,
60536203,2,1,2:2|
60545150,22,6,1:6|20:1|22:2|30:1|34:1|38:1|
60568687,10,2,10:2|18:2|
60583583,18,1,18:2|
60588950,4,1,4:2|
60600680,30,6,1:6|20:1|22:1|30:2|34:1|38:1|
60657012,40,2,5:2|40:2|
60657023,41,2,5:2|41:2|
60663276,29,1,29:2|
60671773,5,1,5:2|
60700754,29,2,21:2|29:2|
60704185,18,2,12:2|18:2|
60713701,5,2,5:2|8:2|
60714229,16,1,16:2|
60715654,21,1,21:2|
60719050,12,1,12:2|
