sim_time_us,node_id,seq
534050419,34,0
534672781,31,20
534809841,26,8
534925432,15,3
535631759,40,15
535721642,27,10
535732430,28,15
536014784,39,20
536111770,33,9
538134124,22,35
538273533,29,32
538601646,14,35
538652810,13,35
538881828,30,35
544336566,38,28
547217720,36,13
547479493,7,3
547687313,41,11
547765934,6,4
547825502,35,1
548273756,21,34
548558522,34,1
549000366,37,20
549415945,32,12
549497350,26,9
550405216,40,16
550426719,31,21
550581702,15,4
551581510,27,11
551646502,28,16
551842909,39,21
551885255,33,10
552795232,14,36
553137043,22,36
553914177,29,33
554223885,13,36
554436545,30,36
559945910,38,29
561756903,7,4
562085750,41,12
562553626,36,14
562980059,21,35
563473929,35,2
563519197,34,2
563750300,6,5
563833472,24,0
563934541,37,21
565135306,23,0
565311436,40,17
565322415,32,13
565341221,26,10
565620755,15,5
565747012,31,22
565865242,28,17
566959785,39,22
567291964,27,12
567410472,14,37
567486919,33,11
567632920,22,37
569351687,29,34
569551970,13,37
569584973,30,37
574305266,38,30
576234168,41,13
577086454,36,15
577582875,7,5
577880345,24,1
577980159,21,36
578047155,6,6
578075525,35,3
578230104,34,3
578629843,37,22
579658684,23,1
579801680,31,23
579866743,15,6
580023076,40,18
580256642,32,14
580817805,26,11
581521948,28,18
581747075,14,38
582029626,12,0
582461036,22,38
582857601,39,23
583190392,27,13
583384653,33,12
583856658,13,38
584010831,29,35
584670880,30,38
589094329,38,31
590936301,41,14
592512977,35,4
592636384,34,4
592737267,7,6
592787992,36,16
593067344,37,23
593328394,6,7
593617485,21,37
593825667,24,2
594343785,25,0
594463728,4,0
594623819,32,15
595183225,15,7
595407665,26,12
595468993,31,24
595667990,23,2
595965160,14,39
596000500,40,19
596001441,11,0
596035797,20,0
596209264,12,1
596586026,22,39
597451169,28,19
597676253,27,14
597960106,39,24
598330660,33,13
598880095,13,39
598983381,30,39
599921960,29,36
604422493,38,32
605381517,41,15
606692732,35,5
607241146,36,17
607476872,6,8
608207220,34,5
608338859,7,7
608465821,37,24
608574331,24,3
608748869,32,16
609133130,21,38
609627761,4,1
609796890,25,1
610316097,15,8
610588298,12,2
610797950,26,13
611067027,20,1
611082998,31,25
611199593,14,40
611425924,23,3
611451026,40,20
611757959,22,40
611951179,28,20
611986369,11,1
612725032,39,25
613306546,27,15
613607335,13,40
614230041,33,14
614655295,30,40
615001278,29,37
619984973,38,33
620273250,41,16
621786473,35,6
621936449,36,18
622396184,34,6
622871717,6,9
623114740,24,4
623565421,7,8
623679994,21,39
624223594,37,25
624366026,32,17
625052159,26,14
625417630,15,9
625549635,4,2
625571067,25,2
625920814,31,26
626152954,20,2
626274794,19,0
626290575,28,21
626327063,12,3
626553407,23,4
626799724,40,21
626805892,22,41
627051108,14,41
627095161,11,2
628120079,27,16
628335087,39,26
629221295,33,15
629258804,13,41
630092776,30,41
630218865,29,38
634960751,41,17
635719338,38,34
636569260,34,7
636897396,36,19
637169408,24,5
637388025,35,7
637906556,21,40
638266045,6,10
638627902,7,9
638897267,32,18
639747051,37,26
640052158,26,15
640545211,12,4
640619927,4,3
640773433,25,3
640962219,19,1
640976263,15,10
641160747,20,3
641365222,28,22
641384213,11,3
641397403,40,22
641512637,31,27
641707367,14,42
641776476,23,5
642468848,22,42
642901948,27,17
643666125,39,27
644385377,33,16
645073162,30,42
645118925,13,42
645687615,29,39
650390427,41,18
651003581,34,8
651278792,24,6
651442713,35,8
651555284,38,35
652365824,36,20
653386024,21,41
653633223,6,11
653815532,7,10
654123849,32,19
654583491,37,27
655471520,4,4
655498956,40,23
655531255,25,4
655571780,26,16
655932121,23,6
656043887,31,28
656157533,19,2
656227963,11,4
656436429,14,43
656467066,12,5
656863155,22,43
656917750,15,11
657074829,20,4
657091805,28,23
657940392,27,18
658495396,39,28
658777489,8,0
659661346,13,43
660116203,30,43
660307232,33,17
