sim_time_us,node_id,time_source,join_priority
2832775,22,0x0001,1
2832776,13,0x0001,1
2832777,14,0x0001,1
2832780,30,0x0001,1
31813033,29,0x0001,1
31813054,21,0x0001,1
116233685,38,0x001e,2
203174422,39,0x0026,3
203174457,37,0x0026,3
218609464,31,0x001e,2
289800216,28,0x001d,4
291690166,40,0x0027,4
332010500,36,0x0025,5
359100632,32,0x001f,3
360990843,27,0x001c,5
368550865,41,0x0028,5
389971234,33,0x0020,4
406981256,26,0x001b,6
462736341,6,0x000e,2
462736370,15,0x000e,2
495496951,7,0x0006,3
512822387,35,0x0024,6
514712004,34,0x001a,7
543377160,24,0x0020,4
549362082,23,0x0016,2
567002125,12,0x000d,2
572357470,20,0x000c,3
576452283,4,0x000c,3
576452313,11,0x000c,3
579917777,25,0x0018,5
612992932,19,0x000b,4
651422972,8,0x0007,4
659928376,18,0x0013,5
667487884,10,0x000b,4
667488114,3,0x000b,4
688908306,2,0x000a,7
714738446,17,0x0019,6
720723332,5,0x000d,2
745923604,9,0x0008,5
1163301915,16,0x000f,3
1245517832,42,0x000b,4
1574065317,42,0x000e,2
2199344921,42,0x000f,3
2290695510,42,0x0001,1
2744929616,42,0x001b,6
2938970950,42,0x0024,6
3245153420,42,0x0028,5
3484240199,42,0x0029,6
