sim_time_us,receiver_id,src_id,seq,latency_reported_ms,aoi_us
25027744,1,22,0,-1,12504300
25776317,1,13,0,-1,13294751
26909753,1,22,1,-1,140551
28600100,1,13,1,-1,196695
33769082,1,14,0,-1,21155567
35021386,1,14,1,-1,6486023
41400904,1,22,2,-1,96260
43406997,1,13,2,-1,135558
43615722,1,21,0,-1,1896765
44472840,1,14,2,-1,330125
56836927,1,22,3,-1,305711
57152681,1,21,1,-1,933785
57476621,1,29,0,-1,1015728
58532272,1,13,3,-1,636684
59593802,1,14,3,-1,265213
72590215,1,22,4,-1,293354
73981691,1,13,4,-1,351708
74724004,1,14,4,-1,196437
75651805,1,30,1,-1,47777898
76908989,1,30,2,-1,33910115
77854164,1,30,3,-1,19339656
78484988,1,30,4,-1,5556354
86765264,1,22,5,-1,273120
88144724,1,13,5,-1,374145
88565092,1,30,5,-1,356627
90781346,1,14,5,-1,300694
102515562,1,22,6,-1,406207
103055050,1,30,6,-1,87370
103264556,1,13,6,-1,79891
105271504,1,14,6,-1,359730
117005634,1,22,7,-1,91625
117860121,1,30,7,-1,142464
119015240,1,13,7,-1,189984
119446785,1,14,7,-1,355273
132061268,1,38,0,-1,959178
132766538,1,22,8,-1,329052
134254605,1,14,8,-1,121563
134776054,1,13,8,-1,403864
146211996,1,38,1,-1,887154
159757116,1,38,2,-1,186357
174247131,1,38,3,-1,270112
762068656,1,9,0,-1,2118728
778114303,1,9,1,-1,3945666
791343565,1,9,2,-1,1549907
807413550,1,9,3,-1,1893350
