sim_time_us,node_id
5228076,13
5228092,22
5228101,14
5228111,30
35308555,21
38145292,29
120519841,38
221320594,31
228089541,39
234389605,37
293610051,28
295031522,40
335508652,36
338669109,37
361965659,32
363124229,32
370002098,27
372521993,41
392367441,33
410952563,26
483870530,6
483870595,15
495841199,7
516632063,35
518683551,34
547663431,24
553018611,23
570342626,12
581206437,4
581206596,11
582944079,25
588452116,20
618853474,19
654448463,8
662954670,18
663162271,18
672873445,10
692717771,2
701538235,3
714503042,3
718552356,17
723272725,5
748789240,9
879852451,2
1166958107,16
1172048862,16
1249226127,10
2939737075,18
