sim_time_us,node_id
4637540,22
4637548,38
4637555,30
4637564,34
4637584,20
86378026,15
92677873,24
148121622,9
210803840,17
245615209,28
245615264,26
280580521,6
328146157,18
328146182,12
364371698,2
364577563,2
367520866,25
373190572,31
402171418,13
410046417,35
454146617,37
454301062,10
456037447,27
458556821,8
501081634,14
530845693,33
538882562,39
540034298,39
544237071,5
602981480,40
666297868,11
695123960,19
695439162,4
741268231,32
802224714,21
884908702,23
948539617,16
960195286,7
1134237354,29
1191567213,3
1492233691,41
3359061018,17
