sim_time_us,node_id,event,peer,detail
374556053,6,SUCCESS,0x0019,
374725524,25,CELL_ALLOC,0x0006,slot=16 ch=1 dir=Transmit
382838382,31,LIST,0x0009,
383046212,9,EOL,0x001f,
383100681,9,LIST,0x001f,
383246760,31,ADD,0x0009,
383841225,31,EOL,0x0009,
383992251,9,CELL_ALLOC,0x001f,slot=20 ch=0 dir=Receive
384006328,9,SUCCESS,0x001f,
384060753,6,LIST,0x0019,
384156070,25,EOL,0x0006,
384175511,31,CELL_ALLOC,0x0009,slot=20 ch=0 dir=Transmit
402820683,18,LIST,0x000c,
402891170,12,EOL,0x0012,
403775708,1,LIST,0x0022,
403836022,34,EOL,0x0001,
409164718,13,LIST,0x001c,
409356627,28,EOL,0x000d,
409549577,13,ADD,0x001c,
409672631,28,CELL_ALLOC,0x000d,slot=16 ch=8 dir=Receive
409686601,28,SUCCESS,0x000d,
409829831,13,CELL_ALLOC,0x001c,slot=16 ch=8 dir=Transmit
417196149,30,LIST,0x0018,
417231698,24,EOL,0x001e,
419754489,35,LIST,0x000d,
420240574,35,LIST,0x0006,
420744298,35,LIST,0x0019,
421791478,13,EOL,0x0023,
424626531,6,EOL,0x0023,
425886347,25,EOL,0x0023,
426556530,35,ADD,0x000d,
426832449,13,CELL_ALLOC,0x0023,slot=15 ch=6 dir=Receive
426846446,13,SUCCESS,0x0023,
427016327,35,CELL_ALLOC,0x000d,slot=15 ch=6 dir=Transmit
434078225,25,LIST,0x0023,
434241966,35,EOL,0x0019,
440285411,17,LIST,0x0012,
440376353,18,EOL,0x0011,
454223136,38,LIST,0x001e,
454402356,30,EOL,0x0026,
455018654,13,LIST,0x0023,
455181582,35,EOL,0x000d,
458601966,28,LIST,0x000d,
458646927,13,EOL,0x001c,
459286264,12,LIST,0x0025,
459328723,37,LIST,0x000c,
459817741,37,LIST,0x0012,
460221617,37,EOL,0x000c,
460537026,12,EOL,0x0025,
460568069,10,LIST,0x0012,
462784002,27,LIST,0x0019,
464797348,18,EOL,0x0025,
468042322,8,LIST,0x0022,
468096785,34,EOL,0x0008,
468262670,18,EOL,0x000a,
468297274,8,ADD,0x0022,
468412788,34,CELL_ALLOC,0x0008,slot=13 ch=8 dir=Receive
468426809,34,SUCCESS,0x0008,
468596091,8,CELL_ALLOC,0x0022,slot=13 ch=8 dir=Transmit
469672028,25,EOL,0x001b,
470026578,27,ADD,0x0019,
470303216,25,CELL_ALLOC,0x001b,slot=15 ch=10 dir=Receive
470317268,25,SUCCESS,0x001b,
470955851,27,CELL_ALLOC,0x0019,slot=15 ch=10 dir=Transmit
471286541,10,ADD,0x0012,
471413935,18,CELL_ALLOC,0x000a,slot=19 ch=12 dir=Receive
471427994,18,SUCCESS,0x000a,
471902518,10,CELL_ALLOC,0x0012,slot=19 ch=12 dir=Transmit
472240880,13,ADD,0x0023,
472383077,35,SUCCESS,0x000d,
472786609,13,CELL_ALLOC,0x0023,slot=9 ch=4 dir=Transmit
472803355,13,SUCCESS,0x0023,
473046633,35,CELL_ALLOC,0x000d,slot=9 ch=4 dir=Receive
475690695,28,ADD,0x000d,
475848838,13,SUCCESS,0x001c,
475955479,28,CELL_ALLOC,0x000d,slot=11 ch=3 dir=Transmit
475968458,28,SUCCESS,0x000d,
476236711,13,CELL_ALLOC,0x001c,slot=11 ch=3 dir=Receive
494558738,15,LIST,0x0026,
494924704,38,EOL,0x000f,
507888631,37,ADD,0x000c,
508133402,12,SUCCESS,0x0025,
508286940,37,CELL_ALLOC,0x000c,slot=13 ch=8 dir=Transmit
508299890,37,SUCCESS,0x000c,
508422485,14,LIST,0x0008,
508686677,12,CELL_ALLOC,0x0025,slot=13 ch=8 dir=Receive
509992088,8,EOL,0x000e,
510192442,14,ADD,0x0008,
510308039,8,CELL_ALLOC,0x000e,slot=12 ch=5 dir=Receive
510322019,8,SUCCESS,0x000e,
510491454,14,CELL_ALLOC,0x0008,slot=12 ch=5 dir=Transmit
523934797,27,LIST,0x0006,
524018066,6,EOL,0x001b,
538758743,33,LIST,0x000d,
538898581,22,LIST,0x0002,
538972044,2,EOL,0x0016,
538972567,13,EOL,0x0021,
539173226,33,ADD,0x000d,
539288432,13,CELL_ALLOC,0x0021,slot=7 ch=0 dir=Receive
539299642,20,LIST,0x0022,
539302467,13,SUCCESS,0x0021,
539452396,34,EOL,0x0014,
539471701,33,CELL_ALLOC,0x000d,slot=7 ch=0 dir=Transmit
540135722,39,LIST,0x001f,
540629359,39,LIST,0x000a,
540648862,6,ADD,0x0019,
540738454,25,SUCCESS,0x0006,
541160957,6,CELL_ALLOC,0x0019,slot=9 ch=0 dir=Transmit
541173996,6,SUCCESS,0x0019,
541403956,25,CELL_ALLOC,0x0006,slot=9 ch=0 dir=Receive
543862653,10,EOL,0x0027,
544177669,31,EOL,0x0027,
544366910,39,ADD,0x001f,
544808766,31,CELL_ALLOC,0x0027,slot=19 ch=9 dir=Receive
544822753,31,SUCCESS,0x0027,
544983774,39,CELL_ALLOC,0x001f,slot=19 ch=9 dir=Transmit
551027571,5,LIST,0x0008,
551107732,8,EOL,0x0005,
551520091,5,LIST,0x000e,
551887416,14,EOL,0x0005,
552640992,10,LIST,0x0027,
552682945,39,EOL,0x000a,
552838533,31,LIST,0x0027,
552997706,39,EOL,0x001f,
553196176,5,ADD,0x0008,
553463905,8,CELL_ALLOC,0x0005,slot=11 ch=0 dir=Receive
553477906,8,SUCCESS,0x0005,
553804996,5,CELL_ALLOC,0x0008,slot=11 ch=0 dir=Transmit
553851349,24,LIST,0x001e,
553974147,34,LIST,0x0014,
554092375,20,EOL,0x0022,
554177761,30,EOL,0x0018,
561490360,8,LIST,0x000e,
561652310,14,EOL,0x0008,
567390202,14,LIST,0x0005,
567487293,5,EOL,0x000e,
568683558,8,ADD,0x000e,
568781842,14,SUCCESS,0x0008,
569132651,8,CELL_ALLOC,0x000e,slot=10 ch=5 dir=Transmit
569145657,8,SUCCESS,0x000e,
569458548,14,CELL_ALLOC,0x0008,slot=10 ch=5 dir=Receive
586766037,18,LIST,0x0025,
586852737,37,EOL,0x0012,
591302959,6,LIST,0x0023,
591431445,35,EOL,0x0006,
601657093,30,LIST,0x0009,
601823081,9,EOL,0x001e,
604668189,17,LIST,0x000c,
604807826,12,EOL,0x0011,
611016104,40,LIST,0x000e,
611508873,40,LIST,0x0005,
613478134,14,EOL,0x0028,
614082958,5,LIST,0x0028,
614257860,40,EOL,0x0005,
