sim_time_us,node_id,period,total,cpu,lpm,deep_lpm,radio_tx,radio_rx,radio_total
60329711,23,0,1966110,42593,1923517,0,0,1965561,1965561
60346332,22,0,1966117,51687,1914430,0,5869,114364,120233
60360136,29,0,1966110,42466,1923644,0,0,1965561,1965561
60361186,14,0,1966117,42466,1923651,0,0,1965568,1965568
60363846,3,0,1966126,42452,1923674,0,0,1965577,1965577
60370242,38,0,1966117,88648,1877469,0,6202,115823,122025
60436811,33,0,1966110,42465,1923645,0,0,1965561,1965561
60480956,8,0,1966126,42603,1923523,0,0,1965577,1965577
60529819,15,0,1966117,42959,1923158,0,0,1965568,1965568
60533036,32,0,1966110,42465,1923645,0,0,1965561,1965561
60568032,11,0,1966117,42466,1923651,0,0,1965568,1965568
60580414,25,0,1966110,42465,1923645,0,0,1965561,1965561
60598942,20,0,1966117,81356,1884761,0,6002,108885,114887
60628606,35,0,1966110,42465,1923645,0,0,1965561,1965561
60634012,13,0,1966117,42466,1923651,0,0,1965568,1965568
60670897,28,0,1966110,42540,1923570,0,0,1965561,1965561
60689771,36,0,1966110,42465,1923645,0,0,1965561,1965561
60699901,9,0,1966126,42836,1923290,0,0,1965577,1965577
60709302,39,0,1966110,42465,1923645,0,0,1965561,1965561
60710332,19,0,1966110,42465,1923645,0,0,1965561,1965561
60713682,21,0,1966110,42465,1923645,0,0,1965561,1965561
60710974,34,0,1966118,62143,1903975,0,5073,100630,105703
60738997,1,0,1966163,1966163,0,0,10075,95133,105208
60765301,16,0,1966110,42465,1923645,0,0,1965561,1965561
60805143,6,0,1966126,42452,1923674,0,0,1965577,1965577
60811265,41,0,1966110,42465,1923645,0,0,1965561,1965561
60854192,4,0,1966126,42452,1923674,0,0,1965577,1965577
60865676,5,0,1966126,42452,1923674,0,0,1965577,1965577
60893191,10,0,1966117,42466,1923651,0,0,1965568,1965568
60901638,30,0,1966116,65836,1900280,0,5706,87884,93590
60913603,27,0,1966110,42466,1923644,0,0,1965561,1965561
60952425,12,0,1966117,42466,1923651,0,0,1965568,1965568
60967261,2,0,1966126,42514,1923612,0,0,1965577,1965577
60970742,24,0,1966110,43129,1922981,0,0,1965561,1965561
60971429,7,0,1966126,42452,1923674,0,0,1965577,1965577
60980210,31,0,1966109,42465,1923644,0,0,1965561,1965561
61076637,17,0,1966110,42527,1923583,0,0,1965561,1965561
61080721,18,0,1966110,42465,1923645,0,0,1965561,1965561
61119902,40,0,1966110,42465,1923645,0,0,1965561,1965561
61155338,37,0,1966110,42465,1923645,0,0,1965561,1965561
61190469,26,0,1966110,42873,1923237,0,0,1965561,1965561
120329709,23,1,1966080,43866,1922214,0,0,1966080,1966080
120346292,22,1,1966079,37896,1928183,0,3691,54067,57758
120360134,29,1,1966080,43799,1922281,0,0,1966080,1966080
120361184,14,1,1966080,43799,1922281,0,0,1966080,1966080
120363844,3,1,1966080,43787,1922293,0,0,1966080,1966080
120371778,38,1,1966079,80403,1885676,0,5659,66241,71900
120436809,33,1,1966080,43800,1922280,0,0,1966080,1966080
120480954,8,1,1966080,43876,1922204,0,0,1966080,1966080
120530038,15,1,1966087,71291,1894796,0,3701,777417,781118
120533034,32,1,1966080,43800,1922280,0,0,1966080,1966080
120568030,11,1,1966080,43799,1922281,0,0,1966080,1966080
120580412,25,1,1966080,43799,1922281,0,0,1966080,1966080
120598902,20,1,1966079,67303,1898776,0,3663,55446,59109
120628604,35,1,1966080,43800,1922280,0,0,1966080,1966080
120634010,13,1,1966080,43799,1922281,0,0,1966080,1966080
120670895,28,1,1966080,44475,1921605,0,0,1966080,1966080
120689769,36,1,1966080,43800,1922280,0,0,1966080,1966080
120699899,9,1,1966080,44170,1921910,0,0,1966080,1966080
120709300,39,1,1966080,43800,1922280,0,0,1966080,1966080
120710967,34,1,1966079,42026,1924053,0,3191,50413,53604
120710330,19,1,1966080,43799,1922281,0,0,1966080,1966080
120713680,21,1,1966080,43799,1922281,0,0,1966080,1966080
120746909,1,1,1966339,1966339,0,0,8182,119647,127829
120765299,16,1,1966080,43799,1922281,0,0,1966080,1966080
120805141,6,1,1966080,43787,1922293,0,0,1966080,1966080
120811263,41,1,1966080,43799,1922281,0,0,1966080,1966080
120854190,4,1,1966080,43787,1922293,0,0,1966080,1966080
120865674,5,1,1966080,43787,1922293,0,0,1966080,1966080
120893189,10,1,1966080,43799,1922281,0,0,1966080,1966080
120901600,30,1,1966079,76222,1889857,0,5799,64413,70212
120913601,27,1,1966080,43799,1922281,0,0,1966080,1966080
120952423,12,1,1966080,43799,1922281,0,0,1966080,1966080
120967259,2,1,1966080,44241,1921839,0,0,1966080,1966080
120971427,7,1,1966080,43787,1922293,0,0,1966080,1966080
120970962,24,1,1966087,54010,1912077,0,3389,943498,946887
120980208,31,1,1966080,43800,1922280,0,0,1966080,1966080
121076635,17,1,1966080,43946,1922134,0,0,1966080,1966080
121080719,18,1,1966080,43799,1922281,0,0,1966080,1966080
121119900,40,1,1966080,43799,1922281,0,0,1966080,1966080
121155336,37,1,1966080,43800,1922280,0,0,1966080,1966080
121190467,26,1,1966080,44007,1922073,0,0,1966080,1966080
180329709,23,2,1966080,43786,1922294,0,0,1966080,1966080
180346488,22,2,1966087,37880,1928207,0,3412,53642,57054
180360134,29,2,1966080,43689,1922391,0,0,1966080,1966080
180361184,14,2,1966080,43689,1922391,0,0,1966080,1966080
