sim_time_us,node_id,time_source,join_priority
1927247,30,0x0001,1
2242195,38,0x0001,1
2242196,20,0x0001,1
2242222,34,0x0001,1
2242273,22,0x0001,1
83197924,15,0x0026,2
88867772,24,0x001e,2
137693447,9,0x0018,3
181793708,17,0x0018,3
229673799,28,0x0026,2
229673835,26,0x0026,2
276924423,6,0x001a,3
321024853,12,0x0011,4
321024878,18,0x0011,4
361345029,2,0x0016,2
363550183,25,0x0006,4
368905105,31,0x0009,3
397885374,13,0x001c,3
407650802,35,0x000d,4
449861225,37,0x0012,5
453640891,27,0x0006,4
453640962,10,0x0012,5
455530729,8,0x0022,2
496796154,14,0x0008,3
526721400,33,0x000d,4
534281709,5,0x0008,3
536171538,39,0x001f,4
599487309,40,0x0005,4
661857600,11,0x0028,5
691467604,4,0x0021,5
691467725,19,0x001f,4
737773183,32,0x0021,5
797938419,21,0x0013,5
882359074,23,0x0022,2
945044676,16,0x0017,4
952605105,7,0x0010,5
1130581238,29,0x0015,6
1187596584,3,0x0005,4
1489683936,41,0x0005,4
