sim_time_us,node_id,seq
11748545,22,0
12330517,21,0
12395207,29,0
12403216,14,0
12555400,13,0
12685485,30,0
26572678,21,1
26797562,13,1
27184214,29,1
27192228,14,1
27673519,22,1
27794834,30,1
41127355,21,2
42232870,22,2
42309242,29,2
42320975,13,2
42388584,30,2
43059602,14,2
56610033,13,3
56622935,30,3
56986750,21,3
57975066,22,3
57996925,14,3
58012368,29,3
71455510,30,4
72102275,13,4
72260208,21,4
72370197,14,4
73436004,22,4
73754594,29,4
86489103,14,5
86713292,21,5
86826070,30,5
87024132,13,5
88699857,29,5
89175461,20,0
89225076,22,5
101299273,21,6
101427646,30,6
101676616,14,6
102836624,13,6
103723315,29,6
104003572,20,1
104725052,22,6
115856285,14,7
116057062,21,7
116661998,30,7
117402340,13,7
118090492,29,7
119472299,20,2
119990676,22,7
130838342,21,8
130856332,14,8
131500693,13,8
132646393,30,8
133154463,29,8
133548545,12,0
134222329,20,3
134482889,22,8
145760177,21,9
146012541,14,9
146235066,13,9
147560436,30,9
148251600,12,1
148605131,20,4
148801430,29,9
149065205,22,9
149612692,5,0
161291557,21,10
161321116,13,10
161536694,14,10
162701200,30,10
163034809,20,5
163129685,29,10
163861610,12,2
164201769,22,10
165198634,5,1
175510317,21,11
176547678,13,11
176887681,14,11
176888700,30,11
177387507,29,11
177597477,19,0
178506573,28,0
178874556,20,6
179248629,22,11
179501072,12,3
179964280,5,2
190025983,21,12
190948164,14,12
191520339,29,12
191897097,30,12
191922720,13,12
192511531,19,1
193120776,20,7
193870505,28,1
194151779,5,3
194475227,22,12
194986005,12,4
204075938,21,13
206809372,29,13
206865154,14,13
207388695,30,13
207735172,13,13
207956815,19,2
208706694,20,8
209290673,12,5
209315788,28,2
209490822,22,13
209495520,5,4
219150943,21,14
221309551,14,14
221606267,29,14
221992986,13,14
222451746,30,14
222628709,19,3
223745737,20,9
223931287,12,6
224862083,5,5
225256442,22,14
225307995,28,3
235088433,21,15
235786118,14,15
236537138,30,15
236781815,29,15
237495918,19,4
237969573,13,15
238433386,20,10
238478163,12,7
238972066,5,6
240756457,22,15
241183035,28,4
250916608,21,16
251465663,29,16
251784969,19,5
251793960,14,16
252253082,27,0
252404398,30,16
252617813,6,0
253064141,13,16
254126630,12,8
254284979,20,11
254511176,5,7
256367476,22,16
256432986,28,5
265528133,29,17
265949022,19,6
266167311,31,0
266331132,27,1
266590497,26,0
266697807,21,17
266906864,6,1
267723618,14,17
268044946,30,17
268137706,13,17
268933387,20,12
269525047,12,9
269805836,5,8
271151735,28,6
271373668,22,17
280176570,29,18
280432886,31,1
280495194,27,2
280945958,6,2
281409949,19,7
282107450,30,18
282387681,14,18
282466726,26,1
282623830,21,18
283337219,13,18
283597449,20,13
285166705,12,10
285253288,28,7
285620520,5,9
287100197,22,18
294534285,27,3
295719384,6,3
295745907,19,8
295778122,29,19
295925074,31,2
296173838,7,0
296633226,26,2
296779320,30,19
297436477,14,19
297461736,13,19
297705602,21,19
299113074,20,14
299683144,5,10
300079861,12,11
300987714,28,8
302529894,22,19
309307752,27,4
310228527,7,1
310625633,6,4
310669268,26,3
311068430,30,20
311142047,31,3
311207869,29,20
311532073,13,20
311534969,19,9
312158751,21,20
312536160,14,20
313402133,20,15
314769117,5,11
315525220,12,12
315667380,28,9
317537707,22,20
324086901,36,0
324151482,27,5
324336689,35,0
324794609,7,2
324875613,6,5
325938313,13,21
326050084,31,4
326356126,26,4
326529320,30,21
326645488,14,21
327066329,19,10
327361856,21,21
328230248,20,16
329757781,28,10
329923611,12,13
330050337,5,12
332943947,22,21
338479598,27,6
338953616,8,0
339076348,4,0
339110089,35,1
339551376,36,1
340471949,31,5
340473730,7,3
340590262,13,22
340633426,6,6
340926408,26,5
341255883,30,22
341589767,19,11
341832988,14,22
343026508,21,22
343082407,20,17
344269062,28,11
344532990,12,14
344667535,5,13
348733005,22,22
353186898,27,7
353332698,35,2
353982597,4,1
354035751,36,2
354508308,8,1
354653994,7,4
355302763,30,23
355643819,31,6
355758446,6,7
356023657,19,12
356555486,13,23
356574845,26,6
357409949,20,18
357653301,14,23
357900929,21,23
358550332,28,12
360058150,5,14
360534059,12,15
363639269,22,23
368232617,4,2
368260865,27,8
368330996,36,3
