sim_time_us,node_id,time_source,join_priority
1845487,30,0x0001,1
1845512,14,0x0001,1
1845512,29,0x0001,1
1845523,21,0x0001,1
1845524,13,0x0001,1
2160513,22,0x0001,1
82801140,20,0x0015,2
86896131,5,0x000d,2
97291237,12,0x000d,2
132886442,28,0x0014,4
132886472,19,0x0014,4
215417192,6,0x0005,3
215417701,27,0x0013,5
247862464,31,0x001e,2
254792658,26,0x001b,6
286607801,7,0x0006,3
311807986,35,0x001b,6
315588149,36,0x001c,4
315588283,4,0x000c,3
319368113,8,0x0007,4
319368407,34,0x0023,7
359688503,18,0x0013,4
363468441,39,0x001f,3
367248470,32,0x001f,3
369138395,9,0x0008,5
403788793,3,0x0004,4
411349154,40,0x0020,4
416073812,11,0x000c,3
423633790,15,0x000e,2
423634059,10,0x000b,4
441274135,29,0x0001,1
455449205,37,0x001d,3
471514477,16,0x000f,3
526639992,41,0x0028,5
566645340,17,0x0010,4
566645341,24,0x0010,4
607280556,25,0x0011,5
610745447,33,0x0020,4
641930625,38,0x0027,4
801637344,23,0x000f,3
860227381,2,0x0003,5
