sim_time_us,node_id
4555812,30
4555829,13
4555838,22
4555841,29
4555900,21
4555909,14
83307004,20
124726902,12
134336763,5
134389088,12
168672924,19
168672987,28
235138022,6
245057856,27
251833503,31
258917729,26
290578235,7
314043130,35
318138234,36
319712398,4
323177506,8
360562532,36
363678658,35
363974735,34
363974837,18
366179622,39
370328678,34
373424240,9
375052650,18
375944554,32
407129430,3
414060460,40
418942646,11
420254318,11
426183702,15
426187517,10
427971334,15
445245183,29
458318060,37
475638713,16
538486199,41
586520575,17
586520588,24
609830811,25
613611013,33
613982041,33
646371068,38
650521571,38
804663366,23
863095503,2
