sim_time_us,node_id,seq
11830672,13,0
12045290,29,0
12289990,21,0
12346593,22,0
12503041,14,0
12524407,30,0
26107739,29,1
26528723,21,1
26987770,13,1
27289364,30,1
27292077,14,1
28272454,22,1
41476850,30,2
41669325,21,2
41854059,13,2
42068676,29,2
42510827,14,2
44159043,22,2
56018155,13,3
56325585,21,3
56426298,30,3
56678061,29,3
57565765,14,3
58213740,22,3
71228601,29,4
71302177,21,4
71822839,13,4
72336274,30,4
72789059,22,4
73315596,14,4
85411513,21,5
86041559,13,5
86529614,29,5
87393418,22,5
87867475,30,5
87901442,14,5
88357808,28,0
100810874,29,6
100950585,21,6
101455645,13,6
101526231,22,6
101914340,30,6
102921531,14,6
103115570,28,1
115865551,29,7
116094038,30,7
116216200,21,7
117103802,13,7
117166846,22,7
117698348,14,7
117959321,28,2
129928071,29,8
130109702,30,8
131528730,21,8
131973785,6,0
132713760,22,8
132803315,13,8
132978257,5,0
133459360,28,3
133464002,14,8
145252115,29,9
145679965,30,9
145997450,21,9
146087433,6,1
146126900,27,0
147228246,5,1
147331244,13,9
147639018,28,4
147666865,22,9
149018640,14,9
160661652,21,10
160898865,30,10
160959441,29,10
161017533,27,1
161165558,6,2
161639163,13,10
162126693,5,2
163096673,22,10
163342143,28,5
164518769,14,10
175255393,21,11
175267131,6,3
175312918,30,11
175411464,4,0
176162556,29,11
176658867,13,11
177010542,27,2
177389415,22,11
177572549,5,3
178485356,28,6
179409394,14,11
188981089,37,0
189911702,21,12
190250467,30,12
191028631,4,1
191040607,6,4
191433013,13,12
191443848,22,12
191811053,29,12
191923832,27,3
193349975,28,7
193451015,5,4
194698507,14,12
203556195,3,0
204739768,21,13
204801708,36,0
204809125,37,1
205260324,26,0
205266053,30,13
206221683,22,13
206305321,6,5
206393252,13,13
206880565,4,2
207041004,27,4
207225066,29,13
207486048,5,5
207990580,28,8
209729717,14,13
218470207,3,1
218808525,35,0
219075705,21,14
219197363,23,0
220039481,30,14
220330694,36,1
220637247,26,1
220737819,37,2
220915568,6,6
221908168,27,5
222018272,13,14
222174808,22,14
222212611,5,6
222841111,4,3
223061143,28,9
223154744,29,14
225550020,14,14
233343278,20,0
233513215,21,15
233610952,3,2
234313290,35,1
234523875,30,15
234614216,36,2
234945197,34,0
235048875,23,1
235673361,6,7
236246645,37,3
236624305,26,2
236651370,22,15
236808427,13,15
237108535,28,10
237314408,27,6
238020909,4,4
238079798,5,7
239151066,29,15
239760082,14,15
248151291,20,1
248287672,15,0
248474192,21,16
248895618,3,3
249587967,23,2
250163926,34,1
250305052,36,3
250305808,35,2
250359833,30,16
250446857,6,8
250535736,37,4
251233710,26,3
251401660,13,16
251514167,28,11
251822270,27,7
252260804,22,16
252950507,4,5
253970453,5,8
254003184,14,16
254639159,29,16
263185090,21,17
263401261,20,2
263545428,15,1
263837997,3,4
264244207,23,3
265156678,30,17
265589618,34,2
265801736,36,4
266001519,6,9
266016413,35,3
266026916,13,17
266027904,37,5
266167562,26,4
266298773,27,8
266846760,28,12
266948246,22,17
267709158,4,6
268548538,5,9
269120736,14,17
269600056,29,17
278173331,3,5
278615730,15,2
279009985,21,18
279401261,20,3
279650437,23,4
280048522,6,10
280413897,34,3
280774761,35,4
280913378,26,5
281090374,37,6
281133240,30,18
281684519,36,5
281760449,13,18
281853732,28,13
281910899,27,9
282065433,22,18
282137967,4,7
284540876,5,10
285027593,14,18
285431858,29,18
293068856,15,3
293309093,19,0
293470216,3,6
294218534,31,0
294220749,23,5
294228188,6,11
294612218,20,4
294856975,21,19
294990758,35,5
295774017,26,6
295992041,34,4
296424037,28,14
296479495,22,19
296607314,27,10
296649086,37,7
296722667,13,19
296812918,30,19
296848924,4,8
297606394,36,6
298810375,5,11
299893779,14,19
300912586,29,19
307674052,3,7
307694477,15,4
308133166,19,1
308769869,2,0
308976315,31,1
309127853,20,5
309508620,35,6
309540748,6,12
310036165,23,6
310186035,21,20
310984239,34,5
311259404,4,9
311463900,22,20
311688163,28,15
311781301,26,7
312004881,36,7
312091413,27,11
312660866,13,20
312775309,30,20
313822145,5,12
314159962,14,20
314943836,29,20
322391103,38,0
322709500,15,5
323056055,19,2
323131754,3,8
323656003,31,2
324103552,23,7
324238617,2,1
324419465,21,21
324813278,35,7
325135636,20,6
325165878,7,0
325392271,6,13
325973187,37,9
326022180,4,10
326066297,34,6
326315433,22,21
326392673,27,12
326740026,28,16
326819628,26,8
326891611,36,8
327062928,30,21
328229189,13,21
328665876,5,13
328800029,14,21
