sim_time_us,node_id
4526180,21
4526208,13
4526222,29
4526227,30
4526281,14
4526349,22
80442553,28
116820858,5
126117693,6
130527902,27
169741499,4
184232109,37
187382267,36
191953775,26
194787967,3
211169212,35
215732389,23
220303807,20
220458111,34
237466841,15
276374762,19
285348214,31
293068994,2
306299491,38
308976344,7
323624789,18
337799683,24
339529129,10
344257072,11
357852770,11
364413904,32
447573649,16
449464642,33
468998091,8
473881111,41
515776056,12
516142684,12
611690854,39
615156458,40
616000676,40
792348916,25
862748267,17
945277785,9
975301183,36
1013479611,15
1013688167,15
1016035998,7
1060884022,7
1084040241,14
3282756719,31
