sim_time_us,node_id,event,detail
154862308,22,RX,
154908005,1,TX,
165686224,1,TX,
165737408,21,RX,
165737408,29,RX,
165737409,30,RX,
165737410,13,RX,
165737429,14,RX,
165737430,22,RX,
177107143,1,TX,
183527657,6,RX,
183527658,4,RX,
183527660,13,RX,
183543012,5,TX,
183836732,29,TX,
183842607,21,RX,
183842607,30,RX,
183842611,1,RX,
183842612,37,RX,
183842625,28,RX,
184319358,22,TX,
184322652,1,RX,
184322653,21,RX,
184322678,30,RX,
184322680,14,RX,
184563675,19,RX,
184603902,19,RX,
184612418,20,TX,
184635939,38,TX,
184637199,28,RX,
184637202,37,RX,
184657364,11,TX,
184658325,36,TX,
184670978,18,RX,
184670978,20,RX,
184685663,11,RX,
184724436,19,TX,
184730955,28,TX,
184731373,8,TX,
184761608,9,RX,
184761608,16,RX,
184772178,35,TX,
184799591,19,RX,
184810424,17,TX,
184826382,37,TX,
184853109,18,TX,
184888499,20,RX,
184888500,11,RX,
184896578,8,RX,
184896613,17,RX,
184937202,12,TX,
184945354,9,TX,
184965017,15,RX,
184965017,17,RX,
184965052,8,RX,
185018532,16,TX,
185098060,32,TX,
185106618,31,TX,
185106674,23,RX,
185106709,16,RX,
185130888,34,RX,
185130888,18,RX,
185135895,38,RX,
185136188,31,RX,
185141123,11,RX,
185144640,24,RX,
185159925,18,RX,
185159947,15,TX,
185169237,31,RX,
185170479,39,TX,
185179912,11,RX,
185184413,26,TX,
185192530,15,RX,
185194017,35,RX,
185194568,10,TX,
185197986,23,TX,
185203088,4,TX,
185233245,3,TX,
185247527,34,TX,
185267796,5,RX,
185276645,27,TX,
185324237,32,RX,
185367753,40,RX,
185378895,33,TX,
185381106,24,TX,
185381943,7,TX,
185402327,41,TX,
185406828,33,RX,
185487378,3,RX,
185487378,10,RX,
185529730,32,RX,
185529730,41,RX,
185529759,39,RX,
185540832,2,TX,
185564313,40,TX,
185579915,24,RX,
185579915,33,RX,
185633402,25,TX,
185644569,6,TX,
186179756,21,TX,
186212632,13,RX,
186212634,22,RX,
186212636,1,RX,
186212641,29,RX,
187349103,13,TX,
187787060,14,TX,
187787449,6,RX,
187787452,1,RX,
187787454,13,RX,
187787454,22,RX,
188944754,30,TX,
189039950,1,TX,
200367816,1,TX,
212672768,21,RX,
212672769,22,RX,
212672771,13,RX,
212672772,30,RX,
212672777,14,RX,
212679930,1,TX,
227477884,13,RX,
227477886,14,RX,
227477889,22,RX,
227503632,1,TX,
238103552,1,TX,
238187965,29,RX,
238187966,21,RX,
238187966,22,RX,
238187968,13,RX,
238187981,14,RX,
238187990,30,RX,
245848359,27,TX,
245898216,28,RX,
245898216,35,RX,
245898231,26,RX,
245963593,12,RX,
245963593,19,RX,
245963606,10,RX,
245970000,20,TX,
245990335,38,TX,
246017006,11,TX,
246030354,18,RX,
246034679,9,RX,
246034679,16,RX,
246045350,11,RX,
246063242,28,RX,
246083811,19,TX,
246088108,8,TX,
246113689,9,RX,
246113689,16,RX,
246128454,35,TX,
246158964,19,RX,
246159080,10,RX,
246167178,17,TX,
246212484,18,TX,
246213309,36,RX,
246213311,34,RX,
246213336,27,RX,
246240482,11,RX,
246248659,17,RX,
246248688,8,RX,
246293886,12,TX,
246302088,9,TX,
246324700,17,RX,
246324701,24,RX,
246324730,8,RX,
246378190,16,TX,
246398920,40,RX,
246398922,33,RX,
246398943,24,RX,
246398969,31,RX,
246437359,39,RX,
246452505,32,TX,
246474772,40,RX,
246478583,32,RX,
246490824,31,TX,
246500790,2,RX,
246500790,18,RX,
246523008,31,RX,
246524089,15,TX,
246528304,34,RX,
246528307,27,RX,
246528309,39,TX,
246548570,26,TX,
246554196,10,TX,
246570479,23,TX,
246602831,3,TX,
246623355,34,TX,
246693377,4,RX,
246695878,40,RX,
246703780,37,TX,
246730432,41,TX,
246733517,7,TX,
246738260,33,TX,
246740481,24,TX,
246769014,33,RX,
246843153,4,RX,
246847074,10,RX,
246859919,41,RX,
246859920,39,RX,
246859927,32,RX,
246890428,5,TX,
246900477,2,TX,
246913488,40,TX,
246939290,24,RX,
246939290,33,RX,
246992777,25,TX,
247160914,6,TX,
247224036,29,TX,
247323137,37,RX,
247323155,28,RX,
247788219,3,RX,
247788235,5,RX,
247831882,4,TX,
247953273,28,RX,
247953274,37,RX,
247953321,35,RX,
247981062,36,TX,
248845092,22,TX,
248898152,23,RX,
248898155,14,RX,
248898227,27,RX,
248898245,36,RX,
248913097,28,TX,
249048112,22,RX,
249048117,1,RX,
249048118,29,RX,
249057429,30,TX,
249129680,21,TX,
249213122,29,RX,
249213126,1,RX,
249213146,13,RX,
249213148,20,RX,
249213148,22,RX,
250392626,1,TX,
250473061,21,RX,
250473062,22,RX,
250473064,29,RX,
250473067,13,RX,
250473068,14,RX,
250473078,30,RX,
250895671,13,TX,
250938109,5,RX,
250938120,14,RX,
252080364,14,TX,
252197942,15,RX,
252197943,6,RX,
252197965,1,RX,
252197965,22,RX,
252197967,13,RX,
261466197,1,TX,
261498147,14,RX,
261498147,22,RX,
261498150,30,RX,
261498165,13,RX,
261498172,21,RX,
261498205,29,RX,
276138224,29,RX,
276138227,14,RX,
276138227,30,RX,
276138229,13,RX,
276138245,22,RX,
276138252,21,RX,
276146355,1,TX,
287643350,29,RX,
287643354,30,RX,
287643396,22,RX,
287649631,1,TX,
298668434,13,RX,
298668434,22,RX,
298668434,30,RX,
298668436,14,RX,
298668436,29,RX,
298668463,21,RX,
298708807,1,TX,
306693686,21,RX,
306693697,19,RX,
306693709,28,RX,
306700443,20,TX,
307277252,3,TX,
307323636,4,RX,
307323638,2,RX,
307539404,29,TX,
307586959,15,TX,
307638564,37,RX,
307638590,28,RX,
307668570,5,TX,
308512310,27,TX,
308583699,35,RX,
308583701,19,RX,
308583714,26,RX,
308583738,28,RX,
308748685,38,RX,
308748689,36,RX,
308748709,29,RX,
308766223,37,TX,
308986713,12,RX,
308986768,10,RX,
309010945,38,TX,
309040181,11,TX,
309050303,9,RX,
309050303,16,RX,
309063839,27,RX,
309103733,8,TX,
309112506,19,TX,
309129314,9,RX,
309129314,16,RX,
309182513,10,RX,
309182803,17,TX,
309235922,18,TX,
309256426,11,RX,
309264283,17,RX,
309264313,8,RX,
309309812,12,TX,
309317718,9,TX,
309347827,17,RX,
309347827,24,RX,
309347865,8,RX,
309401344,16,TX,
309414547,40,RX,
309414548,33,RX,
309414573,24,RX,
309435369,1,TX,
309445312,21,TX,
309468101,32,TX,
309497233,40,RX,
309510013,31,TX,
309523917,18,RX,
309550795,39,TX,
309577375,10,TX,
309690441,40,RX,
309690458,33,RX,
309718574,16,RX,
309718575,25,RX,
309718588,32,RX,
309744053,41,TX,
309746608,25,RX,
309748432,7,TX,
309754978,32,RX,
309770156,41,RX,
309772023,24,TX,
309781783,33,TX,
309843713,35,RX,
309843718,28,RX,
309843724,37,RX,
309870426,36,TX,
309875544,41,RX,
309875545,39,RX,
309875552,32,RX,
309898210,6,TX,
309925978,2,TX,
309929118,40,TX,
309935069,22,TX,
309962730,33,RX,
309962795,24,RX,
310002079,23,TX,
310008747,3,RX,
310016225,25,TX,
310638867,34,RX,
310638868,27,RX,
310651738,26,TX,
310788505,37,RX,
310788523,30,RX,
310788788,39,RX,
311034655,35,TX,
311103810,34,RX,
311103835,27,RX,
311546498,34,TX,
311583605,22,RX,
311583606,31,RX,
311583613,1,RX,
311583623,38,RX,
311583634,29,RX,
311583946,35,RX,
311583948,26,RX,
311590259,30,TX,
311641550,28,TX,
311687219,4,TX,
311733618,29,RX,
311733622,36,RX,
311733632,27,RX,
311733713,3,RX,
311733717,5,RX,
313759726,13,TX,
313788452,14,TX,
313788452,14,RX,
314733433,22,RX,
314733434,13,RX,
314733436,6,RX,
314733442,15,RX,
314733451,1,RX,
320130204,1,TX,
334098674,13,RX,
334098675,22,RX,
334098676,30,RX,
334098678,29,RX,
334098680,14,RX,
334098710,21,RX,
334144815,1,TX,
348108979,1,TX,
348123845,29,RX,
361353924,29,RX,
361353929,30,RX,
361353946,22,RX,
361353970,14,RX,
361373078,1,TX,
367653933,14,RX,
367653935,7,RX,
367653935,23,RX,
367704466,15,TX,
369067695,20,TX,
370191316,37,TX,
370332855,5,TX,
370394972,18,TX,
370472827,17,RX,
370472865,8,RX,
370489393,10,RX,
370489396,19,RX,
370489403,26,RX,
370526344,16,TX,
370566344,3,TX,
370705432,10,TX,
370804450,11,RX,
370804452,18,RX,
370804454,2,RX,
370901712,24,TX,
370932807,38,TX,
370946006,29,TX,
371087728,33,RX,
371092026,11,TX,
371097177,9,RX,
371141225,25,TX,
371150607,8,TX,
371176189,9,RX,
371229678,17,TX,
371269196,3,RX,
371269198,10,RX,
371311157,8,RX,
371311158,17,RX,
371313071,7,TX,
371364199,12,TX,
371364587,9,TX,
371519970,32,TX,
371551921,40,RX,
371605482,39,TX,
371736893,40,RX,
371736908,33,RX,
371749255,19,RX,
371749260,28,RX,
371749260,35,RX,
371749283,26,RX,
371786032,27,TX,
371790466,41,TX,
371819729,41,RX,
371839822,33,TX,
371922420,41,RX,
371922421,39,RX,
371975988,40,TX,
372394636,21,TX,
372529070,1,RX,
372529070,13,RX,
372529072,20,RX,
372529073,22,RX,
372529093,29,RX,
372654122,23,TX,
372694202,24,RX,
372694207,22,RX,
372694218,31,RX,
372694265,15,RX,
372749791,36,TX,
372844205,37,RX,
372844227,35,RX,
373159284,18,RX,
