sim_time_us,node_id,time_source,join_priority
1815848,30,0x0001,1
1815857,14,0x0001,1
1815865,22,0x0001,1
2130838,13,0x0001,1
2130863,21,0x0001,1
2130879,29,0x0001,1
77416451,28,0x001d,2
89701536,5,0x000d,2
121516615,6,0x000e,2
126241757,27,0x001c,3
159002152,4,0x0005,3
179477059,37,0x001d,2
183257358,36,0x001c,3
185211530,26,0x001b,4
191762469,3,0x0004,4
206252844,35,0x0024,4
212237528,23,0x0016,2
217592596,34,0x0023,5
217907646,20,0x001c,3
232082480,15,0x000e,2
272403386,19,0x0014,4
283113055,31,0x001e,2
283113069,38,0x001e,2
290673219,2,0x0003,5
306110458,7,0x000f,4
319653826,11,0x0013,5
319653826,18,0x0013,5
327528503,24,0x0017,3
338869044,10,0x0012,6
359974077,32,0x0018,4
443764725,16,0x0018,4
446599580,33,0x0020,5
450694658,8,0x0010,5
469909708,41,0x0021,6
512119805,12,0x000d,2
608510834,39,0x0026,4
612290878,40,0x0027,5
769792079,25,0x0018,4
860512359,17,0x0010,5
941153255,9,0x0008,7
1009823935,15,0x0007,5
1040064354,7,0x000f,4
1069044405,14,0x0016,2
1338686781,42,0x0004,4
1941916782,42,0x0018,4
3073405709,42,0x0025,3
3334226989,42,0x0027,4
