sim_time_us,node_id,period,total,cpu,lpm,deep_lpm,radio_tx,radio_rx,radio_total
180661868,28,2,1966058,77182,1888876,0,6116,68439,74555
180772395,31,2,1966080,50016,1916064,0,67,1966013,1966080
180782164,32,2,1966080,48979,1917101,0,78,1966000,1966078
180785930,21,2,1966080,52749,1913331,0,3295,54587,57882
180794629,15,2,1966080,52633,1913447,0,124,1965955,1966079
180811030,26,2,1966080,52204,1913876,0,124,1965955,1966079
180813724,23,2,1966080,51016,1915064,0,124,1965955,1966079
180829060,10,2,1966080,50673,1915407,0,124,1965955,1966079
180840528,4,2,1966087,56157,1909930,0,1930,1268931,1270861
180864876,39,2,1966080,47778,1918302,0,43,1966035,1966078
180875681,3,2,1966080,50470,1915610,0,124,1965955,1966079
180881871,34,2,1966080,49331,1916749,0,124,1965955,1966079
180899772,27,2,1966087,65187,1900900,0,5056,224172,229228
180900648,22,2,1966080,52710,1913370,0,3294,53742,57036
181007764,24,2,1966080,51891,1914189,0,124,1965955,1966079
181024462,7,2,1966080,49866,1916214,0,124,1965955,1966079
181044592,33,2,1966080,48874,1917206,0,55,1966023,1966078
181057113,14,2,1966080,49797,1916283,0,2666,52429,55095
181077830,30,2,1966079,53163,1912916,0,3037,54491,57528
181081099,41,2,1966080,48841,1917239,0,67,1966013,1966080
181157692,6,2,1966087,70231,1895856,0,5512,66333,71845
181175332,2,2,1966080,50727,1915353,0,124,1965955,1966079
181243086,40,2,1966080,48984,1917096,0,78,1966001,1966079
181260059,25,2,1966080,50252,1915828,0,124,1965955,1966079
240283499,20,3,1966087,63956,1902131,0,3457,1253833,1257290
240312201,38,3,1966080,49418,1916662,0,101,1965978,1966079
240316768,36,3,1966087,90933,1875154,0,7442,154362,161804
240327683,19,3,1966080,51883,1914197,0,124,1965955,1966079
240331275,11,3,1966091,52749,1913342,0,124,1965967,1966091
240369590,42,3,1966080,41535,1924545,0,0,1966080,1966080
240388708,13,3,1966088,85208,1880880,0,7937,79101,87038
240410032,8,3,1966080,49597,1916483,0,113,1965966,1966079
240422079,35,3,1966087,75681,1890406,0,4286,876569,880855
240447009,5,3,1965997,99247,1866750,0,8884,93909,102793
240464810,37,3,1966086,84534,1881552,0,6120,55514,61634
240479733,18,3,1966080,51899,1914181,0,124,1965955,1966079
