sim_time_us,node_id,event,peer,detail
234420043,26,CELL_ALLOC,0x0022,slot=4 ch=7 dir=Receive
234434073,26,SUCCESS,0x0022,
234588593,34,CELL_ALLOC,0x001a,slot=4 ch=7 dir=Transmit
242957488,15,LIST,0x000e,
243239035,14,EOL,0x000f,
243967831,35,ADD,0x0024,
244052717,36,SUCCESS,0x0023,
244203603,35,CELL_ALLOC,0x0024,slot=17 ch=1 dir=Transmit
244216649,35,SUCCESS,0x0024,
244667036,36,CELL_ALLOC,0x0023,slot=17 ch=1 dir=Receive
250764370,35,LIST,0x001b,
250799263,27,EOL,0x0023,
252422111,1,LIST,0x0016,
252689060,22,EOL,0x0001,
253146687,23,LIST,0x000f,
253319116,15,EOL,0x0017,
256528575,30,LIST,0x0016,
256618750,22,EOL,0x001e,
259823080,4,ADD,0x0003,
259959726,3,SUCCESS,0x0004,
260159044,4,CELL_ALLOC,0x0003,slot=5 ch=8 dir=Transmit
260172028,4,SUCCESS,0x0003,
260287618,15,ADD,0x000e,
260455093,36,LIST,0x0023,
260566623,3,CELL_ALLOC,0x0004,slot=5 ch=8 dir=Receive
260713764,35,EOL,0x0024,
261991178,6,LIST,0x000e,
262139567,14,EOL,0x0006,
264097911,26,LIST,0x0022,
264178893,34,EOL,0x001a,
265163597,13,LIST,0x0015,
265289248,21,EOL,0x000d,
282021911,26,ADD,0x0022,
282164034,34,SUCCESS,0x001a,
282564246,26,CELL_ALLOC,0x0022,slot=15 ch=13 dir=Transmit
282577285,26,SUCCESS,0x0022,
282768740,34,CELL_ALLOC,0x001a,slot=15 ch=13 dir=Receive
283976430,20,LIST,0x0015,
284189669,21,EOL,0x0014,
284786531,19,LIST,0x0014,
285278978,19,LIST,0x001b,
288894810,22,LIST,0x000e,
288919585,29,LIST,0x001e,
290323992,30,EOL,0x001d,
290639291,27,EOL,0x0013,
292122925,31,LIST,0x0017,
292214208,23,EOL,0x001f,
292414431,31,ADD,0x0017,
292530056,23,CELL_ALLOC,0x001f,slot=4 ch=5 dir=Receive
292544105,23,SUCCESS,0x001f,
292713468,31,CELL_ALLOC,0x0017,slot=4 ch=5 dir=Transmit
295993940,14,EOL,0x0016,
300433268,19,LIST,0x0014,
300719320,20,EOL,0x0013,
300919754,19,ADD,0x0014,
301035118,20,CELL_ALLOC,0x0013,slot=2 ch=8 dir=Receive
301049162,20,SUCCESS,0x0013,
301081852,15,ADD,0x000e,
301505840,14,LIST,0x0001,
301572546,2,LIST,0x0003,
302478730,19,CELL_ALLOC,0x0014,slot=2 ch=8 dir=Transmit
303554312,3,EOL,0x0002,
303755286,2,ADD,0x0003,
303870219,3,CELL_ALLOC,0x0002,slot=20 ch=8 dir=Receive
303884194,3,SUCCESS,0x0002,
304053688,2,CELL_ALLOC,0x0003,slot=20 ch=8 dir=Transmit
304353868,21,LIST,0x001d,
304499340,29,EOL,0x0015,
313272131,38,LIST,0x0025,
313319385,37,EOL,0x0026,
313519714,38,ADD,0x0025,
313635227,37,CELL_ALLOC,0x0026,slot=5 ch=1 dir=Receive
313649276,37,SUCCESS,0x0026,
313818780,38,CELL_ALLOC,0x0025,slot=5 ch=1 dir=Transmit
318054644,7,LIST,0x000f,
319154409,15,EOL,0x0007,
319661443,7,ADD,0x000f,
320342684,3,LIST,0x0002,
320414606,2,EOL,0x0003,
320598738,27,ADD,0x001a,
320908987,26,SUCCESS,0x001b,
321009652,27,CELL_ALLOC,0x001a,slot=2 ch=15 dir=Transmit
321027046,27,SUCCESS,0x001a,
321319397,26,CELL_ALLOC,0x001b,slot=2 ch=15 dir=Receive
324853145,3,ADD,0x0002,
325166086,2,SUCCESS,0x0003,
325335836,3,CELL_ALLOC,0x0002,slot=15 ch=2 dir=Transmit
325348842,3,SUCCESS,0x0002,
325608672,2,CELL_ALLOC,0x0003,slot=15 ch=2 dir=Receive
329894332,15,ADD,0x000e,
330595765,18,LIST,0x001a,
330644881,26,EOL,0x0012,
333050832,18,ADD,0x001a,
335370717,26,CELL_ALLOC,0x0012,slot=1 ch=12 dir=Receive
335384775,26,SUCCESS,0x0012,
335704201,18,CELL_ALLOC,0x001a,slot=1 ch=12 dir=Transmit
344963903,24,LIST,0x0017,
346079867,23,EOL,0x0018,
346280342,24,ADD,0x0017,
346395707,23,CELL_ALLOC,0x0018,slot=3 ch=3 dir=Receive
346409808,23,SUCCESS,0x0018,
346728980,24,CELL_ALLOC,0x0017,slot=3 ch=3 dir=Transmit
347741023,10,LIST,0x0012,
347969724,18,EOL,0x000a,
348233452,10,LIST,0x0002,
348270472,2,LIST,0x000a,
348449944,10,EOL,0x0002,
349229653,2,EOL,0x000a,
350221072,11,LIST,0x000a,
352119453,10,ADD,0x0012,
352497459,19,LIST,0x0012,
356326008,18,CELL_ALLOC,0x000a,slot=20 ch=4 dir=Receive
356340021,18,SUCCESS,0x000a,
356649057,10,CELL_ALLOC,0x0012,slot=20 ch=4 dir=Transmit
356725260,5,LIST,0x0004,
356730250,15,ADD,0x000e,
356789475,4,EOL,0x0005,
356911918,5,ADD,0x0004,
356980954,4,SUCCESS,0x0005,
357200757,5,CELL_ALLOC,0x0004,slot=17 ch=2 dir=Transmit
357213799,5,SUCCESS,0x0004,
357461042,4,CELL_ALLOC,0x0005,slot=17 ch=2 dir=Receive
357976120,11,LIST,0x0013,
358469754,11,LIST,0x000a,
360514002,28,ADD,0x0024,
360599090,36,SUCCESS,0x001c,
361030652,28,CELL_ALLOC,0x0024,slot=1 ch=14 dir=Transmit
361043739,28,SUCCESS,0x0024,
361312548,36,CELL_ALLOC,0x001c,slot=1 ch=14 dir=Receive
