sim_time_us,observer_id,known_count,entries
10421580,42,0,
10589560,1,1,1:2|
10597705,21,2,1:2|21:1|
10597734,22,2,1:2|22:1|
10597734,30,2,1:2|30:1|
10597755,13,2,1:2|13:1|
10597757,14,2,1:2|14:1|
10597763,29,2,1:2|29:1|
19890708,1,2,1:2|22:1|
20429392,42,0,
20516163,1,3,1:2|13:1|22:1|
22390421,1,4,1:2|13:1|22:1|30:1|
22451571,1,5,1:2|13:1|22:1|29:1|30:1|
24404653,1,5,1:3|13:1|22:1|29:1|30:1|
24462536,29,5,1:3|13:1|22:1|29:1|30:1|
24462541,22,5,1:3|13:1|22:1|29:1|30:1|
24462564,13,5,1:3|13:1|22:1|29:1|30:1|
24462573,30,5,1:3|13:1|22:1|29:1|30:1|
24463634,21,6,1:3|13:1|21:1|22:1|29:1|30:1|
24463645,14,6,1:3|13:1|14:1|22:1|29:1|30:1|
26224814,1,5,1:3|13:1|22:1|29:1|30:1|
27423432,1,5,1:3|13:1|22:1|29:1|30:1|
27465524,1,5,1:3|13:1|22:1|29:1|30:1|
28703040,1,5,1:3|13:1|22:1|29:1|30:1|
28842135,1,6,1:3|13:1|21:1|22:1|29:1|30:1|
29780791,1,6,1:3|13:1|21:1|22:1|29:1|30:1|
30437205,42,0,
35540167,1,6,1:4|13:1|21:1|22:1|29:1|30:1|
35653707,21,6,1:4|13:1|21:1|22:1|29:1|30:1|
35653799,13,6,1:4|13:1|21:1|22:1|29:1|30:1|
35653805,30,6,1:4|13:1|21:1|22:1|29:1|30:1|
35653817,29,6,1:4|13:1|21:1|22:1|29:1|30:1|
35653848,22,6,1:4|13:1|21:1|22:1|29:1|30:1|
35654779,14,7,1:4|13:1|14:1|21:1|22:1|29:1|30:1|
40445017,42,0,
41593163,1,6,1:4|13:1|21:1|22:1|29:1|30:1|
41750907,1,6,1:4|13:1|21:1|22:1|29:1|30:1|
41919554,1,6,1:4|13:1|21:1|22:1|29:1|30:1|
42291134,1,6,1:4|13:1|21:1|22:1|29:1|30:1|
44454478,1,6,1:4|13:1|21:1|22:1|29:1|30:1|
46513731,29,6,1:5|13:1|21:1|22:1|29:1|30:1|
46513734,13,6,1:5|13:1|21:1|22:1|29:1|30:1|
46513740,22,6,1:5|13:1|21:1|22:1|29:1|30:1|
46513748,30,6,1:5|13:1|21:1|22:1|29:1|30:1|
46513754,21,6,1:5|13:1|21:1|22:1|29:1|30:1|
46514714,14,7,1:5|13:1|14:1|21:1|22:1|29:1|30:1|
46556248,1,6,1:5|13:1|21:1|22:1|29:1|30:1|
50452830,42,0,
56097649,1,6,1:5|13:1|21:1|22:1|29:1|30:1|
56556017,1,6,1:5|13:1|21:1|22:1|29:1|30:1|
56716734,1,6,1:5|13:1|21:1|22:1|29:1|30:1|
56781082,1,6,1:5|13:1|21:1|22:1|29:1|30:1|
57796820,1,6,1:6|13:1|21:1|22:1|29:1|30:1|
57853809,30,6,1:6|13:1|21:1|22:1|29:1|30:1|
57853810,21,6,1:6|13:1|21:1|22:1|29:1|30:1|
57853820,29,6,1:6|13:1|21:1|22:1|29:1|30:1|
57853822,13,6,1:6|13:1|21:1|22:1|29:1|30:1|
57853850,22,6,1:6|13:1|21:1|22:1|29:1|30:1|
