sim_time_us,node_id,event,detail
185373275,30,RX,
185373275,38,RX,
185409288,15,TX,
185434692,10,RX,
185434731,31,RX,
185488209,39,TX,
185493841,40,RX,
185505590,11,TX,
185515873,27,RX,
185530719,25,TX,
186792682,22,TX,
186798618,1,RX,
186798618,17,RX,
186798619,2,RX,
186877534,30,TX,
186948166,1,RX,
186948167,15,RX,
186948168,38,RX,
188058700,22,RX,
188058702,17,RX,
188064909,2,TX,
191816619,1,TX,
191838584,38,RX,
191838586,20,RX,
191838586,30,RX,
191838607,22,RX,
191838609,34,RX,
201918663,34,RX,
201918670,38,RX,
201918684,20,RX,
201918688,22,RX,
201918707,30,RX,
201956303,1,TX,
215778771,34,RX,
215778772,38,RX,
215778773,22,RX,
215778782,30,RX,
215778798,20,RX,
215816838,1,TX,
226008811,34,RX,
226008812,30,RX,
226008813,20,RX,
226008833,38,RX,
226008842,22,RX,
226009951,1,TX,
236537537,1,TX,
236568929,30,RX,
236568931,38,RX,
236568932,34,RX,
236568933,20,RX,
236568947,22,RX,
244178203,34,TX,
245944872,6,RX,
245979024,40,RX,
245993725,35,TX,
245999723,26,RX,
245999723,27,RX,
246018482,35,RX,
246027830,14,TX,
246038943,32,RX,
246048555,6,TX,
246052100,14,RX,
246073220,6,RX,
246080874,26,TX,
246081785,40,TX,
246083869,19,TX,
246087712,33,TX,
246119482,27,TX,
246122326,21,RX,
246139515,3,RX,
246139518,5,RX,
246147812,33,RX,
246147813,4,RX,
246147813,7,RX,
246152179,29,TX,
246164631,41,TX,
246165474,5,RX,
246167220,8,TX,
246168636,23,RX,
246168637,34,RX,
246181913,10,RX,
246181913,37,RX,
246181918,12,RX,
246184479,41,RX,
246190544,3,TX,
246196589,32,TX,
246198130,7,RX,
246235401,18,TX,
246241832,16,TX,
246293334,36,TX,
246309761,18,RX,
246309786,12,RX,
246360544,19,RX,
246360554,29,RX,
246363249,37,TX,
246379963,13,RX,
246390375,21,TX,
246400451,28,TX,
246514714,16,RX,
246514714,32,RX,
246563492,7,TX,
246577323,24,TX,
246579604,23,TX,
246580546,31,TX,
246583521,18,RX,
246583530,39,RX,
246588619,32,RX,
246611092,3,RX,
246611092,41,RX,
246629454,37,RX,
246636151,5,TX,
246637000,10,TX,
246637386,4,TX,
246655881,28,RX,
246664600,24,RX,
246664601,31,RX,
246676398,13,TX,
246682941,12,TX,
246717825,9,TX,
246786251,10,RX,
246786320,31,RX,
246810282,11,TX,
246835417,25,TX,
246839771,39,TX,
247257973,17,TX,
247279079,22,RX,
247279091,2,RX,
247527492,38,TX,
247631224,15,TX,
248539055,38,RX,
248539057,1,RX,
248539057,34,RX,
248562649,20,TX,
249253643,2,TX,
249313648,22,TX,
250256678,30,TX,
250264109,1,RX,
250264109,38,RX,
250264113,15,RX,
250744064,30,RX,
250751511,1,TX,
262503124,1,TX,
262549092,30,RX,
262549094,20,RX,
262549095,34,RX,
262549102,38,RX,
262549118,22,RX,
275439726,1,TX,
275464194,22,RX,
275464195,20,RX,
275464196,38,RX,
275464217,30,RX,
275464231,34,RX,
289713968,1,TX,
289804342,30,RX,
289804344,38,RX,
289804345,22,RX,
289804366,20,RX,
289804371,34,RX,
302018746,1,TX,
302089439,38,RX,
302089440,20,RX,
302089442,22,RX,
302089461,30,RX,
302089464,34,RX,
305869565,1,RX,
305869565,20,RX,
305869567,8,RX,
305869606,23,RX,
305878399,34,TX,
308960184,6,RX,
308979937,38,TX,
308994064,40,RX,
309008998,35,TX,
309015033,26,RX,
309015033,27,RX,
309019589,20,RX,
309019591,1,RX,
309019591,15,RX,
309019616,30,RX,
309033754,35,RX,
309042793,14,TX,
309053878,21,RX,
309053880,31,RX,
309054221,32,RX,
309063849,6,TX,
309067108,14,RX,
309088514,6,RX,
309096499,26,TX,
309097416,40,TX,
309102999,33,TX,
309106696,21,RX,
309107307,19,TX,
309123890,3,RX,
309135111,27,TX,
309136554,29,TX,
309149006,41,TX,
309149532,5,RX,
309163437,33,RX,
309163438,4,RX,
309163438,7,RX,
309168855,41,RX,
309169610,2,RX,
309169614,22,RX,
309169637,18,RX,
309169638,12,RX,
309174592,3,TX,
309191360,17,TX,
309206438,7,RX,
309212214,32,TX,
309255217,16,TX,
309259320,18,TX,
309262084,36,TX,
309334783,17,RX,
309334807,12,RX,
309334807,37,RX,
309347481,19,RX,
309347481,29,RX,
309356217,13,RX,
309376749,28,TX,
309400881,21,TX,
309408083,37,TX,
309484640,8,RX,
309484642,34,RX,
309484814,12,RX,
309484814,18,RX,
309530338,32,RX,
309530339,16,RX,
309532147,23,TX,
309539659,9,RX,
309550709,39,RX,
309566512,9,RX,
309579117,7,TX,
309592948,24,TX,
309595790,3,RX,
309595790,41,RX,
309599487,39,RX,
309603984,31,TX,
309604249,32,RX,
309620854,5,TX,
309632444,28,RX,
309652907,10,TX,
309652941,13,TX,
309653011,4,TX,
309680551,24,RX,
309680561,31,RX,
309706971,12,TX,
309733785,9,TX,
309779032,11,TX,
309801879,10,RX,
309801924,31,RX,
309804167,25,TX,
309855396,39,TX,
310024080,8,TX,
310114642,34,RX,
310114644,23,RX,
310909585,1,RX,
310909597,38,RX,
310909608,15,RX,
310961931,30,TX,
311218725,20,TX,
311224546,38,RX,
311224548,1,RX,
311224565,34,RX,
311921272,22,TX,
312004581,17,RX,
312004582,2,RX,
312039729,15,TX,
312760309,2,TX,
313838558,1,TX,
313894492,22,RX,
313894493,34,RX,
313894493,38,RX,
313894509,20,RX,
313894514,30,RX,
325864584,38,RX,
325864588,34,RX,
325864590,22,RX,
325864590,30,RX,
325864625,20,RX,
325924761,1,TX,
340944624,1,TX,
340984703,34,RX,
340984704,20,RX,
340984709,30,RX,
340984729,22,RX,
340984729,38,RX,
355954857,38,RX,
355954858,20,RX,
355954858,34,RX,
355954862,30,RX,
355954876,22,RX,
356003297,1,TX,
368044900,34,TX,
368075006,8,RX,
368075008,23,RX,
368075023,1,RX,
368075036,20,RX,
368554954,34,RX,
368554956,20,RX,
368554956,30,RX,
368554970,22,RX,
368554980,38,RX,
368573352,1,TX,
370375369,37,TX,
370445262,12,RX,
370445262,18,RX,
370734574,17,TX,
370760096,18,RX,
370760099,22,RX,
370760101,12,RX,
370760102,2,RX,
370891267,8,TX,
370909751,23,RX,
370909775,34,RX,
371007071,6,RX,
371041246,40,RX,
371055873,35,TX,
371061908,27,RX,
371080630,35,RX,
371090022,14,TX,
371101406,32,RX,
371108566,21,RX,
371108573,31,RX,
371110706,6,TX,
371114323,14,RX,
371134742,21,RX,
371135352,6,RX,
371140943,26,TX,
371144285,40,TX,
371150214,33,TX,
371161994,19,TX,
371164631,41,TX,
371165157,5,RX,
371178278,29,TX,
371181982,27,TX,
371190218,3,TX,
371210311,33,RX,
371210312,7,RX,
371210313,4,RX,
371253313,7,RX,
371259089,32,TX,
371262084,36,TX,
371302091,16,TX,
371364029,13,RX,
371384552,28,TX,
371390073,20,RX,
371390073,30,RX,
371390076,1,RX,
371390077,26,RX,
371390095,15,RX,
371394355,19,RX,
371394355,29,RX,
371425468,38,TX,
371447755,21,TX,
371577215,32,RX,
371577216,16,RX,
371586535,9,RX,
371605397,39,RX,
371611091,3,RX,
371613367,9,RX,
371625992,7,TX,
371636147,5,TX,
371639823,24,TX,
371640257,28,RX,
371658671,31,TX,
371660753,13,TX,
371699886,4,TX,
371704177,10,TX,
371705372,18,RX,
371727101,24,RX,
371727102,31,RX,
371779032,11,TX,
371780326,9,TX,
371804165,25,TX,
371856915,31,RX,
371910388,39,TX,
371915186,23,TX,
372020074,34,RX,
372020091,8,RX,
372334525,15,RX,
372334555,38,RX,
373179350,12,TX,
373280100,15,RX,
373280101,38,RX,
373280112,1,RX,
373280218,37,RX,
373319592,30,TX,
373595033,34,RX,
373595051,1,RX,
373595056,38,RX,
373632697,20,TX,
373910068,1,RX,
373910070,17,RX,
373910112,2,RX,
373933174,22,TX,
374060214,10,RX,
374060238,37,RX,
374060242,17,RX,
374060248,12,RX,
374083959,18,TX,
374198656,15,TX,
374225169,30,RX,
374225171,26,RX,
374225180,38,RX,
375558344,2,TX,
375635145,22,RX,
375635149,17,RX,
382012934,1,TX,
382100057,22,RX,
382100059,38,RX,
382100061,34,RX,
382100062,20,RX,
382100075,30,RX,
394628071,1,TX,
394700156,38,RX,
394700158,22,RX,
394700158,34,RX,
394700160,30,RX,
394700185,20,RX,
407522227,1,TX,
407615257,20,RX,
407615258,38,RX,
407615259,34,RX,
407615261,22,RX,
407615281,30,RX,
421790368,34,RX,
421790370,20,RX,
