sim_time_us,node_id,time_source,join_priority
2086843,30,0x0001,1
2401816,38,0x0001,1
2401817,22,0x0001,1
2401842,20,0x0001,1
2401842,34,0x0001,1
121787798,2,0x0016,2
133442920,17,0x0016,2
143208200,15,0x0026,2
185418290,23,0x0022,2
185418315,8,0x0022,2
250938831,12,0x0011,3
283698956,18,0x0011,3
294724542,37,0x000c,4
327799607,10,0x0012,5
366229688,26,0x0026,2
382294705,5,0x0008,3
403715152,3,0x0005,4
403715161,40,0x0005,4
408440029,9,0x001e,2
408440062,24,0x001e,2
433325324,41,0x0005,4
433640235,6,0x001a,4
512390847,31,0x0009,3
518061140,39,0x001f,4
545151150,35,0x0006,5
572241514,25,0x0006,5
667057101,14,0x0008,3
685642683,27,0x0006,5
716512742,13,0x0023,6
736357805,33,0x000d,7
737932674,19,0x001f,4
824558523,32,0x0021,8
887873790,16,0x0017,3
895433979,21,0x0013,5
989938218,28,0x000d,7
1038760144,11,0x0028,5
1039705176,29,0x0015,6
1057030058,4,0x0021,5
1178306171,7,0x0010,4
1250757018,42,0x0013,5
1728931065,42,0x000c,4
2286169842,42,0x0016,2
2886249812,42,0x0019,6
3248502155,42,0x0004,6
3576419853,42,0x0008,3
