sim_time_us,node_id
4614306,13
4614309,22
4614331,14
4614342,29
4614360,21
4614388,30
131399287,6
192356581,28
202589858,7
242595765,20
251730932,36
253620522,8
285282395,37
316936529,27
321031601,35
335997331,9
350014893,16
364348046,23
370649092,15
373798602,19
386237346,17
405298619,26
416161545,12
424037287,31
432857234,38
449399320,24
450235015,24
451757846,25
457904128,34
485463103,39
499323235,18
550830015,32
662497692,40
680610938,33
712111174,41
747075524,5
954977935,10
961277267,4
993876270,11
998132637,3
1097197195,2
1189177796,21
1254229868,20
1392984313,21
3562592732,10
