sim_time_us,node_id,dst
10363238,13,0x0001
10841865,30,0x0001
11473608,14,0x0001
11621724,13,0x0001
11787658,14,0x0001
11936995,1,0x000e
13048619,30,0x0001
13362654,30,0x0001
15086975,1,0x001e
15253707,29,0x0001
15567468,29,0x0001
15717231,1,0x001d
15881967,30,0x0001
15897585,29,0x0001
16214585,29,0x0001
16527958,29,0x0001
16844413,29,0x0001
17157194,29,0x0001
17457601,13,0x0001
17472181,29,0x0001
17607176,1,0x000d
17772799,13,0x0015
17787188,29,0x0001
18104580,29,0x0001
18237303,14,0x0001
18402141,1,0x000e
18416991,29,0x0001
18568988,14,0x0001
18732194,29,0x0001
18882511,14,0x0001
19032735,30,0x0001
19182084,1,0x001e
19196748,14,0x0001
19347042,13,0x0001
19362175,29,0x0001
19454279,30,0x0001
19511773,14,0x0001
19767584,30,0x0001
19826767,14,0x0001
20084205,30,0x0001
20141773,14,0x0001
20396782,30,0x0001
20459199,14,0x0001
20711819,30,0x0001
20771780,14,0x0001
21026797,30,0x0001
21086784,14,0x0001
21237215,13,0x0001
21252204,29,0x0001
21341809,30,0x0001
21401786,14,0x0001
21656810,30,0x0001
21971820,30,0x0001
22286816,30,0x0001
22346793,14,0x0001
22829550,29,0x0001
23127280,13,0x0001
23142203,29,0x0001
24176625,30,0x0001
24236605,14,0x0001
24494275,30,0x0001
25332130,13,0x0001
25347037,29,0x0001
25977986,29,0x0001
26126796,14,0x0001
26278858,22,0x0001
26381827,30,0x0001
26426990,21,0x000d
27057550,13,0x0001
27074243,14,0x0001
27222233,1,0x000d
27237233,29,0x0001
27522076,13,0x0001
27839872,13,0x0001
27852821,22,0x0001
27957598,30,0x0001
28002285,1,0x0016
28153267,13,0x0001
28184647,29,0x0001
28271838,30,0x0001
28331846,14,0x0001
28347196,22,0x0001
28470103,13,0x0001
28647580,14,0x0001
28664830,22,0x0001
28785100,13,0x0001
28978313,22,0x0001
29100100,13,0x0001
29127250,29,0x0001
29294832,22,0x0001
29413494,13,0x0001
29609829,22,0x0001
29727070,13,0x0001
29924956,22,0x0001
30042056,13,0x0001
30161859,30,0x0001
30221855,14,0x0001
30236821,22,0x0001
30357078,13,0x0001
30551826,22,0x0001
30866846,22,0x0001
31181822,22,0x0001
31302086,13,0x0001
31332291,29,0x0001
31496838,22,0x0001
31935095,13,0x0001
32111849,14,0x0001
32279677,29,0x0001
32366903,30,0x0001
33192100,13,0x0001
33222281,29,0x0001
33386834,22,0x0001
33704839,22,0x0001
34256743,30,0x0001
34316740,14,0x0001
34634289,14,0x0001
35276688,22,0x0001
35396940,13,0x0001
35427172,29,0x0001
35519163,30,0x0001
36206755,14,0x0001
36461935,30,0x0001
37166653,22,0x0001
37287131,13,0x0001
37317340,29,0x0001
38351951,30,0x0001
38411924,14,0x0001
38562827,30,0x001d
38712398,29,0x001e
39177145,13,0x0001
39207352,29,0x0001
39371884,22,0x0001
40301939,14,0x0001
40556968,30,0x0001
41261903,22,0x0001
41382151,13,0x0001
41412367,29,0x0001
41579903,22,0x0001
41698535,13,0x0001
41893222,22,0x0001
42043136,29,0x0001
42194305,14,0x0001
42446981,30,0x0001
42506931,14,0x0001
42674704,29,0x0001
43077729,30,0x0001
43275188,13,0x0001
43302383,29,0x0001
43452699,14,0x0001
43466911,22,0x0001
43587160,13,0x0001
44336995,30,0x0001
44396944,14,0x0001
45162015,13,0x0001
45192247,29,0x0001
45356718,22,0x0001
46286831,14,0x0001
46541862,30,0x0001
46769791,29,0x0001
46859466,30,0x0001
47322313,22,0x0001
47367001,13,0x0001
47397280,29,0x0001
48176846,14,0x0001
48431879,30,0x0001
49124376,14,0x0001
49257197,13,0x0001
49287430,29,0x0001
49451772,22,0x0001
49903054,1,0x000d
50202463,13,0x0001
50233942,29,0x0001
50321892,30,0x0001
50381840,14,0x0001
50519541,13,0x0001
50714692,22,0x0001
50953764,30,0x0001
51269404,30,0x0001
51341990,22,0x0001
51462236,13,0x0001
51492431,29,0x0001
51974000,22,0x0001
