sim_time_us,node_id,time_source,join_priority
1815835,34,0x0001,1
1815848,30,0x0001,1
1815866,22,0x0001,1
2130838,20,0x0001,1
2130863,38,0x0001,1
44656284,15,0x0026,2
142937019,9,0x001e,2
144511977,26,0x0026,2
144511977,28,0x0026,2
181367288,23,0x0022,2
195542379,24,0x001e,2
203102629,6,0x001a,4
216017612,27,0x0006,5
232082693,8,0x0022,2
254447855,31,0x0009,3
283113260,35,0x0006,5
292878156,17,0x0016,2
309894887,25,0x0006,5
325638516,39,0x001f,4
327528536,12,0x0011,4
331308591,18,0x0011,4
341703644,19,0x001f,4
367848865,13,0x001c,3
378243943,5,0x0008,4
378243943,14,0x0008,4
388953930,16,0x0017,3
418564573,37,0x0012,5
455104824,10,0x0012,5
469909634,7,0x0010,4
539210546,40,0x0005,5
622685930,21,0x0013,5
681591290,2,0x0016,2
708681509,11,0x0028,6
993481088,33,0x000d,4
1000058709,16,0x0017,3
1030929169,32,0x0021,5
1056759134,3,0x0005,5
1071879370,29,0x0015,6
1072194647,4,0x0021,5
1118814697,7,0x0010,4
1325456647,42,0x001f,4
1505952724,41,0x0005,5
1710074727,42,0x000c,5
2299759228,42,0x0002,5
2473640289,42,0x001e,2
2568456017,42,0x0026,2
2788642966,42,0x001a,4
2914958586,42,0x000d,4
3252011281,42,0x0021,5
