sim_time_us,node_id,period,total,cpu,lpm,deep_lpm,radio_tx,radio_rx,radio_total
180661682,28,2,1966080,42403,1923677,0,95,808841,808936
180772395,31,2,1966080,49207,1916873,0,67,1966013,1966080
180782164,32,2,1966080,49569,1916511,0,67,1966013,1966080
180785737,21,2,1966080,48077,1918003,0,43,1966035,1966078
180794848,15,2,1966080,59512,1906568,0,4034,52702,56736
180813724,23,2,1966080,49618,1916462,0,90,1965990,1966080
180811259,26,2,1966088,52468,1913620,0,3920,808430,812350
180829060,10,2,1966080,49858,1916222,0,90,1965990,1966080
180840326,4,2,1966080,49173,1916907,0,67,1966013,1966080
180864876,39,2,1966080,50388,1915692,0,124,1965955,1966079
180875681,3,2,1966080,47601,1918479,0,43,1966035,1966078
180882064,34,2,1965990,48743,1917247,0,3790,54845,58635
180899570,27,2,1966080,48627,1917453,0,55,1966023,1966078
180900648,22,2,1966080,42496,1923584,0,3721,53833,57554
181007764,24,2,1966080,48463,1917617,0,55,1966023,1966078
181024462,7,2,1966080,49179,1916901,0,90,1965990,1966080
181044592,33,2,1966080,48782,1917298,0,67,1966013,1966080
181056903,14,2,1966080,48071,1918009,0,43,1966035,1966078
181078946,30,2,1966115,71641,1894474,0,5735,57643,63378
181081099,41,2,1966080,47636,1918444,0,43,1966035,1966078
181156970,6,2,1966080,50176,1915904,0,67,1966013,1966080
181175332,2,2,1966080,46879,1919201,0,32,1966047,1966079
181243086,40,2,1966080,48076,1918004,0,43,1966035,1966078
181260059,25,2,1966080,48760,1917320,0,67,1966013,1966080
240283491,20,3,1966080,61749,1904331,0,2755,53901,56656
240312363,38,3,1966079,80281,1885798,0,2698,55541,58239
240316566,36,3,1966080,46499,1919581,0,32,1966047,1966079
240327683,19,3,1966080,49775,1916305,0,101,1965978,1966079
240330919,11,3,1966080,46693,1919387,0,43,1966035,1966078
240369590,42,3,1966080,41535,1924545,0,0,1966080,1966080
240384534,13,3,1966080,46016,1920064,0,90,1965990,1966080
240410234,8,3,1966087,62154,1903933,0,952,1700237,1701189
240422234,35,3,1966091,50152,1915939,0,89,1966001,1966090
240446220,5,3,1966080,52333,1913747,0,124,1965954,1966078
240464609,37,3,1966080,50255,1915825,0,124,1965955,1966079
240479733,18,3,1966080,48661,1917419,0,124,1965955,1966079
240481231,17,3,1966080,52979,1913101,0,124,1965954,1966078
240584686,12,3,1966080,51278,1914802,0,124,1965955,1966079
240599151,29,3,1966080,47754,1918326,0,43,1966035,1966078
240608580,9,3,1966078,67912,1898166,0,5020,55331,60351
240652971,16,3,1966080,46541,1919539,0,124,1965955,1966079
240661682,28,3,1966080,33850,1932230,0,94,45128,45222
240672555,1,3,1967040,1967040,0,0,9139,138270,147409
240772395,31,3,1966080,45538,1920542,0,124,1965955,1966079
240782164,32,3,1966080,46655,1919425,0,90,1965990,1966080
240785737,21,3,1966080,47159,1918921,0,43,1966035,1966078
240794822,15,3,1966079,90405,1875674,0,8652,74779,83431
240811223,26,3,1966078,83308,1882770,0,7145,64500,71645
240813925,23,3,1966087,79070,1887017,0,6254,72524,78778
240829060,10,3,1966080,49363,1916717,0,124,1965955,1966079
240840326,4,3,1966080,49413,1916667,0,90,1965990,1966080
240864876,39,3,1966080,50216,1915864,0,124,1965955,1966079
240875681,3,3,1966080,47289,1918791,0,43,1966035,1966078
240882064,34,3,1966080,78937,1887143,0,5800,71240,77040
240900648,22,3,1966080,42510,1923570,0,3126,53708,56834
240904266,27,3,1966234,66263,1899971,0,3410,1173992,1177402
241012218,24,3,1966087,79139,1886948,0,4574,518199,522773
241024462,7,3,1966080,47496,1918584,0,90,1965990,1966080
241044592,33,3,1966080,47082,1918998,0,67,1966013,1966080
241056903,14,3,1966080,47447,1918633,0,43,1966035,1966078
241081099,41,3,1966080,46688,1919392,0,43,1966035,1966078
241077799,30,3,1966043,151883,1814160,0,14250,108431,122681
241157772,6,3,1966087,82060,1884027,0,4907,759302,764209
241175332,2,3,1966080,46885,1919195,0,32,1966047,1966079
241243086,40,3,1966080,47159,1918921,0,43,1966035,1966078
241260059,25,3,1966080,48771,1917309,0,67,1966013,1966080
300283491,20,4,1966080,58043,1908037,0,2989,54637,57626
300312394,38,4,1966081,68379,1897702,0,2986,55005,57991
300316566,36,4,1966080,46512,1919568,0,32,1966047,1966079
300327683,19,4,1966080,47320,1918760,0,124,1965955,1966079
300330919,11,4,1966080,47080,1919000,0,43,1966035,1966078
300369590,42,4,1966080,41566,1924514,0,0,1966080,1966080
300384534,13,4,1966080,45997,1920083,0,124,1965955,1966079
300410225,8,4,1966079,71366,1894713,0,5549,55275,60824
300424360,35,4,1966076,59202,1906874,0,2160,1414522,1416682
300446220,5,4,1966080,49509,1916571,0,124,1965955,1966079
300464609,37,4,1966080,50253,1915827,0,124,1965955,1966079
300479733,18,4,1966080,52501,1913579,0,124,1965955,1966079
300481432,17,4,1966087,57414,1908673,0,1052,1723450,1724502
300585042,12,4,1966091,51249,1914842,0,125,1965967,1966092
300599151,29,4,1966080,47800,1918280,0,43,1966035,1966078
300608580,9,4,1966080,84190,1881890,0,5162,65204,70366
300643261,1,4,1965120,1965120,0,0,9048,138515,147563
300652971,16,4,1966080,45966,1920114,0,124,1965955,1966079
300661682,28,4,1966080,32716,1933364,0,152,45243,45395
300772597,31,4,1966087,63007,1903080,0,4272,489451,493723
300782164,32,4,1966080,46537,1919543,0,90,1965989,1966079
300785737,21,4,1966080,50220,1915860,0,124,1965955,1966079
300794822,15,4,1966080,73629,1892451,0,8442,79705,88147
300811223,26,4,1966080,74416,1891664,0,7868,77706,85574
300813917,23,4,1966079,73028,1893051,0,6249,72670,78919
300829060,10,4,1966080,50217,1915863,0,124,1965955,1966079
300840326,4,4,1966080,49401,1916679,0,89,1965989,1966078
300864876,39,4,1966080,50874,1915206,0,124,1965955,1966079
300875681,3,4,1966080,50140,1915940,0,124,1965955,1966079
300882064,34,4,1966080,92730,1873350,0,6147,76899,83046
300900648,22,4,1966080,49364,1916716,0,3060,53683,56743
300899763,27,4,1965932,58871,1907061,0,4945,59793,64738
301024462,7,4,1966080,49759,1916321,0,124,1965955,1966079
301020460,24,4,1966489,69165,1897324,0,3998,54633,58631
301044592,33,4,1966080,48994,1917086,0,90,1965990,1966080
301056903,14,4,1966080,48172,1917908,0,43,1966035,1966078
301081099,41,4,1966080,48945,1917135,0,124,1965954,1966078
301118595,30,4,1967417,142299,1825118,0,14377,121811,136188
301157790,6,4,1966100,94753,1871347,0,8027,82358,90385
301175332,2,4,1966080,47600,1918480,0,32,1966047,1966079
301243086,40,4,1966080,47555,1918525,0,43,1966035,1966078
301260059,25,4,1966080,47923,1918157,0,67,1966013,1966080
360286006,20,5,1966163,50821,1915342,0,3052,54920,57972
360312394,38,5,1966080,63433,1902647,0,2959,55391,58350
360316566,36,5,1966080,46521,1919559,0,32,1966047,1966079
360330919,11,5,1966080,47129,1918951,0,43,1966035,1966078
360327884,19,5,1966087,50247,1915840,0,1319,1370435,1371754
360369590,42,5,1966080,41544,1924536,0,0,1966080,1966080
360384534,13,5,1966080,45328,1920752,0,124,1965955,1966079
360410226,8,5,1966080,51664,1914416,0,3357,53798,57155
360422071,35,5,1966079,95289,1870790,0,7023,70782,77805
360446220,5,5,1966080,49579,1916501,0,124,1965955,1966079
360464965,37,5,1966091,50825,1915266,0,124,1965967,1966091
360479935,18,5,1966087,72601,1893486,0,2980,1037119,1040099
360481424,17,5,1966079,115552,1850527,0,8141,68784,76925
360584887,12,5,1966076,78406,1887670,0,3843,914001,917844
360599151,29,5,1966080,49326,1916754,0,124,1965955,1966079
360608580,9,5,1966080,88077,1878003,0,5597,73896,79493
360643262,1,5,1966080,1966080,0,0,10060,143120,153180
360652971,16,5,1966080,45822,1920258,0,124,1965955,1966079
360661682,28,5,1966080,33613,1932467,0,152,45581,45733
360772588,31,5,1966079,69629,1896450,0,5162,62624,67786
360782164,32,5,1966080,47276,1918804,0,124,1965955,1966079
360785737,21,5,1966080,50160,1915920,0,124,1965954,1966078
360794822,15,5,1966080,79787,1886293,0,9859,83182,93041
360811223,26,5,1966080,87580,1878500,0,8933,80872,89805
360813917,23,5,1966080,50690,1915390,0,5085,71847,76932
360829060,10,5,1966080,50548,1915532,0,124,1965955,1966079
360840326,4,5,1966080,50157,1915923,0,124,1965954,1966078
360868903,39,5,1966107,64644,1901463,0,3684,843413,847097
360875681,3,5,1966080,49714,1916366,0,124,1965955,1966079
360882064,34,5,1966080,67376,1898704,0,5864,75200,81064
360900648,22,5,1966080,59980,1906100,0,3297,54706,58003
360899763,27,5,1966080,73005,1893075,0,4166,70470,74636
361007957,24,5,1965670,83860,1881810,0,6685,74814,81499
361024462,7,5,1966080,49751,1916329,0,124,1965955,1966079
361044592,33,5,1966080,49764,1916316,0,124,1965955,1966079
361056903,14,5,1966080,48203,1917877,0,43,1966035,1966078
361081099,41,5,1966080,48909,1917171,0,124,1965955,1966079
361077800,30,5,1964743,167229,1797514,0,18771,130106,148877
361157760,6,5,1966079,126390,1839689,0,9373,111354,120727
361175332,2,5,1966080,48661,1917419,0,32,1966047,1966079
361243086,40,5,1966080,47728,1918352,0,43,1966035,1966078
361260260,25,5,1966087,93175,1872912,0,5592,331969,337561
420283462,20,6,1965996,55008,1910988,0,2952,54290,57242
420316567,36,6,1966080,46843,1919237,0,32,1966047,1966079
420320097,38,6,1966098,103358,1862740,0,5486,64084,69570
420327876,19,6,1966079,49827,1916252,0,5348,54721,60069
420330920,11,6,1966080,47457,1918623,0,43,1966035,1966078
420369591,42,6,1966080,41543,1924537,0,0,1966080,1966080
420384764,13,6,1966088,70438,1895650,0,4950,289851,294801
420415847,8,6,1966265,55610,1910655,0,3344,54009,57353
420422071,35,6,1966080,73119,1892961,0,5837,88691,94528
420449936,5,6,1966081,40586,1925495,0,152,615005,615157
420464662,37,6,1966070,49618,1916452,0,152,1905237,1905389
420479926,18,6,1966079,55683,1910396,0,4045,54521,58566
420481424,17,6,1966080,88883,1877197,0,7287,91702,98989
420584880,12,6,1966079,55216,1910863,0,4022,54354,58376
420599152,29,6,1966080,49253,1916827,0,124,1965954,1966078
420608581,9,6,1966080,79746,1886334,0,7187,76680,83867
420646642,1,6,1966191,1966191,0,0,10865,144666,155531
420653173,16,6,1966087,63537,1902550,0,3345,955499,958844
420661872,28,6,1966087,66707,1899380,0,6956,55176,62132
420772588,31,6,1966080,94049,1872031,0,7579,92130,99709
420782165,32,6,1966080,50674,1915406,0,124,1965955,1966079
420785738,21,6,1966080,48948,1917132,0,124,1965955,1966079
420794822,15,6,1966080,81836,1884244,0,9384,81729,91113
420811223,26,6,1966080,85305,1880775,0,8245,79102,87347
420813917,23,6,1966080,74118,1891962,0,6495,79940,86435
420829061,10,6,1966080,48881,1917199,0,124,1965955,1966079
420840683,4,6,1966091,50468,1915623,0,124,1965967,1966091
420865069,39,6,1966059,46835,1919224,0,4038,53140,57178
420875682,3,6,1966080,50393,1915687,0,124,1965955,1966079
420885396,34,6,1966080,81197,1884883,0,6786,77033,83819
420900648,22,6,1966080,52810,1913270,0,3015,54442,57457
420899763,27,6,1966080,54347,1911733,0,3310,69457,72767
421008815,24,6,1966080,78969,1887111,0,6719,76135,82854
421024463,7,6,1966080,51016,1915064,0,124,1965955,1966079
421044593,33,6,1966080,50494,1915586,0,124,1965955,1966079
421056917,14,6,1966081,40683,1925398,0,152,595461,595613
421081100,41,6,1966080,49228,1916852,0,124,1965955,1966079
421081805,30,6,1966211,185847,1780364,0,20777,134689,155466
421157762,6,6,1966080,87232,1878848,0,8104,108385,116489
421175333,2,6,1966080,47869,1918211,0,32,1966047,1966079
421243087,40,6,1966080,49589,1916491,0,124,1965955,1966079
421260252,25,6,1966079,74778,1891301,0,4166,65022,69188
480283491,20,7,1966081,51315,1914766,0,3097,54000,57097
480312394,38,7,1966062,99342,1866720,0,6992,78132,85124
480316567,36,7,1966080,46832,1919248,0,32,1966047,1966079
480327876,19,7,1966080,42156,1923924,0,3502,52968,56470
480330920,11,7,1966080,48178,1917902,0,43,1966035,1966078
480369591,42,7,1966080,41553,1924527,0,0,1966080,1966080
480384727,13,7,1966078,65812,1900266,0,4864,54964,59828
480414076,8,7,1965895,121776,1844119,0,7983,96087,104070
480422492,35,7,1966094,72625,1893469,0,5284,87949,93233
480446422,5,7,1966086,83713,1882373,0,6206,56297,62503
480464811,37,7,1966086,81553,1884533,0,5864,54972,60836
480482089,18,7,1966151,116164,1849987,0,7310,74478,81788
480481424,17,7,1966080,110325,1855755,0,8876,94767,103643
480584879,12,7,1966080,91825,1874255,0,3744,56298,60042
480599152,29,7,1966080,49076,1917004,0,124,1965955,1966079
480612905,9,7,1966080,64802,1901278,0,6551,75744,82295
480643255,1,7,1965969,1965969,0,0,12074,150263,162337
480653164,16,7,1966079,49746,1916333,0,5004,55478,60482
480661880,28,7,1966080,68915,1897165,0,6679,70472,77151
480782165,32,7,1966080,51090,1914990,0,124,1965955,1966079
480772559,31,7,1966079,72680,1893399,0,6754,90247,97001
480785738,21,7,1966080,49051,1917029,0,124,1965955,1966079
480794822,15,7,1966080,73498,1892582,0,9831,82101,91932
480813917,23,7,1966080,105074,1861006,0,9568,96671,106239
480811223,26,7,1966080,78087,1887993,0,8395,79735,88130
480829263,10,7,1966087,80808,1885279,0,3444,1146871,1150315
480840683,4,7,1966080,50354,1915726,0,124,1965954,1966078
480865069,39,7,1966080,59837,1906243,0,3648,54178,57826
480875682,3,7,1966080,46571,1919509,0,124,1965955,1966079
480885338,34,7,1966080,104147,1861933,0,9337,83070,92407
480900648,22,7,1966080,49427,1916653,0,3100,53897,56997
480910473,27,7,1966431,46105,1920326,0,2972,68340,71312
481007957,24,7,1966080,88698,1877382,0,8767,80737,89504
481024664,7,7,1966087,52694,1913393,0,1121,1610725,1611846
481044593,33,7,1966080,48395,1917685,0,124,1965955,1966079
481057105,14,7,1966086,86353,1879733,0,6792,57592,64384
481081100,41,7,1966080,48278,1917802,0,124,1965955,1966079
481077830,30,7,1965950,175887,1790063,0,22017,137642,159659
481157790,6,7,1966081,80288,1885793,0,7951,108227,116178
481175333,2,7,1966080,47485,1918595,0,32,1966047,1966079
481243087,40,7,1966080,48847,1917233,0,124,1965954,1966078
481260252,25,7,1966080,62123,1903957,0,3236,68645,71881
540283491,20,8,1966080,43669,1922411,0,2753,53564,56317
540315477,38,8,1966080,85086,1880994,0,6332,76805,83137
540316568,36,8,1966080,46728,1919352,0,32,1966047,1966079
540327931,19,8,1966082,45828,1920254,0,3433,53807,57240
540330920,11,8,1966080,45569,1920511,0,124,1965955,1966079
540369593,42,8,1966080,41747,1924333,0,0,1966080,1966080
540384728,13,8,1966080,55371,1910709,0,3469,53762,57231
540410926,8,8,1966080,73485,1892595,0,6614,105534,112148
540422873,35,8,1966093,61080,1905013,0,4733,87407,92140
540446414,5,8,1966079,51511,1914568,0,3750,54157,57907
540468330,37,8,1966195,49262,1916933,0,3632,53475,57107
540479931,18,8,1966009,87815,1878194,0,6790,90844,97634
540481424,17,8,1966080,89230,1876850,0,8806,95054,103860
540588013,12,8,1966182,59135,1907047,0,3215,54134,57349
540599152,29,8,1966080,48080,1918000,0,124,1965955,1966079
540608580,9,8,1966080,71199,1894881,0,7187,76588,83775
540646369,1,8,1966079,1966079,0,0,11883,149798,161681
540653794,16,8,1966101,94741,1871360,0,10956,84945,95901
540661871,28,8,1966080,51045,1915035,0,5206,71268,76474
540780363,31,8,1966081,87712,1878369,0,7355,92262,99617
540782166,32,8,1966080,49219,1916861,0,124,1965955,1966079
540785738,21,8,1966080,49613,1916467,0,124,1965955,1966079
540794822,15,8,1966080,69952,1896128,0,9466,81372,90838
540811223,26,8,1966080,71254,1894826,0,8147,78733,86880
540813917,23,8,1966080,87448,1878632,0,9262,95884,105146
540829254,10,8,1966079,64494,1901585,0,4509,53824,58333
540840685,4,8,1966080,49322,1916758,0,124,1965955,1966079
540865070,39,8,1966080,66583,1899497,0,3807,62735,66542
540875683,3,8,1966080,44860,1921220,0,124,1965955,1966079
540882035,34,8,1966079,96951,1869128,0,9318,82226,91544
540902942,22,8,1966156,50075,1916081,0,2881,53672,56553
540902955,27,8,1965834,44395,1921439,0,2763,68532,71295
541007958,24,8,1966080,88499,1877581,0,9351,81093,90444
541025075,7,8,1966078,66614,1899464,0,5709,57300,63009
541044593,33,8,1966080,50023,1916057,0,124,1965955,1966079
541057096,14,8,1966079,67475,1898604,0,7235,67147,74382
541081100,41,8,1966080,48997,1917083,0,124,1965955,1966079
541090555,30,8,1966117,178643,1787474,0,22619,138416,161035
541157163,6,8,1966059,73832,1892227,0,7728,107759,115487
541175334,2,8,1966080,47515,1918565,0,32,1966047,1966079
541243099,40,8,1966081,49532,1916549,0,152,1900984,1901136
541260252,25,8,1966080,50275,1915805,0,3128,69062,72190
600283492,20,9,1966080,47402,1918678,0,2854,54080,56934
600316649,38,9,1966091,70203,1895888,0,5620,75526,81146
600316568,36,9,1966080,46935,1919145,0,32,1966047,1966079
600327876,19,9,1966078,41375,1924703,0,2797,52990,55787
600330920,11,9,1966080,48458,1917622,0,124,1965955,1966079
600369593,42,9,1966080,41967,1924113,0,0,1966080,1966080
600384728,13,9,1966080,51457,1914623,0,2993,53732,56725
600410226,8,9,1966080,86221,1879859,0,8213,108494,116707
600422072,35,9,1966053,56822,1909231,0,4899,87278,92177
