sim_time_us,node_id,event,peer,detail
304371431,17,CELL_ALLOC,0x0018,slot=16 ch=11 dir=Transmit
317046731,22,LIST,0x0011,
317099022,17,EOL,0x0016,
317367434,25,LIST,0x0023,
317859773,25,LIST,0x0006,
320204565,27,LIST,0x0019,
320414889,25,EOL,0x001b,
321044768,35,EOL,0x0019,
321678771,6,EOL,0x0019,
321865374,25,ADD,0x0023,
321990784,35,CELL_ALLOC,0x0019,slot=2 ch=12 dir=Receive
322004792,35,SUCCESS,0x0019,
322168517,25,CELL_ALLOC,0x0023,slot=2 ch=12 dir=Transmit
336395184,39,LIST,0x001f,
336479514,31,EOL,0x0027,
336669426,39,ADD,0x001f,
336795746,31,CELL_ALLOC,0x0027,slot=13 ch=12 dir=Receive
336809777,31,SUCCESS,0x0027,
336970780,39,CELL_ALLOC,0x001f,slot=13 ch=12 dir=Transmit
336972973,31,LIST,0x0027,
337109390,39,EOL,0x001f,
338442907,12,LIST,0x0011,
340889921,17,EOL,0x000c,
341079069,12,ADD,0x0011,
341205930,17,CELL_ALLOC,0x000c,slot=15 ch=8 dir=Receive
341219942,17,SUCCESS,0x000c,
341374241,12,CELL_ALLOC,0x0011,slot=15 ch=8 dir=Transmit
344907177,18,LIST,0x0011,
344984980,17,EOL,0x0012,
345399752,18,LIST,0x000c,
345614756,12,EOL,0x0012,
345804461,18,ADD,0x0011,
345931377,17,CELL_ALLOC,0x0012,slot=14 ch=10 dir=Receive
345945473,17,SUCCESS,0x0012,
346099430,18,CELL_ALLOC,0x0011,slot=14 ch=10 dir=Transmit
350669696,35,LIST,0x0019,
350804539,25,EOL,0x0023,
352035964,6,ADD,0x0023,
352094325,35,SUCCESS,0x0006,
352165199,6,CELL_ALLOC,0x0023,slot=11 ch=0 dir=Transmit
352178304,6,SUCCESS,0x0023,
352187412,20,LIST,0x0026,
352229645,38,EOL,0x0014,
352320089,35,CELL_ALLOC,0x0006,slot=11 ch=0 dir=Receive
353797244,25,LIST,0x001b,
353954675,27,EOL,0x0019,
355678504,17,LIST,0x0016,
355844518,22,EOL,0x0011,
358525828,19,LIST,0x001f,
361199834,31,EOL,0x0013,
361400406,19,ADD,0x001f,
361515815,31,CELL_ALLOC,0x0013,slot=12 ch=8 dir=Receive
361529867,31,SUCCESS,0x0013,
