sim_time_us,node_id
4526164,30
4526184,38
4526208,34
4526259,22
4526275,20
48627447,15
145963065,26
151471880,9
183763363,23
199198547,24
211952483,6
220142237,27
235739125,8
258733399,31
287398826,35
295589548,17
312285397,25
329609460,39
331814909,12
337638623,18
351659987,19
365043491,28
372764960,13
393240137,16
423794990,14
423795030,5
428835991,37
458131159,10
474349750,7
541759980,40
610630663,16
614669351,16
621036463,7
625397127,21
684302838,2
711707758,11
997729361,33
1002454834,16
1034739370,32
1060253678,3
1074429436,29
1075220946,4
1122156417,7
1122838928,7
1508978798,41
