sim_time_us,event,detail
376989,BOOT,
10413251,STATUS,tick=1
20421063,STATUS,tick=2
30428875,STATUS,tick=3
40436688,STATUS,tick=4
50444500,STATUS,tick=5
60455285,STATUS,tick=6
70468231,STATUS,tick=7
80475750,STATUS,tick=8
90483563,STATUS,tick=9
100491515,STATUS,tick=10
110499328,STATUS,tick=11
120507160,STATUS,tick=12
130514953,STATUS,tick=13
140522765,STATUS,tick=14
150530851,STATUS,tick=15
160538391,STATUS,tick=16
170546203,STATUS,tick=17
180554035,STATUS,tick=18
190561828,STATUS,tick=19
200569928,STATUS,tick=20
210577453,STATUS,tick=21
220585266,STATUS,tick=22
230593361,STATUS,tick=23
240600910,STATUS,tick=24
250608703,STATUS,tick=25
260616515,STATUS,tick=26
270624328,STATUS,tick=27
280632140,STATUS,tick=28
290639953,STATUS,tick=29
300647786,STATUS,tick=30
310655851,STATUS,tick=31
320663391,STATUS,tick=32
330671204,STATUS,tick=33
340679016,STATUS,tick=34
350686829,STATUS,tick=35
360694938,STATUS,tick=36
370702454,STATUS,tick=37
380710266,STATUS,tick=38
390718362,STATUS,tick=39
400725891,STATUS,tick=40
410733703,STATUS,tick=41
420741536,STATUS,tick=42
430749328,STATUS,tick=43
440757141,STATUS,tick=44
450764953,STATUS,tick=45
460772766,STATUS,tick=46
470780852,STATUS,tick=47
480788411,STATUS,tick=48
490796204,STATUS,tick=49
500804016,STATUS,tick=50
510811829,STATUS,tick=51
520819921,STATUS,tick=52
530827455,STATUS,tick=53
540835287,STATUS,tick=54
550843364,STATUS,tick=55
560850892,STATUS,tick=56
570858705,STATUS,tick=57
580866517,STATUS,tick=58
590874330,STATUS,tick=59
600882162,STATUS,tick=60
610889955,STATUS,tick=61
620897767,STATUS,tick=62
630905854,STATUS,tick=63
640913392,STATUS,tick=64
650921205,STATUS,tick=65
660929037,STATUS,tick=66
670936830,STATUS,tick=67
680944921,STATUS,tick=68
690952455,STATUS,tick=69
700960267,STATUS,tick=70
710968364,STATUS,tick=71
720975912,STATUS,tick=72
730983704,STATUS,tick=73
740991517,STATUS,tick=74
750999329,STATUS,tick=75
761007142,STATUS,tick=76
771014954,STATUS,tick=77
781022787,STATUS,tick=78
791030854,STATUS,tick=79
801038392,STATUS,tick=80
811046204,STATUS,tick=81
821054017,STATUS,tick=82
831061829,STATUS,tick=83
841069940,STATUS,tick=84
851077454,STATUS,tick=85
861085267,STATUS,tick=86
871093363,STATUS,tick=87
881100892,STATUS,tick=88
