seed,pkt_sent_total,pkt_recv_total,pdr_pct,avg_latency_ms,radio_total_pct,root_radio_rx_pct,cpu_pct,lpm_pct,rpl_dio_total,rpl_dis_total,rpl_dao_total,parent_change_total,gossip_tx_total,gossip_rx_total,eta_sc_pct,mdc_contact_rx,mdc_known_targets,mdc_coverage_pct
11111,8060.0,73.0,0.91,2060.76,20.34,8.157,7.982,91.94,636.0,402.0,149.0,42.0,2566.0,6595.0,30.43,76.0,40.0,97.56
22222,8175.0,80.0,0.98,6153.55,19.246,8.743,8.043,91.997,745.0,374.0,184.0,45.0,2566.0,6523.0,30.55,64.0,39.0,95.12
33333,7903.0,42.0,0.53,2479.68,22.298,7.296,7.953,92.01,694.0,442.0,211.0,40.0,2569.0,6562.0,31.46,46.0,40.0,97.56
44444,8089.0,69.0,0.85,3256.62,20.527,8.14,7.986,92.095,630.0,398.0,211.0,42.0,2568.0,6660.0,30.06,58.0,38.0,92.68
55555,8122.0,130.0,1.6,2263.54,20.121,7.996,7.934,92.06,605.0,389.0,170.0,39.0,2565.0,6551.0,30.24,45.0,39.0,95.12
