sim_time_us,event,detail
2163783124,STATUS,tick=11
2173810345,STATUS,tick=12
2183829989,STATUS,tick=13
2193861259,STATUS,tick=14
2203892489,STATUS,tick=15
2213931551,STATUS,tick=16
2223970624,STATUS,tick=17
2234001884,STATUS,tick=18
2244033124,STATUS,tick=19
2254072177,STATUS,tick=20
2264111249,STATUS,tick=21
2274150302,STATUS,tick=22
2284189364,STATUS,tick=23
2294228446,STATUS,tick=24
2304267519,STATUS,tick=25
2314306552,STATUS,tick=26
2324345614,STATUS,tick=27
2334384710,STATUS,tick=28
2344423752,STATUS,tick=29
2354463316,STATUS,tick=30
2364501897,STATUS,tick=31
2369757557,BOOT,
2379793870,STATUS,tick=1
2389801683,STATUS,tick=2
2399825120,STATUS,tick=3
2409848831,STATUS,tick=4
2419871995,STATUS,tick=5
2429895452,STATUS,tick=6
2439918870,STATUS,tick=7
2449942308,STATUS,tick=8
2459966023,STATUS,tick=9
2469989322,STATUS,tick=10
2480012760,STATUS,tick=11
2490036490,STATUS,tick=12
2500059635,STATUS,tick=13
2510083073,STATUS,tick=14
2520106788,STATUS,tick=15
2530129948,STATUS,tick=16
2540153385,STATUS,tick=17
2550176842,STATUS,tick=18
2560200260,STATUS,tick=19
2570223970,STATUS,tick=20
2580247413,STATUS,tick=21
2590270573,STATUS,tick=22
2600294010,STATUS,tick=23
2610317467,STATUS,tick=24
2620340885,STATUS,tick=25
2630364323,STATUS,tick=26
2640388038,STATUS,tick=27
2650411480,STATUS,tick=28
2660434635,STATUS,tick=29
2670458093,STATUS,tick=30
2680481511,STATUS,tick=31
2690504948,STATUS,tick=32
2700528596,STATUS,tick=33
2710559764,STATUS,tick=34
2720599291,STATUS,tick=35
2730630120,STATUS,tick=36
2740661350,STATUS,tick=37
2750700402,STATUS,tick=38
2760731673,STATUS,tick=39
2765893633,BOOT,
2775929894,STATUS,tick=1
2785937707,STATUS,tick=2
2795945519,STATUS,tick=3
2805953332,STATUS,tick=4
2815961144,STATUS,tick=5
2825971928,STATUS,tick=6
2835984875,STATUS,tick=7
2845992394,STATUS,tick=8
2856000207,STATUS,tick=9
2866008159,STATUS,tick=10
2876015972,STATUS,tick=11
2886023804,STATUS,tick=12
2896031597,STATUS,tick=13
2906039597,STATUS,tick=14
2916047351,STATUS,tick=15
2926055174,STATUS,tick=16
2936070789,STATUS,tick=17
2946094266,STATUS,tick=18
2956117673,STATUS,tick=19
2966141111,STATUS,tick=20
2976164548,STATUS,tick=21
2986187976,STATUS,tick=22
2996211413,STATUS,tick=23
3006251617,STATUS,tick=24
3016277116,STATUS,tick=25
3026297371,STATUS,tick=26
3036320798,STATUS,tick=27
3046344236,STATUS,tick=28
3056367663,STATUS,tick=29
3066391121,STATUS,tick=30
3076422351,STATUS,tick=31
3086453611,STATUS,tick=32
3096484861,STATUS,tick=33
3106516101,STATUS,tick=34
3116547361,STATUS,tick=35
3126578631,STATUS,tick=36
3136609862,STATUS,tick=37
3146641111,STATUS,tick=38
3156672351,STATUS,tick=39
3166703634,STATUS,tick=40
3176742687,STATUS,tick=41
3186789623,STATUS,tick=42
3196828624,STATUS,tick=43
3206867687,STATUS,tick=44
3209210545,BOOT,
3219246858,STATUS,tick=1
3229254671,STATUS,tick=2
3239262483,STATUS,tick=3
3249270296,STATUS,tick=4
3259278108,STATUS,tick=5
