sim_time_us,node_id,time_source,join_priority
1754556,21,0x0001,1
1754587,22,0x0001,1
2069562,13,0x0001,1
2069562,14,0x0001,1
2069577,29,0x0001,1
2069587,30,0x0001,1
126180411,15,0x000e,2
155160626,6,0x000e,2
187921061,31,0x001e,2
212176413,7,0x0006,4
213751264,23,0x0016,2
252496496,16,0x000f,4
272341673,20,0x0015,2
287146895,28,0x0014,3
289037142,24,0x0010,5
296596812,36,0x001c,4
296596836,27,0x001c,4
309854203,38,0x001e,2
329357216,32,0x001f,3
329357241,39,0x001f,3
330932654,35,0x0024,5
341642316,17,0x0010,5
396768086,40,0x0027,4
407162772,37,0x001d,2
413777792,12,0x000d,2
422282984,8,0x0007,5
440553371,41,0x0028,6
465753416,9,0x0008,6
475518324,26,0x001b,5
508278899,18,0x001a,6
527494251,34,0x001a,6
571909017,5,0x000d,2
579154212,25,0x0018,4
600889573,14,0x0016,2
608134629,4,0x0005,3
621680022,33,0x0019,5
705470446,16,0x0018,4
711140397,6,0x000e,3
727520341,11,0x000c,4
729095708,8,0x0010,5
732560632,7,0x0006,4
739805641,10,0x000b,5
795246118,17,0x0010,5
822336503,9,0x0011,6
830526200,3,0x0004,4
927862130,2,0x0003,5
944872378,19,0x000b,5
1242864341,42,0x000a,6
1292004843,15,0x0010,5
1368550605,42,0x000c,4
1702767956,42,0x0010,5
2088646157,42,0x0018,4
2689986402,42,0x0013,4
2899462695,42,0x001b,5
