sim_time_us,node_id,event,detail
10519344,1,TX,
24330329,1,TX,
24867895,14,RX,
24867895,22,RX,
24867896,29,RX,
24867899,21,RX,
24867920,30,RX,
24867922,13,RX,
36935167,1,TX,
36987981,29,RX,
36987983,13,RX,
36987983,14,RX,
36987983,30,RX,
36987985,22,RX,
36987986,21,RX,
49498793,1,TX,
49588530,29,RX,
49588530,30,RX,
49588533,14,RX,
49588534,21,RX,
49588553,22,RX,
49588558,13,RX,
60414111,3,TX,
60440191,28,TX,
60463682,14,RX,
60463683,21,RX,
60463685,1,RX,
60472174,13,TX,
60492057,37,TX,
60509329,25,TX,
60510474,31,TX,
60517644,8,TX,
60548406,3,RX,
60564143,4,TX,
60571381,15,TX,
60577698,26,TX,
60613739,22,RX,
60613744,1,RX,
60613748,29,RX,
60614022,31,RX,
60616000,14,TX,
60627132,25,RX,
60642967,24,TX,
60644614,30,TX,
60646752,25,RX,
60647425,17,TX,
60684008,37,RX,
60684029,28,RX,
60692805,6,TX,
60699841,36,TX,
60700252,40,TX,
60710932,29,TX,
60723715,10,TX,
60726580,26,RX,
60726589,28,RX,
60742416,27,TX,
60778724,30,RX,
60778729,21,RX,
60778748,1,RX,
60781818,26,RX,
60797651,34,TX,
60811782,24,RX,
60811802,31,RX,
60811806,40,RX,
60827585,32,TX,
60867798,3,RX,
60867799,10,RX,
60883491,4,RX,
60883552,2,TX,
60891484,15,RX,
60891485,24,RX,
60891485,31,RX,
60899274,12,TX,
60902623,40,RX,
60907319,23,TX,
60918456,41,TX,
60976528,15,RX,
60976531,8,RX,
60976552,6,RX,
60977297,21,TX,
60985736,41,RX,
60985751,25,RX,
60985760,32,RX,
60992311,7,TX,
61001570,33,TX,
61005451,3,RX,
61005451,10,RX,
61005476,12,RX,
61007275,27,RX,
61021237,11,TX,
61023108,19,TX,
61039679,11,RX,
61040068,22,TX,
61120074,6,RX,
61120076,4,RX,
61135856,5,TX,
61167338,26,RX,
61167339,10,RX,
61167342,19,RX,
61175428,8,RX,
61175429,24,RX,
61175453,15,RX,
61175453,17,RX,
61183171,18,TX,
61191262,16,TX,
61239502,40,RX,
61239526,31,RX,
61255335,39,TX,
61282422,8,RX,
61282446,17,RX,
61298203,9,TX,
61301088,34,RX,
61301088,36,RX,
61301089,27,RX,
61304100,37,RX,
61304143,39,RX,
61311383,12,RX,
61311384,19,RX,
61311471,28,RX,
61316923,35,TX,
61319934,38,TX,
61327216,20,TX,
62668638,30,RX,
62668639,14,RX,
62668640,21,RX,
62668644,13,RX,
62668662,29,RX,
62668668,22,RX,
62673087,1,TX,
65819008,1,RX,
65819009,13,RX,
65819010,22,RX,
65819287,6,RX,
65819288,15,RX,
75475173,1,TX,
75584586,13,RX,
75584586,21,RX,
75584587,30,RX,
75584588,14,RX,
75584589,22,RX,
75584589,29,RX,
90325201,1,TX,
103215199,1,TX,
116337613,1,TX,
116369893,21,RX,
116369896,22,RX,
116369897,30,RX,
116369899,29,RX,
116369917,13,RX,
116369926,14,RX,
121094990,1,RX,
121094992,14,RX,
121094993,21,RX,
121103824,13,TX,
122520072,29,RX,
122520076,22,RX,
122520095,1,RX,
122555802,30,TX,
122811426,4,RX,
122841036,3,TX,
122845236,36,RX,
122845239,27,RX,
122875131,28,TX,
122896588,36,RX,
122921805,37,TX,
122944270,25,TX,
122944674,8,TX,
122962492,3,RX,
122962492,12,RX,
122971148,23,RX,
122971440,31,TX,
122982744,27,RX,
122982769,34,RX,
123001397,4,TX,
123012638,26,TX,
123024426,15,TX,
123048012,25,RX,
123048013,23,RX,
123048018,32,RX,
123072577,25,RX,
123077142,17,TX,
123077862,24,TX,
123092676,7,RX,
123105299,32,RX,
123105299,41,RX,
123106447,37,RX,
123106461,28,RX,
123121002,2,RX,
123121025,11,RX,
123135146,40,TX,
123145850,6,TX,
123150044,28,RX,
123150070,19,RX,
123150077,26,RX,
123150310,36,TX,
123150698,10,TX,
123203216,26,RX,
123203672,27,TX,
123226915,24,RX,
123226915,31,RX,
123226917,33,RX,
123226935,40,RX,
123237795,34,TX,
123275800,32,TX,
123280866,3,RX,
123280894,10,RX,
123298109,4,RX,
123298110,11,RX,
123310563,2,TX,
123314848,15,RX,
123314848,24,RX,
123314848,31,RX,
123324022,40,RX,
123324046,33,RX,
123341677,12,TX,
123350288,21,TX,
123358540,41,TX,
123368148,23,TX,
123392178,8,RX,
123392178,15,RX,
123392198,6,RX,
123408681,25,RX,
123408686,41,RX,
123408706,32,RX,
123421002,12,RX,
123421002,19,RX,
123421027,10,RX,
123445354,7,TX,
123457566,33,TX,
123458909,20,RX,
123458921,27,RX,
123458931,18,RX,
123465010,13,RX,
123465011,22,RX,
123465035,1,RX,
123465037,29,RX,
123474365,11,TX,
123500812,11,RX,
123512546,19,TX,
123531596,4,RX,
123531596,6,RX,
123547405,5,TX,
123590805,19,RX,
123590819,10,RX,
123594762,24,RX,
123594805,17,RX,
123610615,16,TX,
123644430,18,TX,
123659351,38,RX,
123659367,40,RX,
123679911,39,TX,
123709742,9,TX,
123720421,27,RX,
123720422,34,RX,
123723950,39,RX,
123734847,19,RX,
123734848,12,RX,
123736277,35,TX,
123744511,38,TX,
123788476,20,TX,
124330738,14,TX,
124724888,13,RX,
124724889,22,RX,
124724901,1,RX,
124725166,6,RX,
124725166,15,RX,
125242319,29,TX,
125355071,30,RX,
125355078,21,RX,
125355087,1,RX,
126061358,22,TX,
126135035,1,RX,
126135037,14,RX,
126135048,30,RX,
126135067,21,RX,
128335255,1,TX,
140079710,1,TX,
140160086,13,RX,
140160089,14,RX,
140160089,21,RX,
140160089,30,RX,
140160093,22,RX,
140160101,29,RX,
153043950,1,TX,
153075186,13,RX,
153075186,21,RX,
153075210,30,RX,
153075213,29,RX,
153075214,22,RX,
153075228,14,RX,
163681271,1,TX,
163785269,13,RX,
163785269,21,RX,
163785271,22,RX,
163785272,14,RX,
163785272,30,RX,
163785297,29,RX,
174960348,13,RX,
174960348,14,RX,
174960352,21,RX,
174960352,22,RX,
174960352,30,RX,
174960354,29,RX,
174982878,1,TX,
184579117,4,RX,
184627718,3,TX,
184674746,28,TX,
184690295,24,RX,
184690296,17,RX,
184708156,37,TX,
184736306,8,TX,
184743835,25,TX,
184745318,3,RX,
184758763,27,RX,
184768253,31,TX,
184798564,4,TX,
184812393,26,TX,
184816120,32,RX,
184816154,25,RX,
184823010,15,TX,
184845508,25,RX,
184869667,24,TX,
184874209,17,TX,
184881326,32,RX,
184889110,2,RX,
184895504,37,RX,
184895527,28,RX,
184934877,40,TX,
184939373,36,TX,
184942480,10,TX,
184946919,28,RX,
184946958,26,RX,
184947175,6,TX,
184976654,26,RX,
185000546,27,TX,
185011238,34,TX,
185024206,24,RX,
185024206,31,RX,
185024206,40,RX,
185024207,33,RX,
185049090,10,RX,
185049099,3,RX,
185077749,32,TX,
185088413,4,RX,
185088414,11,RX,
185099006,33,RX,
185099006,40,RX,
185102418,2,TX,
185119533,31,RX,
185119534,24,RX,
185141671,12,TX,
185147931,41,TX,
185172836,23,TX,
185189054,8,RX,
185206074,25,RX,
185206074,41,RX,
185206084,32,RX,
185217876,19,RX,
185217877,12,RX,
185217902,3,RX,
185217907,10,RX,
185242230,7,TX,
185259603,33,TX,
185266574,27,RX,
185266587,18,RX,
185271235,11,TX,
185281596,4,RX,
185297395,5,TX,
185303005,11,RX,
185320164,19,TX,
185344762,8,RX,
185344762,24,RX,
185344805,17,RX,
185355345,29,RX,
185360617,16,TX,
185383685,30,TX,
185387678,26,RX,
185387679,19,RX,
185387689,10,RX,
185417163,31,RX,
185417163,38,RX,
185417180,40,RX,
185437730,39,TX,
185441306,18,TX,
185443942,8,RX,
185443942,17,RX,
185459742,9,TX,
185470421,27,RX,
185470422,34,RX,
185470422,36,RX,
185481762,39,RX,
185486278,35,TX,
185502329,38,TX,
185531723,19,RX,
185531724,12,RX,
185585351,20,TX,
185621670,13,TX,
185670335,21,RX,
185670340,14,RX,
185670353,1,RX,
186572900,21,TX,
186615493,13,RX,
186615493,22,RX,
186615496,29,RX,
186615497,1,RX,
187091043,22,TX,
187095515,30,RX,
187095516,14,RX,
187095517,1,RX,
187095541,21,RX,
187245441,29,RX,
187245446,21,RX,
187245446,22,RX,
187245448,30,RX,
187245456,14,RX,
187245516,13,RX,
187257570,1,TX,
188098919,29,TX,
188170152,14,TX,
188190575,30,RX,
202153356,1,TX,
202215564,30,RX,
202215589,29,RX,
214335652,21,RX,
214335653,13,RX,
214335656,14,RX,
214335657,22,RX,
214335657,29,RX,
214335658,30,RX,
214339248,1,TX,
228510762,14,RX,
228510766,22,RX,
228510766,29,RX,
228510768,21,RX,
228510768,30,RX,
228510789,13,RX,
228523196,1,TX,
242106331,1,TX,
245931095,2,RX,
245931095,4,RX,
245980530,36,RX,
245980543,27,RX,
245984373,3,TX,
246008022,36,RX,
246034121,28,TX,
246049669,17,RX,
246049669,24,RX,
246049670,33,RX,
246051891,37,TX,
246095675,8,TX,
246096780,12,RX,
246096792,3,RX,
246103205,25,TX,
246110327,34,RX,
246110328,27,RX,
246124806,31,TX,
246150030,4,TX,
246163956,26,TX,
246225771,17,TX,
246229042,24,TX,
246232784,32,RX,
246232808,41,RX,
246240284,37,RX,
246240340,28,RX,
246248799,2,RX,
246248799,11,RX,
246248824,18,RX,
246286360,40,TX,
246293913,36,TX,
246298381,28,RX,
246298406,19,RX,
246298407,26,RX,
246302121,10,TX,
246306872,35,RX,
246325101,26,RX,
246351969,27,TX,
246360440,34,TX,
246383575,40,RX,
246383581,24,RX,
246383582,33,RX,
246400536,10,RX,
246437130,32,TX,
246447479,4,RX,
246447479,11,RX,
246447510,20,RX,
246450984,40,RX,
246450985,33,RX,
246453900,2,TX,
246500734,12,TX,
246504517,41,TX,
246536776,23,TX,
246557536,32,RX,
246557540,41,RX,
246577252,19,RX,
246577252,12,RX,
246577277,10,RX,
246590986,7,TX,
246602087,5,TX,
246611083,33,TX,
246626265,18,RX,
246626265,27,RX,
246626306,20,RX,
246630625,11,TX,
246662379,11,RX,
246665314,16,TX,
246679870,19,TX,
246690907,15,TX,
246729664,38,RX,
246739139,19,RX,
246750230,39,TX,
246764434,9,TX,
246779241,34,RX,
246792728,18,TX,
246794262,39,RX,
246814834,38,TX,
246832868,35,TX,
246883190,19,RX,
246936774,20,TX,
247371643,13,TX,
247817581,30,TX,
247891020,1,RX,
247891020,29,RX,
247891023,22,RX,
247891042,31,RX,
248041689,6,RX,
248041689,15,RX,
248041976,8,RX,
249518366,21,TX,
249615986,13,RX,
249707873,29,TX,
249998962,6,TX,
250096799,14,RX,
250096832,7,RX,
250563960,22,TX,
250726011,23,RX,
250726012,14,RX,
250726012,21,RX,
250726021,1,RX,
250726030,30,RX,
252180410,14,TX,
254122107,1,TX,
265392278,1,TX,
276366885,1,TX,
276391135,13,RX,
286471217,30,RX,
286471234,29,RX,
286516117,1,TX,
297861529,1,TX,
297976312,22,RX,
297976312,29,RX,
297976312,30,RX,
297976315,13,RX,
297976327,14,RX,
297976329,21,RX,
306948778,31,TX,
307112438,23,RX,
307267843,15,TX,
307473398,23,TX,
308120584,13,TX,
308946720,4,RX,
308946721,2,RX,
308999998,3,TX,
309058223,28,TX,
309070504,37,TX,
309073428,17,RX,
309073428,33,RX,
309112404,12,RX,
309112412,3,RX,
309119121,8,TX,
309125930,34,RX,
309126940,25,TX,
309165661,4,TX,
309179580,26,TX,
309187898,25,RX,
309241396,17,TX,
309254689,24,TX,
309256218,32,RX,
309256219,39,RX,
309256243,41,RX,
309271922,11,RX,
309271924,2,RX,
309271948,18,RX,
309309797,40,TX,
309310780,36,TX,
309322492,35,RX,
309322518,26,RX,
309325295,10,TX,
309376097,34,TX,
309391940,27,TX,
309412549,33,RX,
309412557,40,RX,
309416161,10,RX,
