sim_time_us,receiver_id,src_id,seq,latency_reported_ms,aoi_us
445202197,1,13,29,585,355347
445610648,1,36,6,906,427643
446376288,1,23,11,273,446282
446402261,1,20,21,320,529226
446777283,1,12,2,968,733318
447201111,1,30,29,875,127146
447407647,1,5,2,1117,965143
447662035,1,21,29,632,189306
448292562,1,28,12,1085,792908
449211002,1,22,29,117,143748
449390531,1,29,29,828,582205
457277063,1,37,8,250,306523
460867372,1,23,12,429,609831
460952143,1,13,30,562,333753
461694022,1,30,30,859,112249
462066773,1,36,7,1460,985336
462212474,1,12,3,843,606015
462467826,1,20,22,585,790103
462782106,1,21,30,734,296461
463097378,1,28,13,812,519599
463157469,1,5,3,898,746225
463385867,1,22,30,23,45147
464510654,1,29,30,335,85166
472075122,1,37,9,93,136026
475671361,1,23,13,359,538835
476481162,1,36,8,1148,673129
476642376,1,20,23,429,636534
476702282,1,13,31,445,217378
476811357,1,30,31,1062,315638
477017608,1,12,4,820,583009
477272238,1,21,31,789,345284
477647595,1,5,4,671,517582
478847520,1,28,14,937,641089
479451269,1,22,31,367,391822
480575808,1,29,31,546,297181
487821274,1,37,10,125,163263
490477207,1,23,14,367,547781
490502041,1,20,24,0,74289
490656293,1,36,9,1062,590466
491132342,1,21,32,515,76364
491303946,1,30,32,812,65877
491507637,1,12,5,679,440205
492767428,1,13,32,515,290895
493022516,1,28,15,742,444703
493397696,1,5,5,687,532667
493941075,1,22,32,70,92546
495065887,1,29,32,539,288801
497091822,1,24,0,6140,5509801
502315519,1,37,11,31,79402
504831663,1,36,10,1171,694507
505476536,1,30,33,960,215075
505912126,1,23,15,437,609717
505937750,1,20,25,265,466954
505997812,1,12,6,687,446035
506226562,1,15,0,1117,992957
506567449,1,21,33,640,195161
507171869,1,24,1,1335,707414
507887689,1,13,33,531,301811
508149633,1,28,16,750,454630
508203079,1,5,6,1007,854335
508431048,1,22,33,62,82539
509240883,1,29,33,562,315389
517445181,1,37,12,484,537178
520281815,1,30,34,1031,285980
520589981,1,36,11,1093,621815
521031856,1,23,16,226,399313
521117949,1,12,7,914,675546
521372557,1,21,34,679,238473
521662010,1,24,2,1671,1041305
521687879,1,20,26,265,467143
521976384,1,15,1,867,742828
522002714,1,19,0,789,1013904
523262866,1,28,17,820,521025
523551581,1,22,34,195,218702
523637828,1,13,34,406,176955
523952948,1,5,7,921,768266
524365666,1,29,34,312,65178
532551333,1,37,13,39,80250
535401779,1,30,35,1062,312461
535547527,1,21,35,617,179074
535836981,1,23,17,421,595074
536016666,1,36,12,898,419447
536152097,1,24,3,1648,1015767
536466799,1,15,2,851,725431
536553046,1,12,8,726,485623
536807981,1,20,27,546,755257
537444181,1,19,1,859,1085311
537812928,1,13,35,406,180174
538041697,1,22,35,179,201006
538704588,1,28,18,1312,1016212
539073015,1,5,8,320,169563
539166377,1,29,35,601,346585
541911022,1,4,0,4351,4473381
546726290,1,37,14,39,83902
550822022,1,36,13,1039,560731
550957024,1,15,3,1085,957266
550982836,1,21,36,593,149267
551151776,1,30,36,921,171510
551613061,1,20,28,531,739984
551902087,1,23,18,679,855482
552217249,1,24,4,2250,1618348
552243125,1,28,19,757,459183
552303085,1,13,36,390,162508
552531831,1,22,36,296,313765
552618450,1,12,9,1007,769777
552847233,1,16,0,2492,2456971
552873010,1,19,2,734,959433
553353465,1,29,36,546,309245
553366554,1,38,0,1109,1220390
553878147,1,5,9,734,584070
554193175,1,4,1,960,1083689
562791696,1,37,15,320,359481
565131713,1,15,4,546,421551
565157914,1,21,37,625,187899
565765625,1,23,19,343,523723
565953356,1,36,14,960,496771
565966624,1,30,37,1109,349947
566077188,1,24,5,1734,1104911
566707053,1,16,1,820,785553
567021525,1,22,37,93,117548
567363205,1,20,29,328,537044
567678501,1,28,20,1687,1389784
567738098,1,13,37,515,292844
567999838,1,19,3,890,1117537
568165020,1,38,1,367,487676
568368724,1,12,10,1539,1300138
568683659,1,5,10,1242,1092554
568835503,1,29,37,500,241648
570573527,1,4,2,1390,1515020
576966549,1,37,16,62,105402
579306974,1,15,5,710,580128
579648022,1,21,38,695,256125
581197474,1,24,6,1640,1006463
581392134,1,30,38,953,196727
581512309,1,23,20,265,438488
581692254,1,36,15,1367,891926
581852754,1,20,30,0,135974
582174925,1,28,21,1218,925271
582772482,1,16,2,1046,1015044
582858508,1,12,11,750,509721
583087068,1,22,38,203,222939
583113228,1,19,4,117,343952
583173531,1,5,11,453,301205
583597289,1,38,2,500,615257
583803284,1,13,38,656,428348
583896602,1,29,38,429,178271
584748698,1,4,3,1179,1303285
592087084,1,37,17,843,882216
593823115,1,21,39,507,71850
595056956,1,15,6,890,760290
596182097,1,36,16,929,452066
596632438,1,23,21,429,609281
596827385,1,30,39,1390,644043
596973435,1,20,31,554,755846
597295370,1,28,22,1601,1299402
597577436,1,24,7,2453,1823919
597603329,1,19,5,218,447574
597663674,1,12,12,726,486746
597892160,1,22,39,179,199906
597978432,1,13,39,273,45151
598071689,1,29,39,343,91507
598293658,1,5,12,351,194750
