sim_time_us,node_id,event,peer,detail
500271390,23,SUCCESS,0x000f,
500425692,15,CELL_ALLOC,0x0017,slot=4 ch=2 dir=Transmit
502980986,23,LIST,0x0018,
503240703,24,EOL,0x0017,
516605219,14,ADD,0x0001,
517192870,19,LIST,0x0014,
517897566,20,EOL,0x0013,
518085784,19,ADD,0x0014,
518213793,20,CELL_ALLOC,0x0013,slot=5 ch=11 dir=Receive
518227864,20,SUCCESS,0x0013,
518380760,19,CELL_ALLOC,0x0014,slot=5 ch=11 dir=Transmit
526892024,6,LIST,0x000e,
531387578,23,ADD,0x0018,
531620330,24,SUCCESS,0x0017,
532041235,23,CELL_ALLOC,0x0018,slot=3 ch=4 dir=Transmit
532058354,23,SUCCESS,0x0018,
532071690,14,EOL,0x0006,
532360913,24,CELL_ALLOC,0x0017,slot=3 ch=4 dir=Receive
537703624,24,LIST,0x0010,
537741493,16,EOL,0x0018,
537876677,4,LIST,0x000c,
539631355,12,EOL,0x0004,
539823758,4,ADD,0x000c,
539947493,12,CELL_ALLOC,0x0004,slot=11 ch=10 dir=Receive
539961485,12,SUCCESS,0x0004,
540115909,4,CELL_ALLOC,0x000c,slot=11 ch=10 dir=Transmit
540318126,16,LIST,0x0018,
540411337,24,EOL,0x0010,
540672629,16,ADD,0x0018,
540727113,24,CELL_ALLOC,0x0010,slot=2 ch=8 dir=Receive
540741123,24,SUCCESS,0x0010,
540910839,16,CELL_ALLOC,0x0018,slot=2 ch=8 dir=Transmit
550580584,38,LIST,0x001e,
550656770,30,EOL,0x0026,
551073167,38,LIST,0x0025,
551601871,37,EOL,0x0026,
551791716,38,ADD,0x001e,
551918241,30,CELL_ALLOC,0x0026,slot=19 ch=15 dir=Receive
551932320,30,SUCCESS,0x0026,
552086138,38,CELL_ALLOC,0x001e,slot=19 ch=15 dir=Transmit
552424043,6,ADD,0x000e,
554882867,15,LIST,0x000e,
555216502,14,EOL,0x000f,
557105770,7,LIST,0x0006,
557421177,6,EOL,0x0007,
557594108,7,LIST,0x000f,
557736363,15,EOL,0x0007,
557936886,7,ADD,0x0006,
561988320,5,LIST,0x0006,
578557698,37,LIST,0x0026,
578691800,38,EOL,0x0025,
582848134,16,LIST,0x000f,
584826831,15,EOL,0x0010,
586776139,20,LIST,0x000c,
586881610,12,EOL,0x0014,
594269914,6,ADD,0x000e,
601066964,31,LIST,0x001e,
601558702,31,LIST,0x0017,
602632640,30,EOL,0x001f,
605013081,7,ADD,0x0006,
607042741,23,EOL,0x001f,
608491394,31,ADD,0x001e,
608618582,30,CELL_ALLOC,0x001f,slot=17 ch=0 dir=Receive
608632831,30,SUCCESS,0x001f,
608786259,31,CELL_ALLOC,0x001e,slot=17 ch=0 dir=Transmit
612897118,11,LIST,0x0013,
613027222,19,EOL,0x000b,
613385128,11,LIST,0x000c,
613492152,12,EOL,0x000b,
613692766,11,ADD,0x0013,
613807676,19,CELL_ALLOC,0x000b,slot=4 ch=1 dir=Receive
613821658,19,SUCCESS,0x000b,
613991394,11,CELL_ALLOC,0x0013,slot=4 ch=1 dir=Transmit
615580831,24,ADD,0x0010,
615730401,16,SUCCESS,0x0018,
615784573,24,CELL_ALLOC,0x0010,slot=1 ch=15 dir=Transmit
615798780,24,SUCCESS,0x0010,
616118372,16,CELL_ALLOC,0x0018,slot=1 ch=15 dir=Receive
619909650,17,LIST,0x0010,
620107056,16,EOL,0x0011,
620307540,17,ADD,0x0010,
620423050,16,CELL_ALLOC,0x0011,slot=20 ch=6 dir=Receive
620437093,16,SUCCESS,0x0011,
620606217,17,CELL_ALLOC,0x0010,slot=20 ch=6 dir=Transmit
621283373,8,LIST,0x0010,
624052830,16,EOL,0x0008,
624242070,8,ADD,0x0010,
624368947,16,CELL_ALLOC,0x0008,slot=19 ch=6 dir=Receive
624382989,16,SUCCESS,0x0008,
624701590,8,CELL_ALLOC,0x0010,slot=19 ch=6 dir=Transmit
628288866,21,LIST,0x0014,
628612709,20,EOL,0x0015,
629082264,39,LIST,0x001f,
629570721,39,LIST,0x0026,
635227339,31,EOL,0x0027,
635857894,38,EOL,0x0027,
636057661,39,ADD,0x001f,
636173098,31,CELL_ALLOC,0x0027,slot=16 ch=4 dir=Receive
636187126,31,SUCCESS,0x0027,
636356617,39,CELL_ALLOC,0x001f,slot=16 ch=4 dir=Transmit
638473059,6,ADD,0x000e,
639371874,13,LIST,0x0005,
639642754,5,EOL,0x000d,
642633971,22,LIST,0x001e,
642742736,29,LIST,0x001c,
643090628,30,LIST,0x001d,
643267555,29,EOL,0x001e,
643801180,19,LIST,0x000b,
643897393,11,EOL,0x0013,
644046859,28,EOL,0x001d,
644842768,30,EOL,0x0016,
645512703,4,LIST,0x0005,
645622089,5,EOL,0x0004,
652657068,7,ADD,0x0006,
655987785,1,LIST,0x0016,
656016989,22,EOL,0x0001,
661279594,12,LIST,0x0004,
661536898,4,EOL,0x000c,
663847349,31,LIST,0x0027,
663892022,39,EOL,0x001f,
663929954,36,LIST,0x0025,
664178195,37,EOL,0x0024,
665520307,25,LIST,0x0018,
666012973,25,LIST,0x0011,
668302533,24,EOL,0x0019,
668617258,17,EOL,0x0019,
668818654,25,ADD,0x0018,
668933635,24,CELL_ALLOC,0x0019,slot=20 ch=12 dir=Receive
668947669,24,SUCCESS,0x0019,
669117021,25,CELL_ALLOC,0x0018,slot=20 ch=12 dir=Transmit
672603612,11,LIST,0x0003,
676645796,3,LIST,0x0004,
676807431,4,EOL,0x0003,
677134254,3,LIST,0x000b,
677437460,11,EOL,0x0003,
677637898,3,ADD,0x0004,
679000953,14,LIST,0x0016,
681611959,38,LIST,0x0027,
