sim_time_us,node_id
4501382,13
4501395,30
4501414,21
4501435,14
4501500,29
4501520,22
118532885,20
250834529,28
271309309,23
323753355,37
349583818,36
405023295,5
405023393,12
485511088,24
492595169,15
508974847,19
519054135,6
532284388,4
534805731,16
543786478,38
547404796,7
592611852,31
603476132,11
611512354,17
611512483,8
620962283,39
657656333,25
668051065,3
692306375,18
695460450,10
697507988,9
742553289,33
771533575,26
771687200,32
775466840,2
785866031,40
790119140,27
790803241,27
866818295,35
874224350,34
914544803,41
1208140764,14
