sim_time_us,node_id,time_source,join_priority
1791056,21,0x0001,1
1791056,30,0x0001,1
2106058,13,0x0001,1
2106058,14,0x0001,1
2106059,22,0x0001,1
2106059,29,0x0001,1
115507033,20,0x0015,2
247807970,28,0x001d,2
254738056,23,0x0016,2
319313542,37,0x001d,2
346718858,36,0x0025,3
390824610,12,0x000d,2
401844153,5,0x000d,2
453189524,24,0x0017,3
485950012,4,0x0005,3
490044699,15,0x000e,2
490044700,6,0x000e,2
500440012,19,0x0014,3
534145252,38,0x001e,2
534145692,16,0x0018,4
544540269,7,0x0006,3
588640741,31,0x001e,2
599350751,11,0x000c,3
607226066,17,0x0010,5
609115865,8,0x0007,5
609116172,39,0x001f,3
647231516,3,0x0004,4
655106302,25,0x0018,4
689756580,18,0x0013,4
695111741,10,0x0012,5
695111852,9,0x0008,6
739212033,33,0x0019,5
768822229,26,0x0012,5
768822377,32,0x001f,3
772602371,2,0x000a,6
783312411,40,0x0020,4
787407563,27,0x0013,4
864267949,35,0x0024,4
871828134,34,0x0023,6
912148626,41,0x0028,5
