sim_time_us,node_id
4797156,21
4797175,22
4797176,30
4797179,29
4797194,13
41810558,14
133003356,6
158229890,29
168599266,5
184348752,12
184664314,31
184664379,38
197732683,4
220260006,37
220260007,39
221204168,11
222464325,3
293809091,40
306254796,10
329088760,7
332085342,2
341689328,15
367208852,32
368048304,32
411935174,33
421385580,41
425640790,18
478085781,26
549906363,25
575106855,24
576212981,27
576265509,24
590230391,16
632283338,17
640158554,8
655746460,9
662047408,34
677329062,35
716542991,19
716913071,19
757653989,28
760958476,36
768703051,27
776733317,35
897038472,20
1207316496,23
1207530490,23
