sim_time_us,node_id,event,detail
10851580,1,TX,
10858735,21,RX,
10858737,29,RX,
10858739,22,RX,
10858740,13,RX,
10858740,30,RX,
24661179,1,TX,
24884786,30,RX,
24884787,29,RX,
24884788,21,RX,
24884789,22,RX,
24884816,13,RX,
37226230,1,TX,
48457098,1,TX,
60393630,17,TX,
60435883,35,TX,
60475056,6,TX,
60476478,26,TX,
60476493,14,TX,
60479352,1,RX,
60479359,13,RX,
60479367,22,RX,
60516520,40,TX,
60521348,19,TX,
60522719,26,RX,
60522719,35,RX,
60537734,33,TX,
60538554,27,TX,
60539751,19,RX,
60589370,8,TX,
60615491,33,RX,
60615492,40,RX,
60617822,19,RX,
60617823,26,RX,
60631295,32,TX,
60633656,18,TX,
60634701,40,RX,
60635141,33,RX,
60647179,29,TX,
60649029,41,TX,
60666304,8,RX,
60666304,17,RX,
60682137,16,TX,
60682421,3,TX,
60761505,37,TX,
60796723,14,RX,
60796725,13,RX,
60796726,30,RX,
60796728,21,RX,
60796737,22,RX,
60796741,29,RX,
60797491,26,RX,
60797496,35,RX,
60803448,37,RX,
60813305,34,TX,
60817928,35,RX,
60819281,36,TX,
60823074,37,RX,
60828088,1,TX,
60834274,38,TX,
60885365,19,RX,
60889486,36,RX,
60889487,27,RX,
60901198,20,TX,
60905322,28,TX,
60919601,20,RX,
60930164,21,TX,
60946769,13,RX,
60946771,1,RX,
60946774,22,RX,
60946775,29,RX,
60947052,20,RX,
60952132,32,RX,
60952133,16,RX,
60966769,6,RX,
60966793,8,RX,
60967967,24,TX,
60978909,32,RX,
60982553,7,TX,
60994744,31,TX,
61019532,18,RX,
61023298,24,RX,
61023299,31,RX,
61035314,10,TX,
61036032,22,TX,
61039133,23,TX,
61080988,20,RX,
61096773,12,TX,
61100613,17,RX,
61100614,8,RX,
61106726,10,RX,
61106751,3,RX,
61111798,21,RX,
61111801,1,RX,
61111801,14,RX,
61111812,30,RX,
61116395,9,TX,
61118789,12,RX,
61122480,2,TX,
61125941,3,RX,
61134541,4,TX,
61143851,6,RX,
61146576,7,RX,
61146576,16,RX,
61146577,23,RX,
61152659,4,RX,
61159633,5,TX,
61162360,15,TX,
61214451,38,RX,
61214476,40,RX,
61214480,31,RX,
61227840,13,TX,
61230285,39,TX,
61261772,21,RX,
61261774,1,RX,
61261778,14,RX,
61312643,30,TX,
