sim_time_us,event,detail
444361,BOOT,
10480623,STATUS,tick=1
20488435,STATUS,tick=2
30496247,STATUS,tick=3
40504060,STATUS,tick=4
50511872,STATUS,tick=5
60522657,STATUS,tick=6
70535603,STATUS,tick=7
80543122,STATUS,tick=8
90550935,STATUS,tick=9
100558887,STATUS,tick=10
110566700,STATUS,tick=11
120574532,STATUS,tick=12
130582325,STATUS,tick=13
140590137,STATUS,tick=14
150598223,STATUS,tick=15
160605763,STATUS,tick=16
170613575,STATUS,tick=17
180621407,STATUS,tick=18
190629200,STATUS,tick=19
200637300,STATUS,tick=20
210644825,STATUS,tick=21
220652638,STATUS,tick=22
230660733,STATUS,tick=23
240668282,STATUS,tick=24
250676075,STATUS,tick=25
260683887,STATUS,tick=26
270691700,STATUS,tick=27
280699512,STATUS,tick=28
290707325,STATUS,tick=29
300715158,STATUS,tick=30
310723223,STATUS,tick=31
320730763,STATUS,tick=32
330738576,STATUS,tick=33
340746388,STATUS,tick=34
350754201,STATUS,tick=35
360762310,STATUS,tick=36
370769826,STATUS,tick=37
380777638,STATUS,tick=38
390785734,STATUS,tick=39
400793263,STATUS,tick=40
410801075,STATUS,tick=41
420808908,STATUS,tick=42
430816700,STATUS,tick=43
440824513,STATUS,tick=44
450832325,STATUS,tick=45
460840138,STATUS,tick=46
470848224,STATUS,tick=47
480855783,STATUS,tick=48
490863576,STATUS,tick=49
500871388,STATUS,tick=50
510879201,STATUS,tick=51
520887293,STATUS,tick=52
530894827,STATUS,tick=53
540902659,STATUS,tick=54
550910736,STATUS,tick=55
560918264,STATUS,tick=56
570926077,STATUS,tick=57
580933889,STATUS,tick=58
590941702,STATUS,tick=59
600949534,STATUS,tick=60
610957327,STATUS,tick=61
620965139,STATUS,tick=62
630973226,STATUS,tick=63
640980764,STATUS,tick=64
650988577,STATUS,tick=65
660996409,STATUS,tick=66
671004202,STATUS,tick=67
681012293,STATUS,tick=68
691019827,STATUS,tick=69
701027639,STATUS,tick=70
711035736,STATUS,tick=71
721043284,STATUS,tick=72
731051076,STATUS,tick=73
741058889,STATUS,tick=74
751066701,STATUS,tick=75
761074514,STATUS,tick=76
771082326,STATUS,tick=77
781090159,STATUS,tick=78
791098226,STATUS,tick=79
801105764,STATUS,tick=80
811113576,STATUS,tick=81
821121389,STATUS,tick=82
831129201,STATUS,tick=83
841137312,STATUS,tick=84
851144826,STATUS,tick=85
861152639,STATUS,tick=86
871160735,STATUS,tick=87
881168264,STATUS,tick=88
891176076,STATUS,tick=89
901183917,STATUS,tick=90
911191700,STATUS,tick=91
921199513,STATUS,tick=92
931207325,STATUS,tick=93
941215138,STATUS,tick=94
951223223,STATUS,tick=95
961230783,STATUS,tick=96
971238576,STATUS,tick=97
981246388,STATUS,tick=98
991254201,STATUS,tick=99
1001262466,STATUS,tick=100
1011270002,STATUS,tick=101
1021277834,STATUS,tick=102
1031285910,STATUS,tick=103
1041293439,STATUS,tick=104
1051301251,STATUS,tick=105
1061309064,STATUS,tick=106
1071316876,STATUS,tick=107
1081324709,STATUS,tick=108
1091332501,STATUS,tick=109
1101340361,STATUS,tick=110
1111348687,STATUS,tick=111
1121355940,STATUS,tick=112
1131363752,STATUS,tick=113
1141371585,STATUS,tick=114
1151379377,STATUS,tick=115
1161387477,STATUS,tick=116
1171395002,STATUS,tick=117
1181402815,STATUS,tick=118
1191411276,STATUS,tick=119
1201418459,STATUS,tick=120
1211426252,STATUS,tick=121
1221434064,STATUS,tick=122
1231441877,STATUS,tick=123
1241449689,STATUS,tick=124
1251457502,STATUS,tick=125
1261465334,STATUS,tick=126
1271473410,STATUS,tick=127
1281480939,STATUS,tick=128
1291488752,STATUS,tick=129
1301496565,STATUS,tick=130
1311504377,STATUS,tick=131
1321518270,STATUS,tick=132
1331527815,STATUS,tick=133
1337067702,TSCH_JOIN,0x0005 jp=5
1341535861,STATUS,tick=134
1351547988,STATUS,tick=135
1361559227,STATUS,tick=136
1369468034,FIRST_CONTACT,
1371567026,STATUS,tick=137
1381594811,STATUS,tick=138
1391621703,STATUS,tick=139
1401652963,STATUS,tick=140
1411684193,STATUS,tick=141
1421715487,STATUS,tick=142
1431747181,STATUS,tick=143
1441777997,STATUS,tick=144
1451817030,STATUS,tick=145
1461863915,STATUS,tick=146
1471902978,STATUS,tick=147
1481942030,STATUS,tick=148
1491992788,STATUS,tick=149
1502035800,STATUS,tick=150
1512082642,STATUS,tick=151
1522121705,STATUS,tick=152
1532164625,STATUS,tick=153
1542207642,STATUS,tick=154
1552254497,STATUS,tick=155
1562293599,STATUS,tick=156
1572340487,STATUS,tick=157
1582387340,STATUS,tick=158
1592435381,STATUS,tick=159
1602481088,STATUS,tick=160
1612527967,STATUS,tick=161
1622578109,STATUS,tick=162
1632621727,STATUS,tick=163
1642049020,BOOT,
1652085333,STATUS,tick=1
1662093145,STATUS,tick=2
1672100958,STATUS,tick=3
1682108770,STATUS,tick=4
1692132208,STATUS,tick=5
1702155665,STATUS,tick=6
1712179083,STATUS,tick=7
1722202794,STATUS,tick=8
1732225958,STATUS,tick=9
1742249813,STATUS,tick=10
1752272973,STATUS,tick=11
1762296430,STATUS,tick=12
1772319848,STATUS,tick=13
1782343285,STATUS,tick=14
1792366723,STATUS,tick=15
1802390684,STATUS,tick=16
1812413598,STATUS,tick=17
1822437055,STATUS,tick=18
1832460473,STATUS,tick=19
1842483910,STATUS,tick=20
1852507348,STATUS,tick=21
1862531063,STATUS,tick=22
1872554433,STATUS,tick=23
1882579603,STATUS,tick=24
1892601237,STATUS,tick=25
1902629678,STATUS,tick=26
1912648102,STATUS,tick=27
1922671549,STATUS,tick=28
1932694996,STATUS,tick=29
1942718444,STATUS,tick=30
1952741872,STATUS,tick=31
1962765309,STATUS,tick=32
1972796549,STATUS,tick=33
1982819977,STATUS,tick=34
1992847071,STATUS,tick=35
2002874698,STATUS,tick=36
2012898139,STATUS,tick=37
2022921567,STATUS,tick=38
2032952837,STATUS,tick=39
2042980885,STATUS,tick=40
2053007930,STATUS,tick=41
2053491183,BOOT,
2063527446,STATUS,tick=1
2073535258,STATUS,tick=2
2083543071,STATUS,tick=3
2093550883,STATUS,tick=4
2103558696,STATUS,tick=5
2113569480,STATUS,tick=6
2123582426,STATUS,tick=7
2133589946,STATUS,tick=8
2143597758,STATUS,tick=9
2153605711,STATUS,tick=10
2163613523,STATUS,tick=11
2173621379,STATUS,tick=12
2183629359,STATUS,tick=13
2193652715,STATUS,tick=14
2203683974,STATUS,tick=15
2213712014,STATUS,tick=16
2223748884,STATUS,tick=17
2233785557,STATUS,tick=18
2243824623,STATUS,tick=19
2253863675,STATUS,tick=20
2263902728,STATUS,tick=21
2273941790,STATUS,tick=22
2283981315,STATUS,tick=23
2294019946,STATUS,tick=24
2304070679,STATUS,tick=25
2314105853,STATUS,tick=26
2324144925,STATUS,tick=27
2334183978,STATUS,tick=28
2344223050,STATUS,tick=29
2354262124,STATUS,tick=30
2364301176,STATUS,tick=31
2374340229,STATUS,tick=32
2384379291,STATUS,tick=33
2394432420,STATUS,tick=34
2404473028,STATUS,tick=35
2414512129,STATUS,tick=36
2424551186,STATUS,tick=37
2434605863,STATUS,tick=38
2444660561,STATUS,tick=39
2454707426,STATUS,tick=40
2464766720,STATUS,tick=41
2468318584,BOOT,
2478354846,STATUS,tick=1
2488362658,STATUS,tick=2
2498370471,STATUS,tick=3
2508378283,STATUS,tick=4
2518386096,STATUS,tick=5
2528396880,STATUS,tick=6
2538409826,STATUS,tick=7
2548417346,STATUS,tick=8
2558425158,STATUS,tick=9
2568433111,STATUS,tick=10
2578456548,STATUS,tick=11
2588480006,STATUS,tick=12
2598503423,STATUS,tick=13
2608527138,STATUS,tick=14
2618550298,STATUS,tick=15
2628573735,STATUS,tick=16
2638597446,STATUS,tick=17
2648620631,STATUS,tick=18
2658644048,STATUS,tick=19
