sim_time_us,node_id,time_source,join_priority
1959709,38,0x0001,1
1959714,20,0x0001,1
2274686,30,0x0001,1
2274711,22,0x0001,1
2274717,34,0x0001,1
28105154,15,0x001e,2
198521270,2,0x0016,2
215531369,26,0x0026,2
240416584,9,0x001e,2
254906704,8,0x0022,2
276956835,23,0x0022,2
311922150,24,0x001e,2
328932320,14,0x0008,3
346887407,28,0x0026,2
361377683,6,0x001a,4
407682968,31,0x0009,3
409572962,13,0x001c,3
411463066,40,0x000e,4
427528444,35,0x000d,4
455563387,33,0x000d,4
493993490,17,0x0016,2
522974022,25,0x0006,5
601724557,39,0x001f,4
617789552,12,0x0011,3
617789569,27,0x0006,5
642044769,11,0x0028,5
651179938,19,0x001f,4
653385050,10,0x0027,5
695280153,5,0x0008,3
783795906,16,0x0017,3
866326522,18,0x0011,3
914206997,21,0x0013,5
922712026,7,0x0010,4
946967566,32,0x0007,5
959252382,4,0x0021,5
973742382,41,0x0005,4
1047137980,37,0x000c,4
1170933960,3,0x0005,4
1379465614,29,0x0015,6
