sim_time_us,node_id,seq
11962406,30,0
12142861,34,0
12348786,22,0
12658432,38,0
12665740,20,0
26933022,34,1
27505009,22,1
27884836,30,1
28173482,20,1
28338093,38,1
42151724,34,2
42438917,30,2
42712564,20,2
42825312,22,2
43768298,38,2
56761747,34,3
57126617,20,3
57874867,22,3
58001428,30,3
59564632,38,3
71446979,20,4
71737691,34,4
72044088,22,4
74005173,30,4
74201542,38,4
86182974,34,5
86965924,22,5
87251637,20,5
88509240,30,5
89756399,38,5
100886109,34,6
102508370,22,6
102790689,20,6
103212355,30,6
105408382,38,6
116575299,22,7
116823599,34,7
117357165,20,7
118277623,2,0
118821720,30,7
119900560,38,7
131067526,22,8
131722066,34,8
132800235,2,1
133071969,20,8
133228775,30,8
134487559,38,8
145703381,15,0
146176871,22,9
147073652,2,2
147167349,34,9
147650064,20,9
147993615,30,9
150392780,38,9
161198941,15,1
161355022,34,10
161459750,22,10
162095240,17,0
162872231,20,10
163050215,2,3
163853143,30,10
165331518,38,10
175972166,34,11
176230191,15,2
176278554,22,11
176947066,20,11
178032748,17,1
178534580,2,4
179032808,30,11
179666325,38,11
189308165,12,0
190519091,34,12
191520771,22,12
191931480,20,12
192014457,15,3
192768994,2,5
192954209,17,2
193752312,38,12
193790670,30,12
205136210,12,1
205778563,22,13
206167479,34,13
206675514,15,4
206824278,2,6
207665796,20,13
207799157,38,13
207946860,30,13
208083146,17,3
219568545,18,0
220862772,12,2
221026864,34,14
221716063,22,14
221782984,20,14
221870816,15,5
222142887,38,14
222274985,30,14
222401787,2,7
223431800,17,4
235277419,12,3
235388647,18,1
235769042,34,15
236323941,15,6
236878321,2,8
237166252,30,15
237236637,38,15
237286376,22,15
237376734,20,15
239433245,17,5
248403764,37,0
249343445,12,4
249792562,34,16
250278048,18,2
251339616,15,7
252087700,20,16
252782827,30,16
252862715,2,9
252923857,38,16
253177040,22,16
255243725,17,6
262848382,8,0
263117826,10,0
263596120,37,1
264401844,12,5
264597176,34,17
264950075,18,3
266261441,15,8
267845483,20,17
268119469,38,17
268150005,30,17
268153554,22,17
268370667,2,10
269423392,17,7
277265709,39,0
277504581,8,1
277945027,10,1
278513469,5,0
278581159,37,2
279104960,12,6
279409721,34,18
280017677,18,4
280745817,15,9
282267887,38,18
282446860,30,18
282611118,20,18
283210179,2,11
283966063,22,18
284157738,17,8
291598341,8,2
291882845,39,1
292101287,10,2
292685037,14,0
293154044,5,1
293971130,37,3
294493706,18,5
294832949,34,19
294933075,12,7
295637145,15,10
297471012,38,19
297761272,2,12
297923433,30,19
298126743,20,19
298373398,22,19
299673373,17,9
306578178,39,2
306895227,8,3
307062225,10,3
307454285,14,1
308622813,5,2
309202833,40,0
309378456,34,20
309635212,37,4
309655187,18,6
310042499,12,8
310438053,15,11
312276917,2,13
312930267,22,20
313002311,38,20
313173472,30,20
313689283,20,20
314298532,17,10
321015668,39,3
321781609,10,4
322130083,8,4
322294420,14,2
322950928,5,3
323685437,37,5
324937280,34,21
325116835,40,1
325175272,12,9
325201940,18,7
326417831,15,12
327049147,38,21
327864492,22,21
327897940,2,14
328414159,20,21
328666203,30,21
328806952,17,11
335062543,39,4
336488967,8,5
336489742,14,3
336780965,10,5
337863987,37,6
338241246,5,4
339119976,34,22
339218217,12,10
339868425,18,8
340109012,40,2
341925634,15,13
342372313,22,22
342743921,20,22
342995646,38,22
343405700,2,15
343728110,30,22
344673503,17,12
351020197,8,6
351073470,39,5
351570027,10,6
352427232,14,4
352861745,37,7
353415088,5,5
353964455,12,11
354038271,34,23
354920047,18,9
355768527,40,3
356447706,22,23
357917832,15,14
358040806,20,23
358541325,38,23
359152760,2,16
359284841,30,23
359845388,17,13
366070037,10,7
366622051,24,0
366625063,39,6
366913920,8,7
368122575,14,5
368441086,12,12
368568116,5,6
368761715,9,0
368783660,37,8
368953714,18,10
369558733,34,24
369792840,40,4
371778593,22,24
372743951,20,24
373191299,15,15
373658552,38,24
374255536,30,24
374542542,2,17
375689158,17,14
380338866,10,8
381736158,8,8
382468803,39,7
382606424,24,1
382653795,14,6
383498333,18,11
383796736,9,1
384058234,12,13
384091553,5,7
384385203,37,9
384503460,34,25
384597601,40,5
387208251,22,25
387910019,15,16
388705406,38,25
388743755,30,25
388751743,20,25
389503470,2,18
391657908,17,15
395351278,10,9
396481144,8,9
397411102,24,2
397704576,14,7
397945375,39,8
398300402,12,14
398690021,37,10
399162396,18,12
399164348,9,2
399443116,5,8
399721360,40,6
399745604,34,26
402223866,22,26
402245957,15,17
402871298,38,26
404558187,2,19
404591366,30,26
404681431,20,26
405755768,17,16
