sim_time_us,node_id,time_source,join_priority
1754556,38,0x0001,1
1754557,20,0x0001,1
1754588,22,0x0001,1
2069562,34,0x0001,1
2069586,30,0x0001,1
97200356,2,0x0016,2
126180860,15,0x0026,2
142875744,17,0x0016,2
179416161,12,0x0011,4
203041330,18,0x0011,4
228241552,10,0x0012,6
228241552,37,0x0012,6
246511536,8,0x0022,2
261946700,5,0x0008,3
261946961,39,0x000a,7
272342180,14,0x0005,4
292817093,40,0x000e,4
325577136,24,0x001e,2
325577141,9,0x001e,2
410943130,31,0x0009,3
465753449,11,0x0028,5
472683282,28,0x0026,2
495363467,26,0x0026,2
527493638,41,0x0005,4
581359192,6,0x001a,3
593644330,3,0x0005,4
608449334,23,0x0022,2
608449474,19,0x001f,4
652549931,21,0x0013,5
681530027,35,0x0006,4
727520397,25,0x0006,4
747365610,27,0x0019,5
867066392,13,0x001c,3
985192313,29,0x0015,6
995272458,16,0x0017,4
1168523905,7,0x0010,5
1256724503,33,0x000d,4
1280035014,32,0x0021,5
1316260284,4,0x0021,5
1428715933,42,0x001f,4
1686387983,42,0x000c,5
2278277548,42,0x0016,2
2732196518,42,0x0026,2
