sim_time_us,node_id
4464903,20
4464903,34
4464906,38
4464925,30
4464928,22
101171500,2
128891923,15
146055196,17
184801020,12
205437080,18
243867598,37
249376426,8
250636859,10
265917736,39
268590835,5
275836127,14
295527963,40
347818763,24
353173488,9
353225925,24
415068494,31
420321438,31
424539836,39
468618452,11
485159232,28
498074616,26
536189587,41
584854038,6
596508880,3
612259411,19
617614011,23
655729902,21
685815766,35
730699737,25
750545306,27
871037642,13
988533625,29
999712431,16
1172018768,7
1259273912,33
1283218549,32
1318656326,4
