sim_time_us,node_id,event,peer,detail
10887065,38,LIST,0x0001,
10893377,20,LIST,0x0001,
11299886,22,LIST,0x0001,
11381841,20,LIST,0x0026,
14063584,34,ADD,0x0001,
14068744,30,LIST,0x0001,
14561342,30,LIST,0x0026,
14950330,1,EOL,0x0016,
15304835,22,ADD,0x0001,
16087525,1,SUCCESS,0x0022,
17325130,1,CELL_ALLOC,0x0016,slot=13 ch=14 dir=Receive
17339165,1,SUCCESS,0x0016,
20159563,1,EOL,0x0014,
21419450,1,EOL,0x0026,
22510440,38,EOL,0x001e,
27751518,38,ADD,0x0001,
28050249,34,CELL_ALLOC,0x0001,slot=9 ch=12 dir=Transmit
28063236,34,SUCCESS,0x0001,
28705129,1,CELL_ALLOC,0x0022,slot=9 ch=12 dir=Receive
30874758,1,CELL_ALLOC,0x0026,slot=7 ch=7 dir=Receive
30889647,1,SUCCESS,0x0026,
32225835,30,ADD,0x0001,
32610337,38,CELL_ALLOC,0x0001,slot=7 ch=7 dir=Transmit
32786334,1,SUCCESS,0x001e,
32925546,30,CELL_ALLOC,0x0001,slot=11 ch=5 dir=Transmit
32942309,30,SUCCESS,0x0001,
33147674,1,CELL_ALLOC,0x001e,slot=11 ch=5 dir=Receive
38295457,38,LIST,0x001e,
38425697,30,EOL,0x0026,
44728885,22,ADD,0x0001,
45821610,1,CELL_ALLOC,0x0016,slot=13 ch=14 dir=Receive
45835589,1,SUCCESS,0x0016,
46005245,22,CELL_ALLOC,0x0001,slot=13 ch=14 dir=Transmit
48296661,20,ADD,0x0001,
48540247,1,SUCCESS,0x0014,
48684717,20,CELL_ALLOC,0x0001,slot=10 ch=2 dir=Transmit
48697676,20,SUCCESS,0x0001,
48893781,1,CELL_ALLOC,0x0014,slot=10 ch=2 dir=Receive
49513021,1,LIST,0x0016,
49600534,22,EOL,0x0001,
87873353,30,LIST,0x0001,
87876520,34,LIST,0x0001,
87926537,1,EOL,0x001e,
88215611,1,EOL,0x0022,
108981940,2,LIST,0x0016,
110711323,22,EOL,0x0002,
110911842,2,ADD,0x0016,
111192399,22,CELL_ALLOC,0x0002,slot=12 ch=4 dir=Receive
111206374,22,SUCCESS,0x0002,
111367618,2,CELL_ALLOC,0x0016,slot=12 ch=4 dir=Transmit
131673882,22,LIST,0x0002,
131816268,2,EOL,0x0016,
134070858,15,LIST,0x0026,
134187018,38,EOL,0x000f,
134563504,15,LIST,0x001e,
144535315,22,ADD,0x0002,
144607567,2,SUCCESS,0x0016,
144966606,22,CELL_ALLOC,0x0002,slot=14 ch=13 dir=Transmit
144979592,22,SUCCESS,0x0002,
145332484,2,CELL_ALLOC,0x0016,slot=14 ch=13 dir=Receive
147681559,15,LIST,0x001e,
147731703,30,EOL,0x000f,
147921190,15,ADD,0x0026,
148048294,38,CELL_ALLOC,0x000f,slot=6 ch=0 dir=Receive
148062375,38,SUCCESS,0x000f,
148222762,15,CELL_ALLOC,0x0026,slot=6 ch=0 dir=Transmit
152570685,2,LIST,0x0011,
152606482,17,EOL,0x0002,
152788707,17,LIST,0x0002,
152921790,2,EOL,0x0011,
153591272,17,ADD,0x0002,
154347776,2,CELL_ALLOC,0x0011,slot=11 ch=8 dir=Receive
154361784,2,SUCCESS,0x0011,
154516622,17,CELL_ALLOC,0x0002,slot=11 ch=8 dir=Transmit
173311042,20,LIST,0x0026,
173396924,38,EOL,0x0014,
179103827,17,LIST,0x0016,
179382193,22,EOL,0x0011,
193001421,12,LIST,0x0011,
193092196,17,EOL,0x000c,
193281729,12,ADD,0x0011,
193408300,17,CELL_ALLOC,0x000c,slot=10 ch=8 dir=Receive
193422316,17,SUCCESS,0x000c,
193576792,12,CELL_ALLOC,0x0011,slot=10 ch=8 dir=Transmit
215503277,18,LIST,0x000c,
215995596,18,LIST,0x0011,
216086966,12,EOL,0x0012,
216402481,17,EOL,0x0012,
216752953,18,ADD,0x000c,
217032952,12,CELL_ALLOC,0x0012,slot=9 ch=9 dir=Receive
217056405,12,SUCCESS,0x0012,
217214083,18,CELL_ALLOC,0x000c,slot=9 ch=9 dir=Transmit
219767133,1,LIST,0x0026,
219867481,38,EOL,0x0001,
230781704,12,LIST,0x0012,
230893538,18,EOL,0x000c,
231258251,2,ADD,0x0011,
231388257,17,SUCCESS,0x0002,
231586130,2,CELL_ALLOC,0x0011,slot=13 ch=4 dir=Transmit
231602424,2,SUCCESS,0x0011,
231973940,17,CELL_ALLOC,0x0002,slot=13 ch=4 dir=Receive
253608852,37,LIST,0x000c,
254101336,37,LIST,0x0012,
255927871,12,EOL,0x0025,
256732152,10,LIST,0x0012,
256872987,18,EOL,0x000a,
257073320,10,ADD,0x0012,
257188966,18,CELL_ALLOC,0x000a,slot=7 ch=7 dir=Receive
257203024,18,SUCCESS,0x000a,
257288253,38,LIST,0x0014,
257352386,20,EOL,0x0026,
257372080,10,CELL_ALLOC,0x0012,slot=7 ch=7 dir=Transmit
258237027,8,LIST,0x0022,
258298515,34,EOL,0x0008,
258486906,8,ADD,0x0022,
258621487,34,CELL_ALLOC,0x0008,slot=6 ch=10 dir=Receive
258635516,34,SUCCESS,0x0008,
258782129,8,CELL_ALLOC,0x0022,slot=6 ch=10 dir=Transmit
259874186,18,EOL,0x0025,
260230389,37,ADD,0x000c,
260508405,12,CELL_ALLOC,0x0025,slot=7 ch=8 dir=Receive
260522475,12,SUCCESS,0x0025,
260837269,37,CELL_ALLOC,0x000c,slot=7 ch=8 dir=Transmit
264869744,12,ADD,0x0012,
264940115,18,SUCCESS,0x000c,
265253096,12,CELL_ALLOC,0x0012,slot=20 ch=5 dir=Transmit
265266141,12,SUCCESS,0x0012,
265461152,18,CELL_ALLOC,0x000c,slot=20 ch=5 dir=Receive
266115672,30,LIST,0x000f,
266172815,15,EOL,0x001e,
273365241,39,LIST,0x000a,
273418453,10,EOL,0x0027,
273607152,39,ADD,0x000a,
273734305,10,CELL_ALLOC,0x0027,slot=6 ch=2 dir=Receive
273748312,10,SUCCESS,0x0027,
273902498,39,CELL_ALLOC,0x000a,slot=6 ch=2 dir=Transmit
274925527,5,LIST,0x0008,
275245309,18,LIST,0x0025,
275308052,37,EOL,0x0012,
275308057,8,EOL,0x0005,
275500302,5,ADD,0x0008,
275624050,8,CELL_ALLOC,0x0005,slot=5 ch=11 dir=Receive
275638022,8,SUCCESS,0x0005,
275959276,5,CELL_ALLOC,0x0008,slot=5 ch=11 dir=Transmit
279281555,34,LIST,0x0014,
279402619,20,EOL,0x0022,
285869505,14,LIST,0x0008,
286167695,8,EOL,0x000e,
286362091,14,LIST,0x0005,
286482724,5,EOL,0x000e,
286683267,14,ADD,0x0008,
286798753,8,CELL_ALLOC,0x000e,slot=4 ch=4 dir=Receive
286812768,8,SUCCESS,0x000e,
286981981,14,CELL_ALLOC,0x0008,slot=4 ch=4 dir=Transmit
303613863,40,LIST,0x000e,
304107634,40,LIST,0x0005,
306808405,14,EOL,0x0028,
308218002,5,EOL,0x0028,
308931730,22,LIST,0x0011,
309012896,17,EOL,0x0016,
311092392,40,ADD,0x000e,
312740334,8,LIST,0x0005,
312793055,5,EOL,0x0008,
314684389,14,CELL_ALLOC,0x0028,slot=3 ch=5 dir=Receive
314698467,14,SUCCESS,0x0028,
314858749,40,CELL_ALLOC,0x000e,slot=3 ch=5 dir=Transmit
319441219,8,ADD,0x0005,
319588087,5,SUCCESS,0x0008,
319693606,8,CELL_ALLOC,0x0005,slot=10 ch=11 dir=Transmit
319710347,8,SUCCESS,0x0005,
