sim_time_us,event,detail
1221256,BOOT,
11257518,STATUS,tick=1
21265330,STATUS,tick=2
31273142,STATUS,tick=3
41280955,STATUS,tick=4
51288767,STATUS,tick=5
61299552,STATUS,tick=6
71312498,STATUS,tick=7
81320017,STATUS,tick=8
91327830,STATUS,tick=9
101335782,STATUS,tick=10
111343595,STATUS,tick=11
121351427,STATUS,tick=12
131359220,STATUS,tick=13
141367032,STATUS,tick=14
151375118,STATUS,tick=15
161382658,STATUS,tick=16
171390470,STATUS,tick=17
181398302,STATUS,tick=18
191406095,STATUS,tick=19
201414195,STATUS,tick=20
211421720,STATUS,tick=21
221429533,STATUS,tick=22
231437628,STATUS,tick=23
241445177,STATUS,tick=24
251452970,STATUS,tick=25
261460782,STATUS,tick=26
271468595,STATUS,tick=27
281476407,STATUS,tick=28
291484220,STATUS,tick=29
301492053,STATUS,tick=30
311500118,STATUS,tick=31
321507658,STATUS,tick=32
331515471,STATUS,tick=33
341523283,STATUS,tick=34
351531096,STATUS,tick=35
361539205,STATUS,tick=36
371546721,STATUS,tick=37
381554533,STATUS,tick=38
391562629,STATUS,tick=39
401570158,STATUS,tick=40
411577970,STATUS,tick=41
421585803,STATUS,tick=42
431593595,STATUS,tick=43
441601408,STATUS,tick=44
451609220,STATUS,tick=45
461617033,STATUS,tick=46
471625119,STATUS,tick=47
481632678,STATUS,tick=48
491640471,STATUS,tick=49
501648283,STATUS,tick=50
511656096,STATUS,tick=51
521664188,STATUS,tick=52
531671722,STATUS,tick=53
541679554,STATUS,tick=54
551687631,STATUS,tick=55
561695159,STATUS,tick=56
571702972,STATUS,tick=57
581710784,STATUS,tick=58
591718597,STATUS,tick=59
601726429,STATUS,tick=60
611734222,STATUS,tick=61
621742034,STATUS,tick=62
631750121,STATUS,tick=63
641757659,STATUS,tick=64
651765472,STATUS,tick=65
661773304,STATUS,tick=66
671781097,STATUS,tick=67
681789188,STATUS,tick=68
691796722,STATUS,tick=69
701804534,STATUS,tick=70
711812631,STATUS,tick=71
721820179,STATUS,tick=72
731827971,STATUS,tick=73
741835784,STATUS,tick=74
751843596,STATUS,tick=75
761851409,STATUS,tick=76
771859221,STATUS,tick=77
781867054,STATUS,tick=78
791875121,STATUS,tick=79
801882659,STATUS,tick=80
811890471,STATUS,tick=81
821898284,STATUS,tick=82
831906096,STATUS,tick=83
841914207,STATUS,tick=84
851921721,STATUS,tick=85
861929534,STATUS,tick=86
871937630,STATUS,tick=87
881945159,STATUS,tick=88
891952971,STATUS,tick=89
901960812,STATUS,tick=90
911968595,STATUS,tick=91
921976408,STATUS,tick=92
931984220,STATUS,tick=93
941992033,STATUS,tick=94
952000118,STATUS,tick=95
962007678,STATUS,tick=96
972015471,STATUS,tick=97
982023283,STATUS,tick=98
992031096,STATUS,tick=99
1002039361,STATUS,tick=100
1012046897,STATUS,tick=101
1022054729,STATUS,tick=102
1032062805,STATUS,tick=103
1042070334,STATUS,tick=104
1052078146,STATUS,tick=105
1062085959,STATUS,tick=106
1072093771,STATUS,tick=107
1082101604,STATUS,tick=108
1092109396,STATUS,tick=109
1102117256,STATUS,tick=110
1112125582,STATUS,tick=111
1122132835,STATUS,tick=112
1132140647,STATUS,tick=113
1142148480,STATUS,tick=114
1152156272,STATUS,tick=115
1162164372,STATUS,tick=116
1172171897,STATUS,tick=117
1182179710,STATUS,tick=118
1192188171,STATUS,tick=119
1202195354,STATUS,tick=120
1212203147,STATUS,tick=121
1222210959,STATUS,tick=122
1232218772,STATUS,tick=123
1242226584,STATUS,tick=124
1252234397,STATUS,tick=125
1262242229,STATUS,tick=126
1272250305,STATUS,tick=127
1282257834,STATUS,tick=128
1292265647,STATUS,tick=129
1302273460,STATUS,tick=130
1312281272,STATUS,tick=131
1322295165,STATUS,tick=132
1332304710,STATUS,tick=133
1342312816,STATUS,tick=134
1352320335,STATUS,tick=135
1362328147,STATUS,tick=136
1372335960,STATUS,tick=137
1382343792,STATUS,tick=138
1392351585,STATUS,tick=139
1402359397,STATUS,tick=140
1412367210,STATUS,tick=141
1422375298,STATUS,tick=142
1432382836,STATUS,tick=143
1432944231,TSCH_JOIN,0x001f jp=6
1442393247,STATUS,tick=144
1452406401,STATUS,tick=145
1462422046,STATUS,tick=146
1472433517,STATUS,tick=147
1482445484,STATUS,tick=148
1488339978,FIRST_CONTACT,
1492453286,STATUS,tick=149
1502476744,STATUS,tick=150
1512500607,STATUS,tick=151
1522523599,STATUS,tick=152
1532547047,STATUS,tick=153
1542570475,STATUS,tick=154
1552595174,STATUS,tick=155
1562617412,STATUS,tick=156
1572640791,STATUS,tick=157
1582664238,STATUS,tick=158
1592687666,STATUS,tick=159
1597794321,BOOT,
1607830582,STATUS,tick=1
1617838395,STATUS,tick=2
1627846207,STATUS,tick=3
1637854020,STATUS,tick=4
1647861832,STATUS,tick=5
1657872616,STATUS,tick=6
1667885563,STATUS,tick=7
1677893082,STATUS,tick=8
1687900895,STATUS,tick=9
1697908847,STATUS,tick=10
1707916659,STATUS,tick=11
1717924866,STATUS,tick=12
1727932472,STATUS,tick=13
1737940236,STATUS,tick=14
1747949504,STATUS,tick=15
1757974729,STATUS,tick=16
1767994927,STATUS,tick=17
1778018394,STATUS,tick=18
1788041812,STATUS,tick=19
1798065259,STATUS,tick=20
1801165738,BOOT,
1811202051,STATUS,tick=1
1821209864,STATUS,tick=2
1831217676,STATUS,tick=3
1841225489,STATUS,tick=4
1851233301,STATUS,tick=5
1861244082,STATUS,tick=6
1871257032,STATUS,tick=7
1881264551,STATUS,tick=8
1891272364,STATUS,tick=9
1901280316,STATUS,tick=10
1911288129,STATUS,tick=11
1921295961,STATUS,tick=12
1931303754,STATUS,tick=13
1941311566,STATUS,tick=14
1951319652,STATUS,tick=15
1961327192,STATUS,tick=16
1971335004,STATUS,tick=17
1981342836,STATUS,tick=18
1991350629,STATUS,tick=19
2001358729,STATUS,tick=20
2011366254,STATUS,tick=21
2021374067,STATUS,tick=22
2031382162,STATUS,tick=23
2041389711,STATUS,tick=24
2051397504,STATUS,tick=25
2061405316,STATUS,tick=26
2071413129,STATUS,tick=27
2081420941,STATUS,tick=28
2091428754,STATUS,tick=29
2101436587,STATUS,tick=30
2111444652,STATUS,tick=31
2121452192,STATUS,tick=32
2131460005,STATUS,tick=33
2141467817,STATUS,tick=34
2151475630,STATUS,tick=35
2161483739,STATUS,tick=36
2171491255,STATUS,tick=37
2181499067,STATUS,tick=38
2191507163,STATUS,tick=39
2201514692,STATUS,tick=40
2211522528,STATUS,tick=41
2221530524,STATUS,tick=42
2231538268,STATUS,tick=43
2241549269,STATUS,tick=44
2251561715,STATUS,tick=45
2261569518,STATUS,tick=46
2271595970,STATUS,tick=47
2281616413,STATUS,tick=48
2291639821,STATUS,tick=49
2301671071,STATUS,tick=50
2311702331,STATUS,tick=51
2321733572,STATUS,tick=52
2331772634,STATUS,tick=53
2341811766,STATUS,tick=54
2351850770,STATUS,tick=55
2361889822,STATUS,tick=56
2371928884,STATUS,tick=57
2381967947,STATUS,tick=58
2392007009,STATUS,tick=59
2402046121,STATUS,tick=60
2412086801,STATUS,tick=61
2422125895,STATUS,tick=62
2432171082,STATUS,tick=63
2442412650,BOOT,
2452448911,STATUS,tick=1
2462456724,STATUS,tick=2
2472464536,STATUS,tick=3
2482472349,STATUS,tick=4
2492480161,STATUS,tick=5
2502490945,STATUS,tick=6
2512503892,STATUS,tick=7
2522511411,STATUS,tick=8
2532519224,STATUS,tick=9
2542527176,STATUS,tick=10
2552534989,STATUS,tick=11
2562542821,STATUS,tick=12
2572550613,STATUS,tick=13
2582558426,STATUS,tick=14
2592566512,STATUS,tick=15
2602574074,STATUS,tick=16
2612601229,STATUS,tick=17
2622628887,STATUS,tick=18
2632691377,STATUS,tick=19
2642714815,STATUS,tick=20
2652738904,STATUS,tick=21
2662769516,STATUS,tick=22
