sim_time_us,node_id
5228086,20
5228092,22
5228111,30
5228122,34
38773130,38
71694529,15
77202758,26
163198878,28
199585311,17
217225651,24
251718207,6
293771038,8
297235919,25
297389957,12
305265295,2
323220501,13
345270221,35
367796177,14
379920540,27
388425460,18
440246712,40
446862526,10
454107366,5
459983145,5
486553265,9
545927194,11
562621781,37
604363380,39
621373727,23
885030411,3
905344651,16
988505181,33
1010716971,7
1035917480,4
1052450618,31
1075291940,41
1076076231,32
1604020558,19
1688756204,21
2035574087,29
