sim_time_us,node_id,seq
500897099,28,22
501882947,25,13
502172828,8,13
502261284,38,30
502440024,17,19
502645953,35,10
503244968,27,7
503412320,12,13
503533313,6,16
503730997,14,8
504318004,24,18
504411465,10,3
505374696,5,2
505439786,22,33
505584900,40,4
505844888,18,7
505959972,30,33
506098899,20,33
506145841,9,1
506231865,26,28
506505908,2,12
507218284,34,33
509120874,15,28
516250045,8,14
516278039,28,23
516473854,13,12
516687615,25,14
517096236,17,20
517141213,38,31
517578545,6,17
518142764,14,9
518263132,35,11
518497393,10,4
518534002,27,8
518943789,12,14
519431233,24,19
519484676,5,3
520317065,9,2
520576941,40,5
521010064,18,8
521398536,22,34
521795900,30,34
521981191,20,34
522200572,2,13
522231826,26,29
522316182,34,34
524280210,15,29
530421911,8,15
530603154,28,24
531804803,25,15
532106647,13,13
532159821,17,21
532164651,38,32
532379221,14,10
532544249,10,5
533026180,27,9
533203534,6,18
533614850,24,20
533810016,35,12
533890128,12,15
534647234,40,6
535023729,5,4
535437588,22,35
536085222,9,3
536374924,18,9
536497437,2,14
536669326,26,30
537551502,20,35
537553702,30,35
538082323,34,35
539980250,15,30
545345018,8,16
545904314,28,25
546434349,25,16
546641600,13,14
546888019,10,6
547086536,38,33
547707367,14,11
547994703,17,22
548225058,12,16
548659162,27,10
548763152,35,13
548958630,24,21
548976992,6,19
549451429,5,5
549656358,22,36
549701951,40,7
550995382,9,4
550997467,2,15
551023541,18,10
552509116,26,31
552881887,30,36
552973033,34,36
553032570,20,36
554995905,15,31
561039197,25,17
561076160,28,26
561210993,8,17
561505104,13,15
561602161,38,34
561927101,10,7
562682193,17,23
562956037,27,11
563058948,14,12
563469041,5,6
563779736,12,17
563888297,24,22
564267028,11,0
564282445,35,14
564941503,6,20
565037899,40,8
565275202,22,37
566067085,9,5
566218834,18,11
566710945,2,16
567045900,30,37
567059334,20,37
567464639,34,37
567505283,26,32
570292760,15,32
575230290,8,18
575655444,28,27
576344360,38,35
576531375,25,18
576848864,13,16
577083331,10,8
578076617,14,13
578287567,17,24
578385694,27,12
578540454,11,1
578732067,24,23
578935007,35,15
579330126,5,7
579435956,12,18
579637508,37,0
579875419,6,21
580234473,22,38
580639431,40,9
580747438,2,17
581156334,18,12
581785825,9,6
581819328,30,38
582436071,20,38
582852737,34,38
582942764,26,33
584363053,15,33
591078191,8,19
591102665,25,19
591255877,28,28
591344381,38,36
592051970,13,17
592338433,17,25
592606759,10,9
592754231,14,14
593209957,24,24
593639092,12,19
593808316,27,13
594040406,35,16
594259203,11,2
594332860,6,22
594718599,5,8
595242276,22,39
595520875,2,18
595645329,37,1
595772955,40,10
596140699,18,13
596957772,20,39
597413088,30,39
597637368,9,7
598034952,34,39
598298071,26,34
599261490,15,34
605426501,25,20
606148522,8,20
606731688,13,18
607001727,28,29
607065682,17,26
607195572,38,37
607739741,10,10
